model,scenario,region,category,policy_category,year,capacity_electricity_coal,investment_energy_supply_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse,revenue,capex,cost_fuel,cost_om,cost_carbonprice,opex,profit_opexonly,profit,time_from_baseyear,discount_factor,profit_pv
POLES ENGAGE,EN_INDCi2030_800f,ARG,C4,P3b,2020,1.698299884796143,0,48.86340713500977,0,3.444623470306396,13.47451782226562,0.0751882568001747,0.0293234176933765,Delayed action,395118914.3191406,0,258995234.06530625,82984718.70813413,0,341979952.77344036,53138961.54570025,53138961.54570025,0,1,53138961.54570025
POLES ENGAGE,EN_INDCi2030_800f,ARG,C4,P3b,2021,1.6210199356079105,0,48.639589691162115,0.250134539604187,3.322720384597778,14.632468414306636,0.0759066343307495,0.02960358560085292,Delayed action,433173531.2547031,0,252216521.21699086,78845744.5491628,1810081.5956428298,332872347.3617965,100301183.8929066,100301183.8929066,1,0.9523809523809523,95524937.04086342
POLES ENGAGE,EN_INDCi2030_800f,ARG,C4,P3b,2022,1.543739986419678,0,48.41577224731446,0.500269079208374,3.20081729888916,15.790419006347651,0.0766250118613243,0.02988375350832934,Delayed action,471876989.3789319,0,245262663.49331385,74741363.59156744,3654424.363553806,323658451.4484351,148218537.93049675,148218537.93049675,2,0.9070294784580498,134438583.15691313
POLES ENGAGE,EN_INDCi2030_800f,ARG,C4,P3b,2023,1.4664600372314451,0,48.19195480346681,0.750403618812561,3.0789142131805423,16.948369598388666,0.07734338939189911,0.03016392141580576,Delayed action,511229288.6918272,0,238133660.89427537,70671575.83534805,5533028.30373293,314338265.03335637,196891023.6584708,196891023.6584708,3,0.863837598531476,170081869.04953745
POLES ENGAGE,EN_INDCi2030_800f,ARG,C4,P3b,2024,1.3891800880432126,0,47.96813735961915,1.000538158416748,2.957011127471924,18.106320190429685,0.07806176692247391,0.03044408932328218,Delayed action,551230429.1933889,0,230829513.41987514,66636381.280504644,7445893.416180201,304911788.11656,246318641.07682896,246318641.07682896,4,0.8227024747918819,202646955.60128048
POLES ENGAGE,EN_INDCi2030_800f,ARG,C4,P3b,2025,1.31190013885498,0,47.74431991577149,1.250672698020935,2.835108041763306,19.2642707824707,0.0787801444530487,0.0307242572307586,Delayed action,591880410.883617,0,223350221.0701133,62635779.92703721,9393019.700895619,295379020.69804615,296501390.1855709,296501390.1855709,5,0.7835261664684589,232316597.6046691
POLES ENGAGE,EN_INDCi2030_800f,ARG,C4,P3b,2026,1.3509717941284176,0.02366837630591066,47.6249740600586,1.500807237625122,2.872890138626099,22.367292785644526,0.08300297707319258,0.03251279518008226,Delayed action,727223209.072592,0.02366837630591066,238458434.31018317,64339996.65123672,11927773.811968822,314726204.7733887,412497004.29920334,412497004.275535,6,0.7462153966366275,307811615.65688896
POLES ENGAGE,EN_INDCi2030_800f,ARG,C4,P3b,2027,1.3900434494018552,0.04733675261182132,47.505628204345705,1.750941777229309,2.910672235488892,25.470314788818357,0.08722580969333646,0.03430133312940592,Delayed action,873665752.4820926,0.04733675261182132,253885742.4924323,66034887.29517076,14681244.646673383,334601874.43427646,539063878.0478162,539063878.0004795,7,0.7106813301301214,383102633.8424822
POLES ENGAGE,EN_INDCi2030_800f,ARG,C4,P3b,2028,1.4291151046752928,0.07100512891773197,47.38628234863282,2.001076316833496,2.948454332351685,28.573336791992183,0.09144864231348036,0.03608987107872958,Delayed action,1031208041.1121186,0.07100512891773197,269632145.6168608,67720451.85883938,17653432.205009304,355006029.6807095,676202011.4314091,676202011.360404,8,0.676839362028687,457680137.97169083
POLES ENGAGE,EN_INDCi2030_800f,ARG,C4,P3b,2029,1.4681867599487304,0.09467350522364264,47.266936492919925,2.251210856437683,2.986236429214478,31.67635879516601,0.09567147493362424,0.03787840902805324,Delayed action,1199850074.96267,0.09467350522364264,285697643.68346846,69396690.34224251,20844336.48697659,375938670.5126875,823911404.4499826,823911404.3553091,9,0.6446089162177971,531100637.42095906
POLES ENGAGE,EN_INDCi2030_800f,ARG,C4,P3b,2030,1.507258415222168,0.1183418815295533,47.14759063720703,2.50134539604187,3.024018526077271,34.77938079833984,0.0998943075537681,0.0396669469773769,Delayed action,1379591854.0337467,0.1183418815295533,302082236.69225544,71063602.7453802,24253957.492575232,397399796.9302109,982192057.1035359,982192056.985194,10,0.6139132535407591,602980721.3056711
POLES ENGAGE,EN_INDCi2030_800f,ARG,C4,P3b,2031,1.5386379480361938,0.13101520359453894,47.02822799682617,167.26988735198975,2.9558424949646,51.60838012695311,0.09051248729228968,0.0360251639038324,Delayed action,1859200352.8847723,0.13101520359453894,267540656.26349318,72359416.22481489,1473003915.2964697,1812903987.7847776,46296365.09999466,46296364.968979456,11,0.5846792890864372,27068525.75734914
