model,scenario,region,category,policy_category,year,capacity_electricity_coal,investment_energy_supply_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse,revenue,capex,cost_fuel,cost_om,cost_carbonprice,opex,profit_opexonly,profit,time_from_baseyear,discount_factor,profit_pv
IMAGE 3.0,EN_INDCi2030_800f,BRA,C3,P3b,2020,0.47051708984375,0.0431686942644,17.42186988330841,0,2.190364198987484,22.91008975772857,0.08724895,0.01811793,Delayed action,415083402.5242432,0.0431686942644,191106976.47924906,8197287.517130746,0,199304263.9963798,215779138.52786338,215779138.4846947,0,1,215779138.4846947
IMAGE 3.0,EN_INDCi2030_800f,BRA,C3,P3b,2021,0.5115119750976562,0.064824302089252,17.466724555416107,7.498882244650982,2.2157812918930055,23.27646830587005,0.0806159696,0.018159526,Delayed action,422689631.3886231,0.064824302089252,178627357.26749524,8934438.775827624,33287502.622654587,220849298.66597745,201840332.72264567,201840332.65782136,1,0.9523809523809523,192228888.24554414
IMAGE 3.0,EN_INDCi2030_800f,BRA,C3,P3b,2022,0.5525068603515625,0.08647990991410401,17.511579227523804,14.997764489301964,2.241198384798527,23.64284685401153,0.0739829892,0.018201122,Delayed action,430326340.0171801,0.08647990991410401,165810555.89760688,9675267.658796817,66727501.18150178,242213324.73790547,188113015.2792746,188113015.1927947,2,0.9070294784580498,170624050.0614918
IMAGE 3.0,EN_INDCi2030_800f,BRA,C3,P3b,2023,0.5935017456054688,0.108135517738956,17.556433899631497,22.496646733952943,2.266615477704048,24.009225402153007,0.0673500088,0.018242718,Delayed action,437993528.40991396,0.108135517738956,152656572.36958385,10419774.16603832,100319995.67654155,263396342.21216375,174597186.1977502,174597186.0896147,3,0.863837598531476,150823613.942006
IMAGE 3.0,EN_INDCi2030_800f,BRA,C3,P3b,2024,0.634496630859375,0.129791125563808,17.601288571739193,29.99552897860393,2.2920325706095697,24.375603950294487,0.0607170284,0.018284314,Delayed action,445691196.5668248,0.129791125563808,139165406.68342623,11167958.297552139,134064986.10777396,284398351.0887523,161292845.47807246,161292845.34828135,4,0.8227024747918819,132696023.03425534
IMAGE 3.0,EN_INDCi2030_800f,BRA,C3,P3b,2025,0.6754915161132813,0.15144673338866,17.64614324384689,37.49441122325491,2.317449663515091,24.741982498435966,0.054084048,0.01832591,Delayed action,453419344.48791265,0.15144673338866,125337058.83913405,11919820.05333827,167962472.47519892,305219351.36767125,148199993.1202414,148199992.96879467,5,0.7835261664684589,116118572.36149225
IMAGE 3.0,EN_INDCi2030_800f,BRA,C3,P3b,2026,0.7267007659912109,0.15041262951896803,17.700905475173947,42.107862302250794,2.3437485264444353,24.367854452362057,0.0552997312,0.0190925194,Delayed action,465243733.868099,0.15041262951896803,129608663.51277335,12863261.567546926,196519932.3751282,338991857.4554485,126251876.41265047,126251876.26223783,6,0.7462153966366275,94211093.92114422
IMAGE 3.0,EN_INDCi2030_800f,BRA,C3,P3b,2027,0.7779100158691405,0.14937852564927603,17.755667706501004,46.72131338124669,2.3700473893737795,23.993726406288143,0.0565154144,0.0198591288,Delayed action,476494503.09443736,0.14937852564927603,133944210.35809729,13812311.747331383,226806452.9239279,374562975.0293566,101931528.06508076,101931527.91570224,7,0.7106813301301214,72440833.84132686
IMAGE 3.0,EN_INDCi2030_800f,BRA,C3,P3b,2028,0.8291192657470703,0.14834442177958407,17.810429937828065,51.33476446024257,2.3963462523031236,23.619598360214233,0.0577310976,0.0206257382,Delayed action,487171652.16692805,0.14834442177958407,138343699.37510586,14766970.592691643,258822034.12159783,411932704.0893953,75238948.07753277,75238947.92918834,8,0.676839362028687,50924681.516101435
IMAGE 3.0,EN_INDCi2030_800f,BRA,C3,P3b,2029,0.8803285156249999,0.14731031790989207,17.865192169155122,55.94821553923846,2.4226451152324677,23.24547031414032,0.0589467808,0.0213923476,Delayed action,497275181.08557093,0.14731031790989207,142807130.56379902,15727238.1036277,292566675.9681381,451101044.6355648,46174136.45000613,46174136.30269581,9,0.6446089162177971,29764259.95937359
