model,scenario,region,category,policy_category,year,capacity_electricity_coal,investment_energy_supply_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse,revenue,capex,cost_fuel,cost_om,cost_carbonprice,opex,profit_opexonly,profit,time_from_baseyear,discount_factor,profit_pv
POLES ENGAGE,EN_INDCi2030_800f,BRA,C4,P3b,2020,4.924637317657471,0.0126915695145726,48.86340713500977,2.50134539604187,3.444623470306396,38.71933746337891,0.1876327842473983,0.0668085217475891,Delayed action,2586781698.9743915,0.0126915695145726,646324292.4175243,240634558.24495944,40849401.581925474,927808252.2444093,1658973446.7299821,1658973446.7172906,0,1,1658973446.7172906
POLES ENGAGE,EN_INDCi2030_800f,BRA,C4,P3b,2021,4.782311820983887,0.01524929747051954,48.639589691162115,2.50134539604187,3.322720384597778,39.66241836547852,0.1813194900751113,0.06434649005532261,Delayed action,2552137408.924309,0.01524929747051954,602473965.7974468,232609684.7478506,39344016.95921527,874427667.5045127,1677709741.419796,1677709741.4045467,1,0.9523809523809523,1597818801.3376634
POLES ENGAGE,EN_INDCi2030_800f,BRA,C4,P3b,2022,4.639986324310303,0.01780702542646648,48.41577224731446,2.50134539604187,3.20081729888916,40.60549926757813,0.17500619590282435,0.06188445836305614,Delayed action,2512849328.7355456,0.01780702542646648,560162859.2585454,224648521.10846138,37838632.33650506,822650012.7035118,1690199316.032034,1690199316.014227,2,0.9070294784580498,1533060604.0945368
POLES ENGAGE,EN_INDCi2030_800f,BRA,C4,P3b,2023,4.497660827636719,0.02036475338241342,48.19195480346681,2.50134539604187,3.0789142131805423,41.548580169677734,0.16869290173053736,0.05942242667078966,Delayed action,2468917458.4081006,0.02036475338241342,519390972.80082,216751067.32679185,36333247.713794865,772475287.8414067,1696442170.5666938,1696442170.546329,3,0.863837598531476,1465450530.6522655
POLES ENGAGE,EN_INDCi2030_800f,BRA,C4,P3b,2024,4.355335330963134,0.02292248133836036,47.96813735961915,2.50134539604187,2.957011127471924,42.491661071777344,0.16237960755825037,0.05696039497852318,Delayed action,2420341797.941975,0.02292248133836036,480158306.4242705,208917323.40284196,34827863.09108465,723903492.918197,1696438305.023778,1696438305.0008554,4,0.8227024747918819,1395663991.8559492
POLES ENGAGE,EN_INDCi2030_800f,BRA,C4,P3b,2025,4.213009834289551,0.0254802092943073,47.74431991577149,2.50134539604187,2.835108041763306,43.43474197387695,0.1560663133859634,0.0544983632862567,Delayed action,2367122347.3371687,0.0254802092943073,442464860.1288972,201147289.33661175,33322478.46837445,676934627.9338834,1690187719.4032853,1690187719.377805,5,0.7835261664684589,1324306304.376159
POLES ENGAGE,EN_INDCi2030_800f,BRA,C4,P3b,2026,4.062866258621216,0.02039981045330322,47.6249740600586,2.6514261245727537,2.872890138626099,45.290251922607425,0.16027117967605586,0.05617771893739692,Delayed action,2544303043.11214,0.02039981045330322,460441491.59731257,193493900.17632273,36410261.948993705,690345653.722629,1853957389.389511,1853957389.3691113,6,0.7462153966366275,1383451548.6554778
POLES ENGAGE,EN_INDCi2030_800f,BRA,C4,P3b,2027,3.912722682952881,0.01531941161229913,47.505628204345705,2.801506853103638,2.910672235488892,47.14576187133789,0.16447604596614832,0.05785707458853714,Delayed action,2727715861.1234064,0.01531941161229913,478735860.3966627,185876349.04306957,39621264.456965916,704233473.8966982,2023482387.2267082,2023482387.2113888,7,0.7106813301301214,1438051154.4382632
POLES ENGAGE,EN_INDCi2030_800f,BRA,C4,P3b,2028,3.762579107284546,0.01023901277129505,47.38628234863282,2.9515875816345214,2.948454332351685,49.00127182006836,0.1686809122562408,0.05953643023967736,Delayed action,2917360801.370968,0.01023901277129505,497347966.5269476,178294635.9368523,42955485.99229107,718598088.456091,2198762712.914877,2198762712.904638,8,0.676839362028687,1488209151.85484
POLES ENGAGE,EN_INDCi2030_800f,BRA,C4,P3b,2029,3.612435531616211,0.00515861393029097,47.266936492919925,3.1016683101654055,2.986236429214478,50.856781768798825,0.17288577854633325,0.06121578589081758,Delayed action,3113237863.854824,0.00515861393029097,516277809.9881672,170748760.85767087,46412926.55496919,733439497.4008073,2379798366.4540167,2379798366.4488583,9,0.6446089162177971,1534039245.8134825
