model,scenario,region,category,policy_category,year,capacity_electricity_coal,investment_energy_supply_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse,revenue,capex,cost_fuel,cost_om,cost_carbonprice,opex,profit_opexonly,profit,time_from_baseyear,discount_factor,profit_pv
IMAGE 3.0,EN_INDCi2030_800f,CAN,C3,P3b,2020,10.203578125,0.0177568063424,22.51110407405853,0,2.246590870547295,25.0633379806137,0.16587958,0.06399434,Delayed action,1603911772.2663064,0.0177568063424,372663550.0382197,229693809.09966198,0,602357359.1378816,1001554413.1284248,1001554413.110668,0,1,1001554413.110668
IMAGE 3.0,EN_INDCi2030_800f,CAN,C3,P3b,2021,8.768057690429687,0.01679029433048,22.49656853614044,4.466392361336176,2.263724047440529,25.024236800468437,0.1407329024,0.055913866,Delayed action,1399201823.213661,0.01679029433048,318580455.428981,197251210.76158473,61045908.97659822,576877575.167164,822324248.046497,822324248.0297067,1,0.9523809523809523,783165950.5044825
IMAGE 3.0,EN_INDCi2030_800f,CAN,C3,P3b,2022,7.332537255859375,0.01582378231856,22.48203299822235,8.932784722672352,2.2808572243337633,24.985135620323177,0.1155862248,0.047833392,Delayed action,1195123786.3000817,0.01582378231856,263635675.86854637,164850344.54692525,104447540.58229282,532933560.99776447,662190225.3023173,662190225.2864934,2,0.9070294784580498,600626054.6816267
IMAGE 3.0,EN_INDCi2030_800f,CAN,C3,P3b,2023,5.897016821289063,0.01485727030664,22.46749746030426,13.399177084008528,2.297990401226998,24.946034440177915,0.0904395472,0.039752918,Delayed action,991677661.5255685,0.01485727030664,207829211.356916,132491210.45568353,130204894.81708379,470525316.6296833,521152344.89588517,521152344.8810279,3,0.863837598531476,450190990.07107466
IMAGE 3.0,EN_INDCi2030_800f,CAN,C3,P3b,2024,4.46149638671875,0.01389075829472,22.45296192238617,17.865569445344704,2.315123578120232,24.906933260032652,0.0652928696,0.031672444,Delayed action,788863448.8901216,0.01389075829472,151161061.89408973,100173808.48785958,138317971.68097115,389652842.06292045,399210606.8272011,399210606.8133104,4,0.8227024747918819,328431554.18847936
IMAGE 3.0,EN_INDCi2030_800f,CAN,C3,P3b,2025,3.025975952148438,0.0129242462828,22.43842638446808,22.33196180668088,2.332256755013466,24.86783207988739,0.040146192,0.02359197,Delayed action,586681148.3937409,0.0129242462828,93631227.48006755,67898138.64345343,128786771.17395492,290316137.2974759,296365011.096265,296365011.08334076,5,0.7835261664684589,232209741.0095123
IMAGE 3.0,EN_INDCi2030_800f,CAN,C3,P3b,2026,2.7211599609375003,0.012321771088628,22.433744739471436,22.89757293296504,2.3554577097673417,24.669021687431332,0.039876416,0.023493152,Delayed action,579553076.1941208,0.012321771088628,93927211.50508977,61045807.958941944,131495506.10661262,286468525.5706444,293084550.6234764,293084550.6111546,6,0.7462153966366275,218704204.18237048
IMAGE 3.0,EN_INDCi2030_800f,CAN,C3,P3b,2027,2.416343969726563,0.011719295894456,22.42906309447479,23.463184059249205,2.3786586645212178,24.47021129497528,0.03960664,0.023394334,Delayed action,572464296.0852242,0.011719295894456,94210677.40857264,54196331.35495077,134176915.78757928,282583924.5511027,289880371.53412145,289880371.52240217,7,0.7106813301301214,206012568.01215452
IMAGE 3.0,EN_INDCi2030_800f,CAN,C3,P3b,2028,2.111527978515625,0.011116820700284,22.424381449478147,24.028795185533365,2.4018596192750934,24.271400902519225,0.039336864,0.023295516,Delayed action,565414808.067051,0.011116820700284,94481625.19051613,47349708.83147987,136831000.21685487,278662334.23885083,286752473.8282002,286752473.8170834,8,0.676839362028687,194085361.43850252
IMAGE 3.0,EN_INDCi2030_800f,CAN,C3,P3b,2029,1.8067119873046875,0.01051434550611199,22.419699804481503,24.59440631181753,2.4250605740289695,24.07259051006317,0.039067088,0.023196698,Delayed action,558404612.1396013,0.01051434550611199,94740054.85092026,40505940.38852929,139457759.39443946,274703754.633889,283700857.50571233,283700857.495198,9,0.6446089162177971,182876102.2800393
IMAGE 3.0,EN_INDCi2030_800f,CAN,C3,P3b,2030,1.50189599609375,0.00991187031194,22.41501815948486,25.16001743810169,2.448261528782845,23.87378011760711,0.038797312,0.02309788,Delayed action,551433708.302875,0.00991187031194,94985966.38978502,33665026.026099004,142057193.32033294,270708185.73621696,280725522.5666581,280725522.5567462,10,0.6139132535407591,172341118.9047418
IMAGE 3.0,EN_INDCi2030_800f,CAN,C3,P3b,2031,1.5024995849609375,0.0323800300463135,22.41344113095092,84.71324875689898,2.4512595521459586,23.94487274984741,0.0378520616,0.02257736,Delayed action,540612012.227495,0.0323800300463135,92785227.56541723,33676185.996800154,467524814.5221037,593986228.0843211,-53374215.856826186,-53374215.889206216,11,0.5846792890864372,-31206798.60164711
IMAGE 3.0,EN_INDCi2030_800f,CAN,C3,P3b,2032,1.503103173828125,0.054848189780687,22.41186410241699,144.26648007569628,2.454257575509072,24.015965382087703,0.0369068112,0.02205684,Delayed action,529716305.8782474,0.054848189780687,90578820.97548307,33687344.0637476,777837541.1626893,902103706.20192,-372387400.32367265,-372387400.37852085,12,0.5568374181775593,-207359238.58862862
