model,scenario,region,category,policy_category,year,capacity_electricity_coal,investment_energy_supply_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse,revenue,capex,cost_fuel,cost_om,cost_carbonprice,opex,profit_opexonly,profit,time_from_baseyear,discount_factor,profit_pv
POLES ENGAGE,EN_INDCi2030_800f,CAN,C4,P3b,2020,10.26491928100586,0.4019662737846374,48.86340713500977,20.01076316833496,3.444623470306396,27.7573299407959,0.6086741089820862,0.2056973576545715,Delayed action,5709609424.36784,0.4019662737846374,2096653121.5675273,501578930.0358011,1006172715.3812699,3604404766.984598,2105204657.3832417,2105204656.9812753,0,1,2105204656.9812753
POLES ENGAGE,EN_INDCi2030_800f,CAN,C4,P3b,2021,8.819557857513427,0.3981536771143675,48.639589691162115,22.712216186523435,3.322720384597778,29.32323989868164,0.5202451407909393,0.17585705295205112,Delayed action,5156698551.588155,0.3981536771143675,1728629134.293995,428979675.44691795,976336387.7842382,3133945197.5251513,2022753354.0630035,2022753353.6648498,1,0.9523809523809523,1926431765.3950949
POLES ENGAGE,EN_INDCi2030_800f,CAN,C4,P3b,2022,7.3741964340209964,0.3943410804440976,48.41577224731446,25.413669204711912,3.20081729888916,30.889149856567386,0.4318161725997925,0.14601674824953073,Delayed action,4510333218.248428,0.3943410804440976,1382164675.1975229,357027415.05651903,907089660.4883105,2646281750.7423525,1864051467.5060759,1864051467.1117349,2,0.9070294784580498,1690749630.0333195
POLES ENGAGE,EN_INDCi2030_800f,CAN,C4,P3b,2023,5.928835010528565,0.3905284837738277,48.19195480346681,28.115122222900386,3.0789142131805423,32.45505981445312,0.3433872044086456,0.11617644354701036,Delayed action,3770513424.3486576,0.3905284837738277,1057259744.2781112,285722148.86460423,798432533.4934869,2141414426.6362023,1629098997.7124553,1629098997.3219268,3,0.863837598531476,1407276965.6166089
POLES ENGAGE,EN_INDCi2030_800f,CAN,C4,P3b,2024,4.483473587036133,0.3867158871035578,47.96813735961915,30.816575241088863,2.957011127471924,34.020969772338866,0.25495823621749875,0.08633613884448997,Delayed action,2937239169.888845,0.3867158871035578,753914341.5357592,215063876.8711736,650365006.7997669,1619343225.2066998,1317895944.682145,1317895944.2954292,4,0.8227024747918819,1084236254.8900337
POLES ENGAGE,EN_INDCi2030_800f,CAN,C4,P3b,2025,3.038112163543701,0.3829032904332879,47.74431991577149,33.51802825927734,2.835108041763306,35.58687973022461,0.1665292680263519,0.0564958341419696,Delayed action,2010510454.8689892,0.3829032904332879,472128466.97046727,145052599.07622716,462887080.40715116,1080068146.4538455,930442308.4151437,930442308.0322404,5,0.7835261664684589,729025894.7325662
POLES ENGAGE,EN_INDCi2030_800f,CAN,C4,P3b,2026,2.4892222583293915,0.3234719206150782,47.6249740600586,33.51222839355468,2.872890138626099,37.03355407714844,0.13773323930799958,0.04692989476025098,Delayed action,1737980795.4386399,0.3234719206150782,395692464.9689806,118549145.48265776,384443974.8578038,898685585.3094422,839295210.1291977,839295209.8057258,6,0.7462153966366275,626295007.8804011
POLES ENGAGE,EN_INDCi2030_800f,CAN,C4,P3b,2027,1.9403323531150816,0.26404055079686845,47.505628204345705,33.50642852783203,2.910672235488892,38.480228424072266,0.10893721058964724,0.03736395537853236,Delayed action,1437773537.7927687,0.26404055079686845,317080514.27489275,92176707.35994829,306027993.43304217,715285215.0678833,722488322.7248855,722488322.4608449,7,0.7106813301301214,513458962.00995326
POLES ENGAGE,EN_INDCi2030_800f,CAN,C4,P3b,2028,1.391442447900772,0.2046091809786587,47.38628234863282,33.50062866210937,2.948454332351685,39.926902770996094,0.08014118187129494,0.02779801599681374,Delayed action,1109888681.9313762,0.2046091809786587,236292614.8882039,65935284.7080988,227639136.13286588,529867035.72916853,580021646.2022077,580021645.9975985,8,0.676839362028687,392581480.8398435
POLES ENGAGE,EN_INDCi2030_800f,CAN,C4,P3b,2029,0.8425525426864624,0.145177811160449,47.266936492919925,33.49482879638672,2.986236429214478,41.37357711791992,0.05134515315294262,0.01823207661509512,Delayed action,754326227.8544624,0.145177811160449,153328766.80891386,39824877.52710922,149277402.95727524,342431047.29329836,411895180.561164,411895180.41598624,9,0.6446089162177971,265511305.8432829
