model,scenario,region,category,policy_category,year,capacity_electricity_coal,investment_energy_supply_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse,revenue,capex,cost_fuel,cost_om,cost_carbonprice,opex,profit_opexonly,profit,time_from_baseyear,discount_factor,profit_pv
IMAGE 3.0,EN_INDCi2030_800f,CHN,C3,P3b,2020,479.14463671875,17.75779263864832,17.66678047080993,0,2.034636989006996,22.30537410972595,38.71927859199999,14.222925968,Delayed action,317247684651.1761,17.75779263864832,78779676410.9499,8464943110.67613,0,87244619521.62604,230003065129.55005,230003065111.79227,0,1,230003065111.79227
IMAGE 3.0,EN_INDCi2030_800f,CHN,C3,P3b,2021,487.8661818359375,17.43772220760064,17.73370995055389,0.8481237912953589,2.068405107207775,22.663777085372924,38.39659249919999,14.1589033952,Delayed action,320894230322.14264,17.43772220760064,79419708024.721,8651677363.362698,2935411802.4297614,91006797190.51346,229887433131.62918,229887433114.19147,1,0.9523809523809523,218940412489.70615
IMAGE 3.0,EN_INDCi2030_800f,CHN,C3,P3b,2022,496.587726953125,17.11765177655296,17.80063943029785,1.6962475825907175,2.102173225408554,23.0221800610199,38.0739064064,14.0948808224,Delayed action,324494884231.909,17.11765177655296,80037946634.2453,8839579073.003778,5844277394.242287,94721803101.49136,229773081130.41763,229773081113.3,2,0.9070294784580498,208410957925.89566
IMAGE 3.0,EN_INDCi2030_800f,CHN,C3,P3b,2023,505.3092720703125,16.79758134550528,17.86756891004181,2.5443713738860763,2.135941343609333,23.38058303666687,37.7512203136,14.0308582496,Delayed action,328049646380.47516,16.79758134550528,80634392239.52272,9028648239.599375,8726596775.437574,98389637254.55968,229660009125.91547,229660009109.1179,3,0.863837598531476,198388950747.5373
IMAGE 3.0,EN_INDCi2030_800f,CHN,C3,P3b,2024,514.0308171875,16.4775109144576,17.93449838978577,3.3924951651814355,2.169709461810112,23.738986012313845,37.42853422080001,13.9668356768,Delayed action,331558516767.8412,16.4775109144576,81209044840.55334,9218884863.149483,11582369946.015633,102010299649.71844,229548217118.12274,229548217101.64523,4,0.8227024747918819,188849886293.5877
IMAGE 3.0,EN_INDCi2030_800f,CHN,C3,P3b,2025,522.7523623046875,16.15744048340992,18.00142786952973,4.240618956476794,2.203477580010891,24.09738898796082,37.10584812800001,13.902813104,Delayed action,335021495394.00696,16.15744048340992,81761904437.33711,9410288943.654104,14411596905.976446,105583790286.96765,229437705107.0393,229437705090.88187,5,0.7835261664684589,179770445513.17947
IMAGE 3.0,EN_INDCi2030_800f,CHN,C3,P3b,2026,530.544162890625,14.45540169541632,18.06554177019501,3.607873293838971,2.238096013235092,24.18488026605225,37.50344977280001,14.1179021408,Delayed action,341439772883.09076,14.45540169541632,83936321419.06622,9584567735.633732,12450924957.490398,105971814112.19035,235467958770.9004,235467958756.44498,6,0.7462153966366275,175709816238.65762
IMAGE 3.0,EN_INDCi2030_800f,CHN,C3,P3b,2027,538.3359634765625,12.75336290742272,18.129655670860295,2.975127631201148,2.272714446459293,24.27237154414368,37.90105141760001,14.3329911776,Delayed action,347895687201.6407,12.75336290742272,86138267092.77602,9759845653.070902,10423716866.50312,106321829612.35004,241573857589.29065,241573857576.5373,7,0.7106813301301214,171682030427.15802
IMAGE 3.0,EN_INDCi2030_800f,CHN,C3,P3b,2028,546.1277640625,11.051324119429122,18.193769571525575,2.3423819685633243,2.3073328796834947,24.359862822235108,38.29865306240001,14.5480802144,Delayed action,354389238349.65674,11.051324119429122,88367741458.46649,9936122695.96561,8329972633.014614,106633836787.44672,247755401562.21002,247755401551.1587,8,0.676839362028687,167690607925.04742
IMAGE 3.0,EN_INDCi2030_800f,CHN,C3,P3b,2029,553.9195646484375,9.34928533143552,18.25788347219086,1.709636305925501,2.3419513129076956,24.44735410032654,38.696254707200005,14.7631692512,Delayed action,360920426327.139,9.34928533143552,90624744516.13765,10113398864.317862,6169692257.024881,106907835637.4804,254012590689.65857,254012590680.3093,9,0.6446089162177971,163738780784.1091
IMAGE 3.0,EN_INDCi2030_800f,CHN,C3,P3b,2030,561.711365234375,7.64724654344192,18.32199737285614,1.076890643287678,2.376569746131897,24.53484537841797,39.093856352,14.978258288,Delayed action,367489251134.0874,7.64724654344192,92909276265.78949,10291674158.127653,3942875738.5339203,107143826162.45107,260345424971.63635,260345424963.9891,10,0.6139132535407591,159829506884.09412
IMAGE 3.0,EN_INDCi2030_800f,CHN,C3,P3b,2031,545.0678427734375,10.029242814269953,18.38451142624664,65.44674732104777,2.388418377315521,26.435419571083074,33.6311218752,12.9128277824,Delayed action,341356020276.8822,10.029242814269953,80325189536.46571,10020805983.547869,206580629951.65158,296926625471.66516,44429394805.21704,44429394795.1878,11,0.5846792890864372,25976946963.391052
IMAGE 3.0,EN_INDCi2030_800f,CHN,C3,P3b,2032,528.4243203125,12.411239085097986,18.447025479637144,129.81660399880784,2.4002670084991453,28.335993763748174,28.1683873984,10.8473972768,Delayed action,307371781588.3037,12.411239085097986,67611650955.002594,9747856900.864628,344219889860.0225,421579397715.8898,-114207616127.58606,-114207616139.9973,12,0.5568374181775593,-63595074107.60984
IMAGE 3.0,EN_INDCi2030_800f,CHN,C3,P3b,2033,511.7807978515625,14.793235355926017,18.509539533027645,194.18646067656792,2.41211563968277,30.23656795641328,22.7056529216,8.7819667712,Delayed action,265536535068.3521,14.793235355926017,54768660521.40013,9472826910.077927,416860655463.6467,481102142895.12476,-215565607826.77264,-215565607841.5659,13,0.5303213506452945,-114319044303.2131
