model,scenario,region,category,policy_category,year,capacity_electricity_coal,investment_energy_supply_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse,revenue,capex,cost_fuel,cost_om,cost_carbonprice,opex,profit_opexonly,profit,time_from_baseyear,discount_factor,profit_pv
POLES ENGAGE,EN_INDCi2030_800f,CHN,C4,P3b,2020,1050.912109375,30.42036247253418,48.86340713500977,1.250672698020935,2.85962986946106,31.23498916625977,46.00083160400391,18.04047775268555,Delayed action,563494127159.2836,30.42036247253418,131545352074.85791,51351146263.50255,5515334729.553706,188411833067.91418,375082294091.3694,375082294060.94904,0,1,375082294060.94904
POLES ENGAGE,EN_INDCi2030_800f,CHN,C4,P3b,2021,1073.8900390625,24.336289978027345,48.639589691162115,3.501883602142334,2.980364561080933,33.20931243896485,47.058586883544926,18.460541534423832,Delayed action,613061891609.1687,24.336289978027345,140251744642.26532,52233570873.426056,15802518767.705095,208287834283.39648,404774057325.7722,404774057301.4359,1,0.9523809523809523,385499102191.8437
POLES ENGAGE,EN_INDCi2030_800f,CHN,C4,P3b,2022,1096.86796875,18.252217483520507,48.41577224731446,5.753094506263733,3.101099252700806,35.18363571166993,48.11634216308594,18.88060531616211,Delayed action,664288339459.6664,18.252217483520507,149213552724.6421,53105709760.374435,26552021642.506813,228871284127.52335,435417055332.14307,435417055313.89087,2,0.9070294784580498,394936104593.09827
POLES ENGAGE,EN_INDCi2030_800f,CHN,C4,P3b,2023,1119.8458984375,12.168144989013673,48.19195480346681,8.004305410385133,3.2218339443206787,37.15795898437501,49.17409744262695,19.300669097900396,Delayed action,717173470710.7771,12.168144989013673,158430776321.9882,53967562924.34767,37763843353.958885,250162182600.29477,467011288110.4823,467011288098.31415,3,0.863837598531476,403421909597.93896
POLES ENGAGE,EN_INDCi2030_800f,CHN,C4,P3b,2024,1142.823828125,6.0840724945068345,47.96813735961915,10.255516314506531,3.342568635940552,39.132282257080085,50.231852722167964,19.72073287963868,Delayed action,771717285362.5005,6.0840724945068345,167903415434.30368,54819130365.34579,49437983902.06129,272160529701.71075,499556755660.78973,499556755654.7057,4,0.8227024747918819,410986579176.12976
POLES ENGAGE,EN_INDCi2030_800f,CHN,C4,P3b,2025,1165.8017578125,0,47.74431991577149,12.50672721862793,3.463303327560425,41.10660552978516,51.28960800170898,20.14079666137696,Delayed action,827919783414.8367,0,177631470061.5885,55660412083.36876,61574443286.814026,294866325431.7713,533053457983.06537,533053457983.06537,5,0.7835261664684589,417661332456.2269
POLES ENGAGE,EN_INDCi2030_800f,CHN,C4,P3b,2026,1161.898388671875,9.321504519821842,47.6249740600586,19.010224914550783,3.4979144573211673,44.38086776733399,48.81633834838867,19.179922485351568,Delayed action,851221603610.1039,9.321504519821842,170755375662.31046,55335380620.92193,89128023182.04475,315218779465.27716,536002824144.8267,536002824135.5052,6,0.7462153966366275,399973560010.6285
POLES ENGAGE,EN_INDCi2030_800f,CHN,C4,P3b,2027,1157.99501953125,18.643009039643683,47.505628204345705,25.513722610473636,3.5325255870819094,47.65513000488282,46.343068695068354,18.219048309326176,Delayed action,868231115746.1794,18.643009039643683,163708075949.2236,55011280860.3356,113626515393.34741,332345872202.9066,535885243543.2728,535885243524.6298,7,0.7106813301301214,380843637665.1879
POLES ENGAGE,EN_INDCi2030_800f,CHN,C4,P3b,2028,1154.091650390625,27.96451355946552,47.38628234863282,32.01722030639648,3.567136716842652,50.929392242431646,43.869799041748045,17.258174133300784,Delayed action,878948319823.0635,27.96451355946552,156489570922.32803,54688112801.609795,135069919920.72194,346247603644.6598,532700716178.4037,532700716150.43915,8,0.676839362028687,360552812871.4879
POLES ENGAGE,EN_INDCi2030_800f,CHN,C4,P3b,2029,1150.18828125,37.286018079287366,47.266936492919925,38.52071800231934,3.601747846603394,54.20365447998047,41.39652938842773,16.297299957275392,Delayed action,883373215840.7559,37.286018079287366,149099860581.6237,54365876444.74447,153458236764.16843,356923973790.5366,526449242050.21924,526449242012.9332,9,0.6446089162177971,339353875337.6377
