model,scenario,region,category,policy_category,year,capacity_electricity_coal,investment_energy_supply_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse,revenue,capex,cost_fuel,cost_om,cost_carbonprice,opex,profit_opexonly,profit,time_from_baseyear,discount_factor,profit_pv
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,CHN,C3,P3b,2020,846.5549,26.1684,25.898,0.2769,1.7543000000000002,20.5354,43.0342,15.2726,Delayed action,313628950040,26.1684,75494897060,21924078800.2,1033751385.3333333,98452727245.53333,215176222794.46667,215176222768.29828,0,1,215176222768.29828
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,CHN,C3,P3b,2021,842.44696,21.58682,26.6869,0.44306,1.78082,20.23692,43.16996,15.3462,Delayed action,310559821704,21.58682,76877928167.20001,22482297776.824,1662048024.2666664,101022273968.29068,209537547735.70932,209537547714.1225,1,0.9523809523809523,199559569251.54523
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,CHN,C3,P3b,2022,838.33902,17.00524,27.4758,0.60922,1.80734,19.93844,43.30572,15.4198,Delayed action,307446757112,17.00524,78268159984.8,23034035245.716,2296323469.2444444,103598518699.76045,203848238412.23956,203848238395.2343,2,0.9070294784580498,184896361356.2216
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,CHN,C3,P3b,2023,834.23108,12.42366,28.2647,0.77538,1.83386,19.63996,43.44148,15.4934,Delayed action,304289756264,12.42366,79665592512.8,23579291206.876,2936577720.2666664,106181461439.94266,198108294824.05734,198108294811.6337,3,0.863837598531476,171133393639.2473
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,CHN,C3,P3b,2024,830.12314,7.842079999999999,29.053600000000003,0.94154,1.86038,19.34148,43.57724,15.567,Delayed action,301088819160,7.842079999999999,81070225751.20001,24118065660.304005,3582810777.333333,108771102188.83734,192317716971.16266,192317716963.3206,4,0.8227024747918819,158220261692.04852
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,CHN,C3,P3b,2025,826.0152,3.2605,29.8425,1.1077,1.8869,19.043,43.713,15.6406,Delayed action,297843945800,3.2605,82482059700,24650358606,4235022640.444443,111367440946.44444,186476504853.55554,186476504850.29504,5,0.7835261664684589,146109220981.78864
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,CHN,C3,P3b,2026,804.53076,2.71134,30.63142,2.53196,1.88518,19.77968,42.52674,15.23456,Delayed action,301334721740.8,2.71134,80170559713.2,24643919612.4792,9429028042.524445,114243507368.20364,187091214372.59634,187091214369.885,6,0.7462153966366275,139610344738.25204
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,CHN,C3,P3b,2027,783.04632,2.16218,31.420340000000003,3.95622,1.88346,20.51636,41.34048,14.82852,Delayed action,304227254587.2,2.16218,77863140460.8,24603581610.148804,14340305807.519997,116807027878.46881,187420226708.7312,187420226706.56903,7,0.7106813301301214,133196056009.11337
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,CHN,C3,P3b,2028,761.56188,1.61302,32.20926,5.38048,1.88174,21.25304,40.15422,14.42248,Delayed action,306521544339.2,1.61302,75559801942.8,24529344599.0088,18968855935.43111,119058002477.23991,187463541861.96008,187463541860.34708,8,0.676839362028687,126882704076.39537
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,CHN,C3,P3b,2029,740.07744,1.06386,32.998180000000005,6.804740000000001,1.88002,21.98972,38.96796,14.01644,Delayed action,308217590996.8,1.06386,73260544159.2,24421208579.059204,23314678426.25778,120996431164.51698,187221159832.28302,187221159831.21915,9,0.6446089162177971,120684428931.84116
