model,scenario,region,category,policy_category,year,capacity_electricity_coal,investment_energy_supply_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse,revenue,capex,cost_fuel,cost_om,cost_carbonprice,opex,profit_opexonly,profit,time_from_baseyear,discount_factor,profit_pv
IMAGE 3.0,EN_INDCi2030_800f,EU,C3,P3b,2020,192.057666015625,1.674185838340241,40.72062195732117,0,2.346445681346244,28.81459282433004,9.039498368,3.783397344,Delayed action,109017053960.01173,1.674185838340241,21210691907.13002,7820707611.827716,0,29031399518.957737,79985654441.054,79985654439.37982,0,1,79985654439.37982
IMAGE 3.0,EN_INDCi2030_800f,EU,C3,P3b,2021,189.62672220413685,1.825451074290149,40.796333694305424,4.161825954998064,2.3655671801614258,29.36665624222184,8.60684032872461,3.644296218499023,Delayed action,107020794293.48978,1.825451074290149,20360059006.520714,7736075036.397324,3707470944.185685,31803604987.10372,75217189306.38605,75217189304.5606,1,0.9523809523809523,71635418385.29579
IMAGE 3.0,EN_INDCi2030_800f,EU,C3,P3b,2022,187.19577839264863,1.9767163102400571,40.87204543128968,8.323651909996128,2.384688678976607,29.91871966011364,8.174182289449218,3.5051950929980467,Delayed action,104870949341.41452,1.9767163102400571,19492879965.540634,7651074359.00997,7131916936.40366,34275871260.954266,70595078080.46025,70595078078.48354,2,0.9070294784580498,64031816851.23222
IMAGE 3.0,EN_INDCi2030_800f,EU,C3,P3b,2023,184.76483458116053,2.127981546189965,40.94775716827392,12.485477864994191,2.403810177791789,30.470783078005432,7.741524250173828,3.3660939674970702,Delayed action,102567519103.78589,2.127981546189965,18609154784.189796,7565705579.665661,10273337976.653925,36448198340.509384,66119320763.276505,66119320761.14852,3,0.863837598531476,57116355262.8429
IMAGE 3.0,EN_INDCi2030_800f,EU,C3,P3b,2024,182.33389076967237,2.279246782139873,41.02346890525818,16.647303819992256,2.42293167660697,31.02284649589723,7.308866210898438,3.226992841996094,Delayed action,100110503580.60397,2.279246782139873,17708883462.46819,7479968698.364395,13131734064.93648,38320586225.769066,61789917354.83491,61789917352.555664,4,0.8227024747918819,50834717923.13339
IMAGE 3.0,EN_INDCi2030_800f,EU,C3,P3b,2025,179.9029469581842,2.430512018089781,41.09918064224243,20.80912977499032,2.442053175422152,31.57490991378903,6.876208171623047,3.087891716495117,Delayed action,97499902771.86868,2.430512018089781,16792066000.375813,7393863715.106171,15707105201.251322,39893034916.73331,57606867855.135376,57606867852.704865,5,0.7835261664684589,45136488330.88494
IMAGE 3.0,EN_INDCi2030_800f,EU,C3,P3b,2026,175.91647378015514,2.4529829747084166,41.16574924782562,23.18072973411227,2.46189289944556,31.85015296129733,6.570390577298438,2.9676250483210938,Delayed action,94519311720.80421,2.4529829747084166,16175597908.83504,7241733448.195558,16815752359.34321,40233083716.37381,54286228004.430405,54286228001.977425,6,0.7462153966366275,40509219160.40198
IMAGE 3.0,EN_INDCi2030_800f,EU,C3,P3b,2027,171.93000060212609,2.4754539313270527,41.232317853408816,25.55232969323422,2.481732623468968,32.12539600880562,6.264572982973829,2.84735838014707,Delayed action,91472515541.21593,2.4754539313270527,15546995143.948458,7089072433.363631,17784956465.053867,40421024042.36595,51051491498.849976,51051491496.37452,7,0.7106813301301214,36281341881.77002
IMAGE 3.0,EN_INDCi2030_800f,EU,C3,P3b,2028,167.94352742409703,2.4979248879456883,41.298886458992015,27.92392965235617,2.5015723474923757,32.40063905631393,5.9587553886492195,2.727091711973047,Delayed action,88359514233.10391,2.4979248879456883,14906257705.716072,6935880670.6103945,18614717518.38329,40456855894.709755,47902658338.39416,47902658335.89623,8,0.676839362028687,32422404707.546173
IMAGE 3.0,EN_INDCi2030_800f,EU,C3,P3b,2029,163.95705424606797,2.5203958445643244,41.36545506457521,30.295529611478116,2.5214120715157837,32.675882103822225,5.65293779432461,2.6068250437990232,Delayed action,85180307796.4681,2.5203958445643244,14253385594.13788,6782158159.935844,19305035519.33148,40340579273.4052,44839728523.0629,44839728520.5425,9,0.6446089162177971,28904088805.12715
IMAGE 3.0,EN_INDCi2030_800f,EU,C3,P3b,2030,159.9705810680389,2.54286680118296,41.4320236701584,32.66712957060007,2.541251795539192,32.95112515133052,5.347120200000001,2.486558375625,Delayed action,81934896231.30852,2.54286680118296,13588378809.213884,6627904901.339981,19855910467.89844,40072194178.4523,41862702052.85622,41862702050.31335,10,0.6139132535407591,25700067617.715275
IMAGE 3.0,EN_INDCi2030_800f,EU,C3,P3b,2031,147.72539720306395,3.054756580339048,41.48972804006196,90.71893846289768,2.540978364418077,32.880280323274384,4.8301102243625005,2.2791862542625,Delayed action,74940282949.10472,3.054756580339048,12273205577.859657,6129086554.565254,50542642955.66982,68944935088.09473,5995347861.0099945,5995347857.955238,11,0.5846792890864372,3505355723.4151626
IMAGE 3.0,EN_INDCi2030_800f,EU,C3,P3b,2032,135.48021333808896,3.5666463594951363,41.54743240996552,148.77074735519528,2.5407049332969622,32.809435495218246,4.313100248725,2.0718141329,Delayed action,67975052151.46408,3.5666463594951363,10958315079.739964,5628855006.551961,75343971250.18839,91931141336.48032,-23956089185.016235,-23956089188.582882,12,0.5568374181775593,-13339646853.401833
IMAGE 3.0,EN_INDCi2030_800f,EU,C3,P3b,2033,123.235029473114,4.078536138651224,41.605136779869085,206.82255624749288,2.5404315021758475,32.738590667162114,3.796090273087501,1.8644420115375,Delayed action,61039203838.38655,4.078536138651224,9643707314.854803,5127210257.300106,94259895351.45415,109030812923.60905,-47991609085.2225,-47991609089.30104,13,0.5303213506452945,-25450974951.87912
IMAGE 3.0,EN_INDCi2030_800f,EU,C3,P3b,2034,110.98984560813903,4.590425917807313,41.662841149772646,264.8743651397905,2.5401580710547327,32.667745839105976,3.2790802974499997,1.6570698901749998,Delayed action,54132738009.87215,4.590425917807313,8329382283.204171,4624152306.809688,107290415259.46709,120243949849.48094,-66111211839.608795,-66111211844.19922,14,0.5050679529955185,-33390654436.20278
IMAGE 3.0,EN_INDCi2030_800f,EU,C3,P3b,2035,98.74466174316407,5.1023156969634,41.72054551967621,322.9261740320881,2.539884639933618,32.59690101104984,2.7620703218125,1.4496977688125,Delayed action,47255654665.920876,5.1023156969634,7015339984.788074,4119681155.0807066,114435530974.22725,125570552114.09602,-78314897448.17514,-78314897453.27745,15,0.48101709809097004,-37670804710.26742
IMAGE 3.0,EN_INDCi2030_800f,EU,C3,P3b,2036,93.86588959801198,6.11924802809556,41.76903830195618,374.3490280517727,2.5353435360456698,29.58032788643108,2.6276887171859373,1.394111522032031,Delayed action,41238275931.95896,6.11924802809556,6662093603.857504,3920687937.866552,127571716132.29224,138154497674.0163,-96916221742.05734,-96916221748.17659,16,0.4581115219914,-44398437850.713196
IMAGE 3.0,EN_INDCi2030_800f,EU,C3,P3b,2037,88.98711745285989,7.136180359227721,41.817531084236144,425.7718820714573,2.5308024321577216,26.563754761812323,2.493307112559375,1.3385252752515624,Delayed action,35556257154.269844,7.136180359227721,6310067704.581412,3721221550.1815414,139310459601.88455,149341748856.64752,-113785491702.37769,-113785491709.51387,17,0.4362966876108571,-49644233131.03355
IMAGE 3.0,EN_INDCi2030_800f,EU,C3,P3b,2038,84.1083453077078,8.15311269035988,41.86602386651611,477.19473609114186,2.5262613282697735,23.547181637193567,2.358925507932813,1.2829390284710935,Delayed action,30209598332.853493,8.15311269035988,5959262286.959798,3521281992.0256724,149651761383.00406,159132305661.98953,-128922707329.13605,-128922707337.28915,18,0.41552065486748296,-53570047780.07924
IMAGE 3.0,EN_INDCi2030_800f,EU,C3,P3b,2039,79.22957316255571,9.17004502149204,41.91451664879608,528.6175901108264,2.5217202243818253,20.53060851257481,2.2245439033062504,1.227352781690625,Delayed action,25198299467.709915,9.17004502149204,5609677350.99266,3320869263.3989487,158595621475.6509,167526168090.0425,-142327868622.33258,-142327868631.50262,19,0.39573395701665043,-56323970647.29053
IMAGE 3.0,EN_INDCi2030_800f,EU,C3,P3b,2040,74.35080101740361,10.1869773526242,41.96300943107605,580.040444130511,2.517179120493877,17.51403538795605,2.090162298679688,1.171766534910156,Delayed action,20522360558.83911,10.1869773526242,5261312896.679997,3119983364.3013663,166142039879.825,174523336140.80637,-154000975581.96725,-154000975592.15424,20,0.3768894828730004,-58041348052.86456
IMAGE 3.0,EN_INDCi2030_800f,EU,C3,P3b,2041,75.08590091638938,10.55442950781512,42.002063283462526,603.6283655690048,2.511117709338427,14.83663358917517,2.157092164977916,1.1972698557456358,Delayed action,17763454157.06261,10.55442950781512,5416712336.151213,3153762761.9859834,176661477952.36752,185231953050.50473,-167468498893.4421,-167468498903.99655,21,0.35894236464095275,-60111538999.47133
IMAGE 3.0,EN_INDCi2030_800f,EU,C3,P3b,2042,75.82100081537516,10.92188166300604,42.041117135849,627.2162870074986,2.5050562981829776,12.15923179039429,2.2240220312761436,1.2227731765811156,Delayed action,14867982481.126513,10.92188166300604,5571300396.746003,3187599576.6364894,187475017074.29532,196233917047.6778,-181365934566.55127,-181365934577.47314,22,0.3418498710866216,-61999921354.81384
IMAGE 3.0,EN_INDCi2030_800f,EU,C3,P3b,2043,76.55610071436092,11.28933381819696,42.08017098823548,650.8042084459923,2.4989948870275276,9.481829991613411,2.2909518975743715,1.2482764974165954,Delayed action,11835945531.030815,11.28933381819696,5725077078.464367,3221493808.252884,198582657245.60828,207529228132.32553,-195693282601.2947,-195693282612.58405,23,0.3255713057967825,-63712117555.837784
IMAGE 3.0,EN_INDCi2030_800f,EU,C3,P3b,2044,77.2912006133467,11.65678597338788,42.11922484062195,674.3921298844862,2.492933475872078,6.804428192832532,2.3578817638725993,1.2737798182520752,Delayed action,8667343306.775518,11.65678597338788,5878042381.306305,3255445456.8351674,209984398466.30658,219117886304.44806,-210450542997.67255,-210450543009.32935,24,0.31006791028264996,-65253960088.7517
IMAGE 3.0,EN_INDCi2030_800f,EU,C3,P3b,2045,78.02630051233247,12.0242381285788,42.15827869300843,697.98005132298,2.486872064716628,4.127026394051653,2.424811630170827,1.299283139087555,Delayed action,5362175808.360625,12.0242381285788,6030196305.271817,3289454522.383339,221680240736.3901,230999891564.04526,-225637715755.68463,-225637715767.70886,25,0.29530277169776187,-66631442865.75621
IMAGE 3.0,EN_INDCi2030_800f,EU,C3,P3b,2046,81.18269395715669,11.661697703846828,42.18918076151276,721.5679801372285,2.480244275033877,4.226323112946197,2.5488519273683337,1.3523661518864918,Delayed action,5715536324.883987,11.661697703846828,6321775400.764373,3425031350.065053,238534783085.54697,248281589836.3764,-242566053511.49243,-242566053523.15414,26,0.28124073495024937,-68219455166.8334
IMAGE 3.0,EN_INDCi2030_800f,EU,C3,P3b,2047,84.3390874019809,11.299157279114857,42.22008283001709,745.1559089514769,2.4736164853511258,4.325619831840741,2.67289222456584,1.4054491646854286,Delayed action,6079438779.407293,11.299157279114857,6611710270.252906,3560803255.9196844,256001472172.4202,266173985698.59277,-260094546919.1855,-260094546930.48465,27,0.26784831900023753,-69665887176.45871
IMAGE 3.0,EN_INDCi2030_800f,EU,C3,P3b,2048,87.49548084680512,10.936616854382883,42.25098489852142,768.7438377657253,2.466988695668374,4.424916550735285,2.7969325217633467,1.4585321774843654,Delayed action,6453883171.930542,10.936616854382883,6900000913.737415,3696770239.9472337,274080307997.00974,284677079150.6944,-278223195978.76385,-278223195989.7005,28,0.2550936371430833,-70972967002.58562
IMAGE 3.0,EN_INDCi2030_800f,EU,C3,P3b,2049,90.65187429162934,10.574076429650912,42.28188696702576,792.3317665799738,2.460360905985623,4.524213269629828,2.9209728189608533,1.5116151902833022,Delayed action,6838869502.453733,10.574076429650912,7186647331.217904,3832932302.147701,292771290559.3158,303790870192.6814,-296952000690.22766,-296952000700.80176,29,0.24294632108865077,-72143396110.17424
IMAGE 3.0,EN_INDCi2030_800f,EU,C3,P3b,2050,93.80826773645356,10.21153600491894,42.31278903553009,815.9196953942222,2.453733116302872,4.623509988524372,3.04501311615836,1.564698203082239,Delayed action,7234397770.976869,10.21153600491894,7471649522.69437,3969289442.5210834,312074419859.3382,323515358824.55365,-316280961053.5768,-316280961063.7883,30,0.23137744865585788,-73180281829.36208
IMAGE 3.0,EN_INDCi2030_800f,EU,C3,P3b,2051,95.44030583459808,9.409616993933318,42.340144691394805,826.5267386157668,2.4445889763598077,4.661015036649871,3.186381151644318,1.6262241045749573,Delayed action,7579855004.386348,9.409616993933318,7789392237.790368,4040956358.4278545,328562105767.54517,340392454363.76337,-332812599359.377,-332812599368.7866,31,0.22035947491034083,-73338409640.45145
IMAGE 3.0,EN_INDCi2030_800f,EU,C3,P3b,2052,97.07234393274264,8.607697982947697,42.36750034725952,837.1337818373113,2.4354448364167434,4.698520084775368,3.327749187130276,1.6877500060676758,Delayed action,7929927301.588725,8.607697982947697,8104549574.686445,4112712565.2797694,345368844425.09247,357586106565.05865,-349656179263.4699,-349656179272.07764,32,0.20986616658127696,-73381001965.28668
