model,scenario,region,category,policy_category,year,capacity_electricity_coal,investment_energy_supply_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse,revenue,capex,cost_fuel,cost_om,cost_carbonprice,opex,profit_opexonly,profit,time_from_baseyear,discount_factor,profit_pv
POLES ENGAGE,EN_INDCi2030_800f,EU,C4,P3b,2020,132.9200592041016,7.014925479888916,48.86340713500977,0,2.189592123031616,48.61010360717773,6.440461158752441,2.277707815170288,Delayed action,110719612882.30612,7.014925479888916,14101983021.895422,6494926969.299619,0,20596909991.19504,90122702891.11108,90122702884.09616,0,1,90122702884.09616
POLES ENGAGE,EN_INDCi2030_800f,EU,C4,P3b,2021,128.529508972168,6.197107517982458,48.639589691162115,0,2.308969449996948,48.60761718749999,6.207885456085205,2.2003520727157593,Delayed action,106953871228.28978,6.197107517982458,14333817867.181108,6251622579.612792,0,20585440446.7939,86368430781.49588,86368430775.29877,1,0.9523809523809523,82255648357.4274
POLES ENGAGE,EN_INDCi2030_800f,EU,C4,P3b,2022,124.1389587402344,5.3792895560759995,48.41577224731446,0,2.42834677696228,48.60513076782226,5.975309753417969,2.1229963302612305,Delayed action,103188514251.95387,5.3792895560759995,14510124181.063803,6010283553.385956,0,20520407734.44976,82668106517.50412,82668106512.12483,2,0.9070294784580498,74982409534.8071
POLES ENGAGE,EN_INDCi2030_800f,EU,C4,P3b,2023,119.7484085083008,4.561471594169541,48.19195480346681,0,2.547724103927612,48.60264434814452,5.742734050750732,2.0456405878067017,Delayed action,99423541953.29843,4.561471594169541,14630901963.543493,5770909890.619112,0,20401811854.162605,79021730099.13583,79021730094.57436,3,0.863837598531476,68261941556.69958
POLES ENGAGE,EN_INDCi2030_800f,EU,C4,P3b,2024,115.3578582763672,3.743653632263083,47.96813735961915,0,2.667101430892944,48.60015792846679,5.510158348083496,1.9682848453521729,Delayed action,95658954332.32343,3.743653632263083,14696151214.620193,5533501591.312261,0,20229652805.932453,75429301526.39098,75429301522.64732,4,0.8227024747918819,62055873034.50501
POLES ENGAGE,EN_INDCi2030_800f,EU,C4,P3b,2025,110.9673080444336,2.925835670356624,47.74431991577149,0,2.786478757858276,48.597671508789055,5.27758264541626,1.890929102897644,Delayed action,91894751389.02888,2.925835670356624,14705871934.293894,5298058655.465401,0,20003930589.759293,71890820799.26959,71890820796.34375,5,0.7835261664684589,56328339222.83018
POLES ENGAGE,EN_INDCi2030_800f,EU,C4,P3b,2026,108.86716308593748,3.268170182845177,47.6249740600586,0,2.8157291889190668,48.79787445068359,5.140676784515381,1.8453386306762696,Delayed action,90048602818.73697,3.268170182845177,14474753672.95857,5184795817.959942,0,19659549490.91851,70389053327.81845,70389053324.55028,6,0.7462153966366275,52525395345.45601
POLES ENGAGE,EN_INDCi2030_800f,EU,C4,P3b,2027,106.7670181274414,3.610504695333729,47.505628204345705,0,2.844979619979858,48.99807739257812,5.003770923614502,1.799748158454895,Delayed action,88184199555.1229,3.610504695333729,14235626300.731047,5072034267.6488695,0,19307660568.379917,68876538986.74298,68876538983.13248,7,0.7106813301301214,48949270339.29175
POLES ENGAGE,EN_INDCi2030_800f,EU,C4,P3b,2028,104.6668731689453,3.952839207822281,47.38628234863282,0,2.874230051040649,49.198280334472656,4.866865062713623,1.7541576862335209,Delayed action,86301541598.18669,3.952839207822281,13988489817.611328,4959774004.532183,0,18948263822.14351,67353277776.04318,67353277772.09034,8,0.676839362028687,45587349557.80257
POLES ENGAGE,EN_INDCi2030_800f,EU,C4,P3b,2029,102.5667282104492,4.295173720310834,47.266936492919925,0,2.90348048210144,49.39848327636719,4.729959201812744,1.7085672140121464,Delayed action,84400628947.92828,4.295173720310834,13733344223.59941,4848015028.60988,0,18581359252.20929,65819269695.718994,65819269691.42382,9,0.6446089162177971,42427688102.035614
