model,scenario,region,category,policy_category,year,capacity_electricity_coal,investment_energy_supply_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse,revenue,capex,cost_fuel,cost_om,cost_carbonprice,opex,profit_opexonly,profit,time_from_baseyear,discount_factor,profit_pv
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,EU,C3,P3b,2020,116.6991,0.0033,68.7048,14.8571,1.7543,22.5903,5.103,2.1308,Delayed action,48135411239.99999,0.0033,8952192900,8017788325.68,7738502121.777777,24708483347.45778,23426927892.542213,23426927892.538914,0,1,23426927892.538914
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,EU,C3,P3b,2021,103.39272,0.00266,68.63756000000001,20.44832,1.78082,22.32242,4.5065599999999995,1.8946,Delayed action,42292056932,0.00266,8025372179.199999,7096624022.563201,9470116839.822222,24592113041.58542,17699943890.41458,17699943890.411922,1,0.9523809523809523,16857089419.439926
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,EU,C3,P3b,2022,90.08634,0.00202,68.57032000000001,26.03954,1.80734,22.05454,3.91012,1.6584,Delayed action,36575249136,0.00202,7066916280.8,6177249161.428802,10556082322.133331,23800247764.362133,12775001371.637867,12775001371.635847,2,0.9070294784580498,11587302831.415733
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,EU,C3,P3b,2023,76.77995999999999,0.00138,68.50308,31.63076,1.83386,21.78666,3.3136799999999997,1.4222,Delayed action,30984987851.999996,0.00138,6076825204.799999,5259663742.276799,10996398568.71111,22332887515.787907,8652100336.21209,8652100336.210709,3,0.863837598531476,7474009576.685635
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,EU,C3,P3b,2024,63.47357999999999,7.399999999999998e-4,68.43584,37.22198,1.86038,21.51878,2.71724,1.186,Delayed action,25521273080,7.399999999999998e-4,5055098951.2,4343867765.1072,10791065579.555553,20190032295.862755,5331240784.137245,5331240784.136505,4,0.8227024747918819,4386024986.820516
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,EU,C3,P3b,2025,50.1672,1e-4,68.3686,42.8132,1.8869,21.2509,2.1208,0.9498,Delayed action,20184104820,1e-4,4001737520,3429861229.92,9940083354.666664,17371682104.586662,2812422715.4133377,2812422715.4132376,5,0.7835261664684589,2203606788.6965475
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,EU,C3,P3b,2026,42.1794,8e-5,68.30138,47.09488,1.88518,21.35218,1.7696,0.7986,Delayed action,17051850948,8e-5,3336014528,2880911227.572,9193548507.733332,15410474263.305332,1641376684.6946678,1641376684.6945877,6,0.7462153966366275,1224820553.7994845
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,EU,C3,P3b,2027,34.1916,6e-5,68.23416,51.37656,1.88346,21.45346,1.4184,0.6474,Delayed action,13888970004,6e-5,2671499664,2333035105.056,8130511875.199999,13135046644.255999,753923359.7440014,753923359.7439414,7,0.7106813301301214,535799256.1189943
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,EU,C3,P3b,2028,26.2038,4e-5,68.16694,55.65824,1.88174,21.55474,1.0672,0.4962,Delayed action,10695461988,4e-5,2008192927.9999998,1786232862.372,6750973457.066665,10545399247.438663,150062740.56133652,150062740.56129652,8,0.676839362028687,101568369.58578432
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,EU,C3,P3b,2029,18.216,2e-5,68.09972,59.93992,1.88002,21.65602,0.716,0.345,Delayed action,7471326899.999999,2e-5,1346094320,1240504499.52,5054933253.333333,7641532072.8533325,-170205172.85333347,-170205172.85335347,9,0.6446089162177971,-109715772.00766301
