model,scenario,region,category,policy_category,year,capacity_electricity_coal,investment_energy_supply_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse,revenue,capex,cost_fuel,cost_om,cost_carbonprice,opex,profit_opexonly,profit,time_from_baseyear,discount_factor,profit_pv
IMAGE 3.0,EN_INDCi2030_800f,IDN,C3,P3b,2020,20.94099153098802,0.4323604678427597,16.14702697639465,0,2.13203062343359,17.76827104640961,1.779103019502129,0.57948128,Delayed action,10296380449.36038,0.4323604678427597,3793102119.8217063,338134755.1633154,0,4131236874.9850216,6165143574.375359,6165143573.942998,0,1,6165143573.942998
IMAGE 3.0,EN_INDCi2030_800f,IDN,C3,P3b,2021,21.118598635226025,0.47499670575740494,16.169148689220425,0,2.1704164730281827,18.088665183486945,1.7705614981664004,0.5815373274359985,Delayed action,10519234007.689594,0.47499670575740494,3842855842.1298146,341469761.44093716,0,4184325603.5707517,6334908404.118843,6334908403.6438465,1,0.9523809523809523,6033246098.708425
IMAGE 3.0,EN_INDCi2030_800f,IDN,C3,P3b,2022,21.296205739464032,0.5176329436720501,16.1912704020462,0,2.208802322622776,18.409059320564275,1.7620199768306717,0.583593374871997,Delayed action,10743405057.106897,0.5176329436720501,3891953817.3313174,344812625.6652704,0,4236766442.9965878,6506638614.11031,6506638613.592677,2,0.9070294784580498,5901713028.201974
IMAGE 3.0,EN_INDCi2030_800f,IDN,C3,P3b,2023,21.473812843702035,0.5602691815866953,16.21339211487198,0,2.2471881722173688,18.729453457641604,1.7534784554949432,0.5856494223079957,Delayed action,10968893597.612299,0.5602691815866953,3940396045.426216,348163347.8363152,0,4288559393.2625313,6680334204.349768,6680334203.789498,3,0.863837598531476,5770723855.989201
IMAGE 3.0,EN_INDCi2030_800f,IDN,C3,P3b,2024,21.65141994794004,0.6029054195013405,16.235513827697755,0,2.285574021811962,19.049847594718937,1.7449369341592145,0.5877054697439942,Delayed action,11195699629.20579,0.6029054195013405,3988182526.4145107,351521927.9540716,0,4339704454.368583,6855995174.837207,6855995174.234302,4,0.8227024747918819,5640444197.003759
IMAGE 3.0,EN_INDCi2030_800f,IDN,C3,P3b,2025,21.82902705217805,0.6455416574159857,16.25763554052353,0,2.323959871406555,19.37024173179627,1.736395412823486,0.5897615171799927,Delayed action,11423823151.887377,0.6455416574159857,4035313260.2962,354888366.0185394,0,4390201626.314739,7033621525.572638,7033621524.927096,5,0.7835261664684589,5511026509.816163
IMAGE 3.0,EN_INDCi2030_800f,IDN,C3,P3b,2026,22.048513342333585,0.6046641138892086,16.286932902206424,3.504270808136284,2.3533158645763392,19.872375730331427,1.738204109208325,0.5959720910344483,Delayed action,11843381317.827843,0.6046641138892086,4090543306.071735,359102657.3999902,510509413.596345,4960155377.06807,6883225940.759772,6883225940.155108,6,0.7462153966366275,5136369175.072368
IMAGE 3.0,EN_INDCi2030_800f,IDN,C3,P3b,2027,22.26799963248912,0.5637865703624315,16.316230263889313,7.008541616272568,2.382671857746124,20.37450972886658,1.740012805593164,0.6021826648889038,Delayed action,12269176564.333775,0.5637865703624315,4145879544.00471,363329809.5198951,1031658776.4931066,5540868130.017712,6728308434.316063,6728308433.752276,7,0.7106813301301214,4781683187.224781
IMAGE 3.0,EN_INDCi2030_800f,IDN,C3,P3b,2028,22.487485922644655,0.5229090268356544,16.345527625572206,10.512812424408851,2.4120278509159085,20.87664372740174,1.741821501978003,0.6083932387433594,Delayed action,12701208891.405182,0.5229090268356544,4201321974.0951223,367569822.3782543,1563448088.6902845,6132339885.163661,6568869006.241521,6568869005.718612,8,0.676839362028687,4446069107.080601
IMAGE 3.0,EN_INDCi2030_800f,IDN,C3,P3b,2029,22.706972212800192,0.48203148330887735,16.374824987255096,14.017083232545136,2.4413838440856934,21.378777725936892,1.7436301983628422,0.6146038125978149,Delayed action,13139478299.042059,0.48203148330887735,4256870596.3429756,371822695.97506773,2105877350.1878793,6734570642.505923,6404907656.536136,6404907656.054104,9,0.6446089162177971,4128660582.6441073
IMAGE 3.0,EN_INDCi2030_800f,IDN,C3,P3b,2030,22.92645850295573,0.4411539397821003,16.40412234893799,17.52135404068142,2.470739837255478,21.88091172447205,1.745438894747681,0.6208143864522705,Delayed action,13583984787.244408,0.4411539397821003,4312525410.748267,376088430.31033546,2658946560.985891,7347560402.044493,6236424385.199915,6236424384.758761,10,0.6139132535407591,3828623584.508178
