model,scenario,region,category,policy_category,year,capacity_electricity_coal,investment_energy_supply_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse,revenue,capex,cost_fuel,cost_om,cost_carbonprice,opex,profit_opexonly,profit,time_from_baseyear,discount_factor,profit_pv
POLES ENGAGE,EN_INDCi2030_800f,IDN,C4,P3b,2020,30.95009994506836,0,48.86340713500977,8.254439353942871,2.85962986946106,28.05055809020996,0.4595774412155151,0.1792351901531219,Delayed action,5027647113.199974,0,1314221378.2303715,1512327334.4851189,361652135.09611094,3188200847.811601,1839446265.388373,1839446265.388373,0,1,1839446265.388373
POLES ENGAGE,EN_INDCi2030_800f,IDN,C4,P3b,2021,30.91573257446289,0,48.639589691162115,8.254439353942871,2.980364561080933,29.368228149414065,0.5367285013198853,0.20940527319908137,Delayed action,6149861839.001004,0,1599646604.2558668,1503728547.42357,422527875.73764914,3525903027.4170856,2623958811.5839186,2623958811.5839186,1,0.9523809523809523,2499008391.984684
POLES ENGAGE,EN_INDCi2030_800f,IDN,C4,P3b,2022,30.881365203857424,0,48.41577224731446,8.254439353942871,3.101099252700806,30.685898208618163,0.6138795614242554,0.2395753562450409,Delayed action,7351584995.028759,0,1903701449.181057,1495145144.3961027,483403616.37918735,3882250209.9563475,3469334785.0724115,3469334785.0724115,2,0.9070294784580498,3146788920.7005997
POLES ENGAGE,EN_INDCi2030_800f,IDN,C4,P3b,2023,30.846997833251955,0,48.19195480346681,8.254439353942871,3.2218339443206787,32.00356826782227,0.6910306215286255,0.26974543929100037,Delayed action,8632816581.283237,0,2226385913.0059414,1486577125.4027166,544279357.0207256,4257242395.4293838,4375574185.853853,4375574185.853853,3,0.863837598531476,3779785496.9043107
POLES ENGAGE,EN_INDCi2030_800f,IDN,C4,P3b,2024,30.81263046264649,0,47.96813735961915,8.254439353942871,3.342568635940552,33.321238327026364,0.7681816816329956,0.29991552233695984,Delayed action,9993556597.764437,0,2567699995.7305217,1478024490.443412,605155097.6622636,4650879583.836198,5342677013.928239,5342677013.928239,4,0.8227024747918819,4395433601.372463
POLES ENGAGE,EN_INDCi2030_800f,IDN,C4,P3b,2025,30.77826309204102,0,47.74431991577149,8.254439353942871,3.463303327560425,34.63890838623047,0.8453327417373657,0.3300856053829193,Delayed action,11433805044.472364,0,2927643697.354796,1469487239.5181887,666030838.3038018,5063161775.176786,6370643269.295578,6370643269.295578,5,0.7835261664684589,4991565698.729254
POLES ENGAGE,EN_INDCi2030_800f,IDN,C4,P3b,2026,31.29929122924805,0.22302312333439944,47.6249740600586,8.254439353942871,3.4979144573211673,37.8533561706543,0.8928601503372192,0.349103981256485,Delayed action,13214757343.095152,0.22302312333439944,3123148428.23051,1490627932.891158,704405201.2559623,5318181562.37763,7896575780.717522,7896575780.494498,6,0.7462153966366275,5892546428.112888
POLES ENGAGE,EN_INDCi2030_800f,IDN,C4,P3b,2027,31.82031936645508,0.4460462466687989,47.505628204345705,8.254439353942871,3.5325255870819094,41.067803955078126,0.9403875589370728,0.36812235713005065,Delayed action,15117976794.098177,0.4460462466687989,3321943113.718707,1511644261.1663563,742779564.2081227,5576366939.093185,9541609855.004992,9541609854.558945,7,0.7106813301301214,6781043983.020624
POLES ENGAGE,EN_INDCi2030_800f,IDN,C4,P3b,2028,32.341347503662114,0.6690693700031982,47.38628234863282,8.254439353942871,3.567136716842652,44.28225173950196,0.987914967536926,0.38714073300361634,Delayed action,17143463397.481455,0.6690693700031982,3524027753.819385,1532536224.343784,781153927.1602831,5837717905.323452,11305745492.158003,11305745491.488934,8,0.676839362028687,7652173565.718074
POLES ENGAGE,EN_INDCi2030_800f,IDN,C4,P3b,2029,32.86237564086914,0.8920924933375978,47.266936492919925,8.254439353942871,3.601747846603394,47.496699523925784,1.0354423761367797,0.406159108877182,Delayed action,19291217153.24497,0.8920924933375978,3729402348.532548,1553303822.4234402,819528290.1124436,6102234461.068432,13188982692.176537,13188982691.284445,9,0.6446089162177971,8501735838.644152
POLES ENGAGE,EN_INDCi2030_800f,IDN,C4,P3b,2030,33.38340377807617,1.115115616671997,47.14759063720703,8.254439353942871,3.6363589763641366,50.71114730834962,1.082969784736633,0.4251774847507477,Delayed action,21561238061.388737,1.115115616671997,3938066897.8581924,1573947055.405326,857902653.064604,6369916606.328122,15191321455.060616,15191321453.9455,10,0.6139132535407591,9326153579.375217
POLES ENGAGE,EN_INDCi2030_800f,IDN,C4,P3b,2031,31.409706115722656,1.2505276600295774,47.028227996826175,171.87236251831055,3.6920888423919687,79.90123901367187,0.9296468734741208,0.3652386128902435,Delayed action,29183017705.565323,1.2505276600295774,3432338848.91838,1477142820.5235105,15344859024.087221,20254340693.529114,8928677012.03621,8928677010.78568,11,0.5846792890864372,5220412527.148587
POLES ENGAGE,EN_INDCi2030_800f,IDN,C4,P3b,2032,29.436008453369144,1.3859397033871574,46.90886535644531,335.49028568267823,3.7478187084198,109.09133071899412,0.7763239622116087,0.3052997410297394,Delayed action,33305555017.098557,1.3859397033871574,2909521469.371253,1380809757.1702793,25037246015.690323,29327577242.231857,3977977774.866699,3977977773.4807596,12,0.5568374181775593,2215086872.952742
POLES ENGAGE,EN_INDCi2030_800f,IDN,C4,P3b,2033,27.46231079101563,1.5213517467447375,46.789502716064455,499.1082088470459,3.803548574447632,138.2814224243164,0.6230010509490966,0.24536086916923525,Delayed action,33928849995.98844,1.5213517467447375,2369614759.216813,1284947865.3456318,29935063627.873886,33589626252.436333,339223743.55210876,339223742.030757,13,0.5303213506452945,179897593.04470202
POLES ENGAGE,EN_INDCi2030_800f,IDN,C4,P3b,2034,25.488613128662116,1.656763790102318,46.67014007568359,662.7261320114136,3.859278440475464,167.47151412963865,0.46967813968658434,0.18542199730873107,Delayed action,31052902642.234974,1.656763790102318,1812618718.4550583,1189557145.049569,30038311860.637928,33040487724.142555,-1987585081.9075813,-1987585083.5643451,14,0.5050679529955185,-1003865529.5602704
POLES ENGAGE,EN_INDCi2030_800f,IDN,C4,P3b,2035,23.5149154663086,1.792175833459898,46.550777435302734,826.34405517578125,3.915008306503296,196.6616058349609,0.3163552284240722,0.1254831254482269,Delayed action,24677712955.83815,1.792175833459898,1238533347.0859902,1094637596.2820897,25346990713.98244,27680161657.35052,-3002448701.512371,-3002448703.304547,15,0.48101709809097004,-1444229162.430549
POLES ENGAGE,EN_INDCi2030_800f,IDN,C4,P3b,2036,22.180575180053715,1.4519317876299558,46.43141479492188,1002.201513671875,3.9299163818359375,192.8056945800781,0.2857391744852065,0.11332893818616864,Delayed action,21850464643.00698,1.4519317876299558,1122931062.7416904,1029875486.575023,27763617051.623337,29916423600.94005,-8065958957.933067,-8065958959.384999,16,0.4581115219914,-3695108735.204031
POLES ENGAGE,EN_INDCi2030_800f,IDN,C4,P3b,2037,20.846234893798833,1.1116877418000133,46.312052154541014,1178.0589721679687,3.944824457168579,188.9497833251953,0.2551231205463409,0.10117475092411038,Delayed action,19116947265.09126,1.1116877418000133,1006415925.5203732,965431917.6274244,29135290086.957436,31107137930.105232,-11990190665.013973,-11990190666.125662,17,0.4362966876108571,-5231280471.453242
POLES ENGAGE,EN_INDCi2030_800f,IDN,C4,P3b,2038,19.511894607543947,0.7714436959700712,46.19268951416016,1353.9164306640623,3.9597325325012207,185.0938720703125,0.2245070666074752,0.08902056366205212,Delayed action,16477160822.090984,0.7714436959700712,888987935.422038,901306889.4392934,29462009819.984753,31252304644.846085,-14775143822.7551,-14775143823.526545,18,0.41552065486748296,-6139377437.312996
POLES ENGAGE,EN_INDCi2030_800f,IDN,C4,P3b,2039,18.177554321289065,0.43119965014012873,46.073326873779294,1529.7738891601562,3.9746406078338623,181.23796081542972,0.19389101266860956,0.07686637639999386,Delayed action,13931105314.006159,0.43119965014012873,770647092.4466854,837500402.0106305,28743776250.705276,30351923745.162594,-16420818431.156435,-16420818431.587635,19,0.39573395701665043,-6498275455.384122
POLES ENGAGE,EN_INDCi2030_800f,IDN,C4,P3b,2040,16.84321403503418,0.0909556043101864,45.95396423339844,1705.63134765625,3.989548683166504,177.3820495605469,0.1632749587297439,0.0647121891379356,Delayed action,11478780740.836777,0.0909556043101864,651393396.594315,774012455.3414353,26980589379.119007,28405995231.054756,-16927214490.21798,-16927214490.308935,20,0.3768894828730004,-6379689115.732894
POLES ENGAGE,EN_INDCi2030_800f,IDN,C4,P3b,2041,16.086476707458495,0.10674662271005432,45.83460235595703,1836.70166015625,4.026725578308105,171.28058166503908,0.1672897279262542,0.06559976041316981,Delayed action,11235965120.65493,0.10674662271005432,673629826.4288516,737317263.194725,29452423942.754078,30863371032.377655,-19627405911.722725,-19627405911.82947,21,0.35894236464095275,-7045107489.759886
POLES ENGAGE,EN_INDCi2030_800f,IDN,C4,P3b,2042,15.329739379882811,0.12253764110992228,45.715240478515625,1967.77197265625,4.063902473449707,165.17911376953126,0.17130449712276455,0.06648733168840404,Delayed action,10982318525.19145,0.12253764110992228,696164769.570261,700802722.2243137,31981133025.878963,33378100517.67354,-22395781992.482086,-22395781992.604626,22,0.3418498710866216,-7655995187.055973
