model,scenario,region,category,policy_category,year,capacity_electricity_coal,investment_energy_supply_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse,revenue,capex,cost_fuel,cost_om,cost_carbonprice,opex,profit_opexonly,profit,time_from_baseyear,discount_factor,profit_pv
IMAGE 3.0,EN_INDCi2030_800f,IND,C3,P3b,2020,119.8614090834204,8.4652604608,16.01689042964935,0,1.733034903743267,22.59196904335022,11.70399037206131,3.519984896,Delayed action,79523389803.49234,8.4652604608,20283423827.8574,1919807056.032522,0,22203230883.88992,57320158919.60242,57320158911.13715,0,1,57320158911.13715
IMAGE 3.0,EN_INDCi2030_800f,IND,C3,P3b,2021,124.9642481459204,9.37321506766848,16.05463326086044,0,1.7577576625089644,22.528743805870057,11.80760033546357,3.6000429197719255,Delayed action,81104444629.67812,9.37321506766848,20754899965.50451,2006255174.7019112,0,22761155140.20642,58343289489.471695,58343289480.09848,1,0.9523809523809523,55565037600.09379
IMAGE 3.0,EN_INDCi2030_800f,IND,C3,P3b,2022,130.0670872084204,10.28116967453696,16.092376092071532,0,1.782480421274662,22.46551856838989,11.91121029886583,3.680100943543851,Delayed action,82675376080.73354,10.28116967453696,21231499151.41346,2093088484.5581675,0,23324587635.971626,59350788444.76191,59350788434.48074,2,0.9070294784580498,53832914679.801125
IMAGE 3.0,EN_INDCi2030_800f,IND,C3,P3b,2023,135.1699262709204,11.18912428140544,16.13011892328262,0,1.8072031800403592,22.40229333090973,12.01482026226809,3.760158967315776,Delayed action,84236184156.65863,11.18912428140544,21713221385.584236,2180306985.6012897,0,23893528371.185524,60342655785.47311,60342655774.28398,3,0.863837598531476,52126254853.06898
IMAGE 3.0,EN_INDCi2030_800f,IND,C3,P3b,2024,140.2727653334204,12.09707888827392,16.16786175449371,0,1.8319259388060567,22.339068093429564,12.11843022567035,3.8402169910877015,Delayed action,85786868857.45337,12.09707888827392,22200066668.01685,2267910677.831279,0,24467977345.84813,61318891511.60524,61318891499.50816,4,0.8227024747918819,50447203788.14025
IMAGE 3.0,EN_INDCi2030_800f,IND,C3,P3b,2025,145.3756043959204,13.0050334951424,16.2056045857048,0,1.856648697571754,22.2758428559494,12.22204018907261,3.920275014859627,Delayed action,87327430183.11774,13.0050334951424,22692034998.711296,2355899561.2481346,0,25047934559.95943,62279495623.15831,62279495610.153275,5,0.7835261664684589,48797614445.0126
IMAGE 3.0,EN_INDCi2030_800f,IND,C3,P3b,2026,153.1443668959204,11.90530410365952,16.249229581222533,0,1.8862632239060395,22.18839552506256,12.647730094126029,4.123926188043461,Delayed action,91503305376.47183,11.90530410365952,23856948142.439598,2488477976.7627864,0,26345426119.202385,65157879257.26945,65157879245.36414,6,0.7462153966366275,48621812705.08089
IMAGE 3.0,EN_INDCi2030_800f,IND,C3,P3b,2027,160.9131293959204,10.80557471217664,16.292854576740265,0,1.9158777502403257,22.10094819417572,13.073419999179446,4.327577361227294,Delayed action,95643563066.7721,10.80557471217664,25047074495.974796,2621734216.7359204,0,27668808712.710716,67974754354.06138,67974754343.255806,7,0.7106813301301214,48308388831.93328
IMAGE 3.0,EN_INDCi2030_800f,IND,C3,P3b,2028,168.6818918959204,9.70584532069376,16.336479572257996,0,1.9454922765746112,22.01350086328888,13.499109904232863,4.531228534411127,Delayed action,99748203254.01855,9.70584532069376,26262414059.316875,2755668281.167535,0,29018082340.48441,70730120913.53415,70730120903.82831,8,0.676839362028687,47872929908.75905
IMAGE 3.0,EN_INDCi2030_800f,IND,C3,P3b,2029,176.4506543959204,8.60611592921088,16.380104567775728,0,1.9751068029088972,21.92605353240204,13.924799809286284,4.734879707594961,Delayed action,103817225938.21121,8.60611592921088,27502966832.465855,2890280170.057632,0,30393247002.523487,73423978935.68773,73423978927.08162,9,0.6446089162177971,47329751480.58446
IMAGE 3.0,EN_INDCi2030_800f,IND,C3,P3b,2030,184.2194168959204,7.506386537728,16.42372956329346,0,2.004721329243183,21.8386062015152,14.3504897143397,4.938530880778794,Delayed action,107850631119.3501,7.506386537728,28768732815.421707,3025569883.4062104,0,31794302698.82792,76056328420.52219,76056328413.0158,10,0.6139132535407591,46691988028.399
IMAGE 3.0,EN_INDCi2030_800f,IND,C3,P3b,2031,189.1477762709204,8.36135083313664,16.470970272811893,45.209665839643264,2.0223454788126944,23.62647652030182,13.012561204712837,4.514989934071478,Delayed action,106673303666.73885,8.36135083313664,26315894320.124474,3115447400.1268044,49896289957.24376,79327631677.49504,27345671989.243805,27345671980.882454,11,0.5846792890864372,15988448053.373257
IMAGE 3.0,EN_INDCi2030_800f,IND,C3,P3b,2032,194.0761356459204,9.21631512854528,16.518210982330324,90.41933167928651,2.039969628382206,25.41434683908844,11.674632695085972,4.091448987364161,Delayed action,103981503639.30997,9.21631512854528,23815896120.493282,3205790555.234672,90431264742.466,117452951418.19395,-13471447778.883987,-13471447788.100302,12,0.5568374181775593,-7501406205.439564
IMAGE 3.0,EN_INDCi2030_800f,IND,C3,P3b,2033,199.0044950209204,10.07127942395392,16.565451691848757,135.62899751892976,2.057593777951717,27.20221715787506,10.336704185459109,3.667908040656844,Delayed action,99775231037.06349,10.07127942395392,21268738216.528133,3296599348.729813,121604924355.66678,146170261920.9247,-46395030883.86122,-46395030893.9325,13,0.5303213506452945,-24604275446.90045
IMAGE 3.0,EN_INDCi2030_800f,IND,C3,P3b,2034,203.9328543959204,10.92624371936256,16.612692401367188,180.83866335857303,2.0752179275212286,28.99008747666168,8.998775675832244,3.2443670939495277,Delayed action,94054485859.99947,10.92624371936256,18674420608.22903,3387873780.612228,143417268796.84613,165479563185.68738,-71425077325.68791,-71425077336.61415,14,0.5050679529955185,-36074517602.95031
IMAGE 3.0,EN_INDCi2030_800f,IND,C3,P3b,2035,208.8612137709204,11.7812080147712,16.65993311088562,226.0483291982163,2.09284207709074,30.7779577954483,7.66084716620538,2.820826147242211,Delayed action,86819268108.11781,11.7812080147712,16032943295.595978,3479613850.8819165,155868298066.00397,175380855212.48187,-88561587104.36406,-88561587116.14526,15,0.48101709809097004,-42599637636.938835
IMAGE 3.0,EN_INDCi2030_800f,IND,C3,P3b,2036,194.35498457170164,12.669226789691391,16.707809575878144,296.8467521846752,2.092243243607044,35.704963838439944,7.24229338264812,2.6967379925609247,Delayed action,96286932506.13493,12.669226789691391,15152639398.065536,3247246072.346726,195682156898.48987,214082042368.90213,-117795109862.7672,-117795109875.43642,16,0.4581115219914,-53963297068.18037
IMAGE 3.0,EN_INDCi2030_800f,IND,C3,P3b,2037,179.8487553724829,13.557245564611584,16.755686040870664,367.64517517113416,2.091644410123348,40.63196988143158,6.82373959909086,2.5726498378796387,Delayed action,104531830728.19531,13.557245564611584,14272836788.575731,3013489279.8626747,231201006740.30545,248487332808.74387,-143955502080.54855,-143955502094.1058,17,0.4362966876108571,-62807308727.01617
IMAGE 3.0,EN_INDCi2030_800f,IND,C3,P3b,2038,165.34252617326416,14.445264339531777,16.803562505863187,438.4435981575931,2.091045576639652,45.55897592442322,6.4051858155336,2.4485616831983523,Delayed action,111553962774.29893,14.445264339531777,13393535467.126575,2778343473.4297643,262424847591.45062,278596726532.00696,-167042763757.708,-167042763772.15326,18,0.41552065486748296,-69409718593.47939
IMAGE 3.0,EN_INDCi2030_800f,IND,C3,P3b,2039,150.8362969740454,15.33328311445197,16.851438970855707,509.2420211440521,2.090446743155956,50.48598196741486,5.98663203197634,2.324473528517066,Delayed action,117353328644.44577,15.33328311445197,12514735433.718063,2541808653.047993,289353679451.9255,304410223538.6915,-187056894894.24576,-187056894909.57904,19,0.39573395701665043,-74024765209.81544
IMAGE 3.0,EN_INDCi2030_800f,IND,C3,P3b,2040,136.3300677748267,16.22130188937216,16.89931543584823,580.040444130511,2.08984790967226,55.4129880104065,5.568078248419081,2.20038537383578,Delayed action,121929928338.6359,16.22130188937216,11636436688.350195,2303884818.717364,311987502321.73,325927823828.79755,-203997895490.16165,-203997895506.38297,20,0.3768894828730004,-76884661344.58104
IMAGE 3.0,EN_INDCi2030_800f,IND,C3,P3b,2041,121.03979113397452,16.143385506648066,16.946130829391475,603.6283655690048,2.0869347699122427,47.49041816876603,5.005642830271879,2.0009143196363044,Delayed action,95024257759.40007,16.143385506648066,10446450068.25631,2051156136.1185505,295242112099.1661,307739718303.54095,-212715460544.14087,-212715460560.28424,21,0.35894236464095275,-76352590409.19775
IMAGE 3.0,EN_INDCi2030_800f,IND,C3,P3b,2042,105.74951449312232,16.065469123923968,16.992946222934723,627.2162870074986,2.0840216301522254,39.56784832712555,4.443207412124677,1.801443265436829,Delayed action,71279233896.72623,16.065469123923968,9259740354.12052,1796995812.8830836,276196447071.5882,287253183238.5918,-215973949341.86557,-215973949357.93103,22,0.3418498710866216,-73830666746.07727
