model,scenario,region,category,policy_category,year,capacity_electricity_coal,investment_energy_supply_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse,revenue,capex,cost_fuel,cost_om,cost_carbonprice,opex,profit_opexonly,profit,time_from_baseyear,discount_factor,profit_pv
POLES ENGAGE,EN_INDCi2030_800f,IND,C4,P3b,2020,246.5098571777344,12.92881393432617,48.86340713500977,0,2.85962986946106,18.44073677062988,13.05353927612305,4.961750030517578,Delayed action,91498326234.43942,12.92881393432617,37328290816.18458,12045311514.068747,0,49373602330.25333,42124723904.1861,42124723891.257286,0,1,42124723891.257286
POLES ENGAGE,EN_INDCi2030_800f,IND,C4,P3b,2021,253.97644042968753,10.343051147460937,48.639589691162115,0,2.980364561080933,19.96924247741699,13.757482910156252,5.234152889251709,Delayed action,104522068209.3401,10.343051147460937,41002314515.10628,12353309853.721878,0,53355624368.828156,51166443840.51195,51166443830.1689,1,0.9523809523809523,48729946504.92276
POLES ENGAGE,EN_INDCi2030_800f,IND,C4,P3b,2022,261.4430236816406,7.757288360595702,48.41577224731446,0,3.101099252700806,21.4977481842041,14.461426544189454,5.50655574798584,Delayed action,118378548832.48123,7.757288360595702,44846319049.173515,12657965890.219553,0,57504284939.39307,60874263893.088165,60874263885.33088,2,0.9070294784580498,55214751823.42937
POLES ENGAGE,EN_INDCi2030_800f,IND,C4,P3b,2023,268.90960693359375,5.171525573730468,48.19195480346681,0,3.2218339443206787,23.02625389099121,15.165370178222656,5.7789586067199705,Delayed action,133067768103.86287,5.171525573730468,48860304418.38629,12959279623.561773,0,61819584041.94807,71248184061.9148,71248184056.74327,3,0.863837598531476,61546860215.3057
POLES ENGAGE,EN_INDCi2030_800f,IND,C4,P3b,2024,276.3761901855469,2.5857627868652333,47.96813735961915,0,3.342568635940552,24.55475959777832,15.869313812255855,6.051361465454102,Delayed action,148589726023.485,2.5857627868652333,53044270622.74462,13257251053.748537,0,66301521676.49316,82288204346.99182,82288204344.40605,4,0.8227024747918819,67698709360.322945
POLES ENGAGE,EN_INDCi2030_800f,IND,C4,P3b,2025,283.8427734375,0,47.74431991577149,0,3.463303327560425,26.08326530456543,16.57325744628906,6.323764324188232,Delayed action,164944422591.34756,0,57398217662.24849,13551880180.779846,0,70950097843.02834,93994324748.31923,93994324748.31923,5,0.7835261664684589,73647012939.84195
POLES ENGAGE,EN_INDCi2030_800f,IND,C4,P3b,2026,295.233251953125,6.481576820713021,47.6249740600586,0,3.497914457321167,29.341688537597655,16.820290374755857,6.426410484313965,Delayed action,188561734845.49246,6.481576820713021,58835936878.19858,14060475965.934322,0,72896412844.1329,115665322001.35956,115665321994.87798,6,0.7462153966366275,86311244129.51111
POLES ENGAGE,EN_INDCi2030_800f,IND,C4,P3b,2027,306.62373046875,12.96315364142604,47.505628204345705,0,3.5325255870819094,32.60011177062988,17.067323303222654,6.529056644439698,Delayed action,212847976365.5078,12.96315364142604,60290756271.63336,14566352938.277945,0,74857109209.9113,137990867155.5965,137990867142.63333,7,0.7106813301301214,98067533006.73552
POLES ENGAGE,EN_INDCi2030_800f,IND,C4,P3b,2028,318.014208984375,19.44473046213906,47.38628234863282,0,3.5671367168426515,35.85853500366211,17.314356231689455,6.63170280456543,Delayed action,237803147151.39365,19.44473046213906,61762675842.552826,15069511097.810717,0,76832186940.36354,160970960211.0301,160970960191.58536,8,0.676839362028687,108951482001.2178
POLES ENGAGE,EN_INDCi2030_800f,IND,C4,P3b,2029,329.4046875,25.926307282852083,47.266936492919925,0,3.601747846603394,39.11695823669434,17.561389160156253,6.734348964691163,Delayed action,263427247203.14996,25.926307282852083,63251695590.95697,15569950444.532635,0,78821646035.48961,184605601167.66034,184605601141.73404,9,0.6446089162177971,118998416479.70811
