model,scenario,region,category,policy_category,year,capacity_electricity_coal,investment_energy_supply_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse,revenue,capex,cost_fuel,cost_om,cost_carbonprice,opex,profit_opexonly,profit,time_from_baseyear,discount_factor,profit_pv
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,IND,C3,P3b,2020,247.4331,20.7691,39.6651,0.2769,1.7543,16.6359,12.7355,4.6831,Delayed action,77907583290,20.7691,22341887650,9814458654.81,316983428.6666666,32473329733.476665,45434253556.52333,45434253535.754234,0,1,45434253535.754234
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,IND,C3,P3b,2021,259.91576,20.45138,40.17866,0.44306,1.78082,16.78246,13.2784,4.9196599999999995,Delayed action,82563997163.59999,20.45138,23646440288,10443066949.681599,532816670.12444425,34622323907.806046,47941673255.793945,47941673235.34257,1,0.9523809523809523,45658736414.61197
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,IND,C3,P3b,2022,272.39842,20.13366,40.69222,0.60922,1.80734,16.92902,13.8213,5.156219999999999,Delayed action,87289751504.4,20.13366,24979788342,11084496434.2924,767866574.0533332,36832151350.34573,50457600154.05426,50457600133.9206,2,0.9070294784580498,45766530733.71483
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,IND,C3,P3b,2023,284.88108,19.81594,41.20578,0.77538,1.83386,17.07558,14.3642,5.39278,Delayed action,92084846312.4,19.81594,26341931812,11738747108.6424,1022133140.4533331,39102812061.09573,52982034251.30426,52982034231.48832,3,0.863837598531476,45767873215.841324
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,IND,C3,P3b,2024,297.36374,19.49822,41.71934,0.94154,1.86038,17.22214,14.9071,5.62934,Delayed action,96949281587.6,19.49822,27732870698,12405818972.7316,1295616369.3244443,41434306040.056046,55514975547.54396,55514975528.04574,4,0.8227024747918819,45672307754.93399
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,IND,C3,P3b,2025,309.8464,19.1805,42.2329,1.1077,1.8869,17.3687,15.45,5.8659,Delayed action,101883057330,19.1805,29152605000,13085712026.560001,1588316260.6666663,43826633287.22666,58056424042.77334,58056424023.59284,5,0.7835261664684589,45488727354.07304
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,IND,C3,P3b,2026,316.89748000000003,17.69288,42.74648,1.1077,1.88518,18.3882,15.72772,6.00004,Delayed action,110329935528,17.69288,29649583189.6,13546251790.870401,1624637497.511111,44820472477.98151,65509463050.01849,65509463032.325615,6,0.7462153966366275,48884169940.11935
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,IND,C3,P3b,2027,323.94856000000004,16.20526,43.26006,1.1077,1.88346,19.4077,16.00544,6.13418,Delayed action,119050325186,16.20526,30145606022.4,14014034142.513601,1660958734.355555,45820598899.26916,73229726286.73083,73229726270.52557,7,0.7106813301301214,52042999271.00181
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,IND,C3,P3b,2028,330.99964,14.71764,43.77364,1.1077,1.88174,20.427200000000003,16.28316,6.26832,Delayed action,128044226304.00003,14.71764,30640673498.399998,14489059081.4896,1697279971.1999996,46827012551.08959,81217213752.91043,81217213738.1928,8,0.676839362028687,54971007132.30592
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,IND,C3,P3b,2029,338.05072,13.23002,44.287220000000005,1.1077,1.88002,21.446700000000003,16.56088,6.40246,Delayed action,137311638882.00002,13.23002,31134785617.600002,14971326607.798403,1733601208.0444438,47839713433.44285,89471925448.55716,89471925435.32713,9,0.6446089162177971,57674400886.78578
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,IND,C3,P3b,2030,345.1018,11.7424,44.8008,1.1077,1.8783,22.466200000000004,16.8386,6.5366,Delayed action,146852562920.00003,11.7424,31627942380,15460836721.44,1769922444.8888886,48858701546.32889,97993861373.67114,97993861361.92874,10,0.6139132535407591,60159730255.723755
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,IND,C3,P3b,2031,313.78912,10.21596,45.31436,31.21148,1.80426,23.10664,15.29194,5.94438,Delayed action,137354648683.2,10.21596,27590635664.4,14219153147.7632,45352486051.253334,87162274863.41653,50192373819.78346,50192373809.567505,11,0.5846792890864372,29346441436.53864
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,IND,C3,P3b,2032,282.47644,8.68952,45.82792,61.31526,1.73022,23.74708,13.74528,5.35216,Delayed action,127098171692.79999,8.68952,23782358361.6,12945307694.204802,80219108923.94666,116946774979.75146,10151396713.048523,10151396704.359003,12,0.5568374181775593,5652677531.7514515
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,IND,C3,P3b,2033,251.16376,7.16308,46.34148,91.41904,1.65618,24.38752,12.19862,4.75994,Delayed action,116083131948.8,7.16308,20203110471.6,11639300360.7648,106369791062.96887,138212201895.33368,-22129069946.533676,-22129069953.696754,13,0.5303213506452945,-11735518266.368668
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,IND,C3,P3b,2034,219.85108,5.63664,46.85504,121.52282,1.58214,25.02796,10.65196,4.167719999999999,Delayed action,104309529451.19998,5.63664,16852891994.400002,10301131147.4432,123804532468.31995,150958555610.16315,-46649026158.963165,-46649026164.59981,14,0.5050679529955185,-23560928154.188812
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,IND,C3,P3b,2035,188.5384,4.1102,47.3686,151.6266,1.5081,25.6684,9.1053,3.5755,Delayed action,91777364200,4.1102,13731702930,8930800054.24,132523333139.99997,155185836124.23996,-63408471924.23996,-63408471928.35016,15,0.48101709809097004,-30500559161.357727
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,IND,C3,P3b,2036,157.22634,3.28816,47.88218,160.0051,1.38732,25.18582,7.59168,2.9821999999999997,Delayed action,75109152404,3.28816,10532089497.6,7528339912.6212,116640873364.88887,134701302775.11008,-59592150371.11008,-59592150374.39824,16,0.4581115219914,-27299850706.755955
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,IND,C3,P3b,2037,125.91428,2.46612,48.39576,168.3836,1.26654,24.70324,6.07806,2.3888999999999996,Delayed action,59013570035.99999,2.46612,7698106112.4,6093717275.4528,98328164498.66666,112119987886.51945,-53106417850.51946,-53106417852.98558,17,0.4362966876108571,-23170154200.135693
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,IND,C3,P3b,2038,94.60222,1.6440800000000002,48.90934,176.7621,1.14576,24.22066,4.56444,1.7956,Delayed action,43490617096,1.6440800000000002,5229752774.400001,4626932142.7348,77585206541.33333,87441891458.46812,-43951274362.468124,-43951274364.112206,18,0.41552065486748296,-18262662306.03632
