model,scenario,region,category,policy_category,year,capacity_electricity_coal,investment_energy_supply_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse,revenue,capex,cost_fuel,cost_om,cost_carbonprice,opex,profit_opexonly,profit,time_from_baseyear,discount_factor,profit_pv
POLES ENGAGE,EN_INDCi2030_800f,JPN,C4,P3b,2020,70.730194091796875,0.3007960617542267,48.86340713500977,0,2.85962986946106,44.37212753295898,3.02775502204895,1.19800877571106,Delayed action,53158198181.4552,0.3007960617542267,8658258698.461908,3456118270.6457334,0,12114376969.107641,41043821212.34756,41043821212.04676,0,1,41043821212.04676
POLES ENGAGE,EN_INDCi2030_800f,JPN,C4,P3b,2021,69.80915222167968,0.32454645467174364,48.639589691162115,1.400753402709961,2.980364561080933,46.75186004638672,2.9126507759094236,1.1531470417976384,Delayed action,53911769111.028046,0.32454645467174364,8680761151.325329,3395488520.750378,394844912.64116985,12471094584.716877,41440674526.31117,41440674525.986626,1,0.9523809523809523,39467309072.36821
POLES ENGAGE,EN_INDCi2030_800f,JPN,C4,P3b,2022,68.8881103515625,0.34829684758926055,48.41577224731446,2.801506805419922,3.101099252700806,49.13159255981445,2.797546529769898,1.1082853078842163,Delayed action,54451822186.995834,0.34829684758926055,8675469452.865164,3335271061.329116,758967936.8051109,12769708450.99939,41682113735.996445,41682113735.64815,2,0.9070294784580498,37806905882.67406
POLES ENGAGE,EN_INDCi2030_800f,JPN,C4,P3b,2023,67.96706848144531,0.3720472405067775,48.19195480346681,4.202260208129883,3.2218339443206787,51.51132507324219,2.6824422836303707,1.063423573970795,Delayed action,54778357409.35863,0.3720472405067775,8642383603.081406,3275465892.3819456,1092369072.4918244,13010218567.955177,41768138841.40345,41768138841.0314,3,0.863837598531476,36080888751.565834
POLES ENGAGE,EN_INDCi2030_800f,JPN,C4,P3b,2024,67.04602661132813,0.3957976334242944,47.96813735961915,5.603013610839844,3.342568635940552,53.89105758666993,2.5673380374908445,1.018561840057373,Delayed action,54891374778.11638,0.3957976334242944,8581503601.974067,3216073013.9088683,1395048319.7013092,13192624935.584244,41698749842.532135,41698749842.13634,4,0.8227024747918819,34305664690.853157
POLES ENGAGE,EN_INDCi2030_800f,JPN,C4,P3b,2025,66.12498474121094,0.4195480263418114,47.74431991577149,7.003767013549805,3.463303327560425,56.27079010009766,2.452233791351318,0.9737001061439514,Delayed action,54790874293.269104,0.4195480263418114,8492829449.543136,3157092425.9098835,1667005678.4335656,13316927553.886583,41473946739.38252,41473946738.962975,5,0.7835261664684589,32495922496.6967
POLES ENGAGE,EN_INDCi2030_800f,JPN,C4,P3b,2026,64.98420181274415,0.43098136662497616,47.6249740600586,8.354493522644043,3.497914457321167,58.21271362304688,2.352709102630615,0.934855830669403,Delayed action,54420494749.59357,0.43098136662497616,8229575183.962738,3094870925.645553,1909171484.4726439,13233617594.080936,41186877155.512634,41186877155.08165,6,0.7462153966366275,30734281872.503307
POLES ENGAGE,EN_INDCi2030_800f,JPN,C4,P3b,2027,63.84341888427734,0.4424147069081409,47.505628204345705,9.705220031738282,3.5325255870819094,60.1546371459961,2.253184413909912,0.8960115551948548,Delayed action,53899249981.36615,0.4424147069081409,7959431594.550921,3032921720.810783,2125686271.9023738,13118039587.264078,40781210394.10207,40781210393.65966,7,0.7106813301301214,28982444846.882378
POLES ENGAGE,EN_INDCi2030_800f,JPN,C4,P3b,2028,62.70263595581055,0.45384804719130567,47.38628234863282,11.055946540832522,3.5671367168426515,62.096560668945315,2.153659725189209,0.8571672797203064,Delayed action,53227139988.58682,0.45384804719130567,7682398681.307681,2971244811.4055753,2316550040.722755,12970193533.436012,40256946455.15081,40256946454.69696,8,0.676839362028687,27247485955.620102
POLES ENGAGE,EN_INDCi2030_800f,JPN,C4,P3b,2029,61.56185302734375,0.46528138747447045,47.266936492919925,12.40667304992676,3.601747846603394,64.03848419189453,2.054135036468506,0.8183230042457581,Delayed action,52404164771.255615,0.46528138747447045,7398476444.233026,2909840197.4299273,2481762790.933787,12790079432.596739,39614085338.658875,39614085338.193596,9,0.6446089162177971,25535592616.8123
