model,scenario,region,category,policy_category,year,capacity_electricity_coal,investment_energy_supply_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse,revenue,capex,cost_fuel,cost_om,cost_carbonprice,opex,profit_opexonly,profit,time_from_baseyear,discount_factor,profit_pv
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,JPN,C3,P3b,2020,40.9529,1.311,81.0712,0.2769,1.7543,7.38,2.3172,0.9438,Delayed action,6965244000,1.311,4065063960.0000005,3320100746.48,63882675.999999985,7449047382.4800005,-483803382.4800005,-483803383.7910005,0,1,-483803383.7910005
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,JPN,C3,P3b,2021,40.17066,1.5518999999999998,80.75664,0.44306,1.78082,9.8276,2.22728,0.91324,Delayed action,8974957424,1.5518999999999998,3966384769.6,3244047528.1823997,98907139.07555555,7309339436.857956,1665617987.142044,1665617985.5901442,1,0.9523809523809523,1586302843.419185
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,JPN,C3,P3b,2022,39.388420000000004,1.7928,80.44208,0.60922,1.80734,12.2752,2.13736,0.88268,Delayed action,10835073536,1.7928,3862936222.4,3168486432.7136,131449097.90222222,7162871753.015822,3672201782.9841776,3672201781.1913776,2,0.9070294784580498,3330795266.386737
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,JPN,C3,P3b,2023,38.60618,2.0336999999999996,80.12752,0.77538,1.83386,14.7228,2.04744,0.85212,Delayed action,12545592336,2.0336999999999996,3754718318.4,3093417460.0736003,161508552.47999996,7009644330.9536,5535948005.0464,5535948003.0127,3,0.863837598531476,4782160028.5176115
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,JPN,C3,P3b,2024,37.82394,2.2746,79.81296,0.94154,1.86038,17.1704,1.95752,0.8215600000000001,Delayed action,14106513824.000002,2.2746,3641731057.6,3018840610.2624,189085502.80888888,6849657170.6712885,7256856653.328713,7256856651.054113,4,0.8227024747918819,5970233926.032146
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,JPN,C3,P3b,2025,37.0417,2.5155,79.4984,1.1077,1.8869,19.618,1.8676,0.791,Delayed action,15517838000,2.5155,3523974440,2944755883.2799997,214179948.88888887,6682910272.168889,8834927727.831112,8834927725.315613,5,0.7835261664684589,6922397051.642444
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,JPN,C3,P3b,2026,36.34604,2.3420799999999997,79.18384,1.1077,1.88518,22.715719999999997,1.78134,0.76122,Delayed action,17291660378.399998,2.3420799999999997,3358146541.2,2878019015.9936004,206116385.19999996,6442281942.3935995,10849378436.006397,10849378433.664318,6,0.7462153966366275,8095973231.1376915
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,JPN,C3,P3b,2027,35.65038,2.16866,78.86928,1.1077,1.88346,25.81344,1.69508,0.73144,Delayed action,18880982553.6,2.16866,3192615376.7999997,2811719802.3264,198052821.51111105,6202388000.637511,12678594552.962486,12678594550.793827,7,0.7106813301301214,9010440439.538666
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,JPN,C3,P3b,2028,34.95472,1.99524,78.55472,1.1077,1.88174,28.91116,1.60882,0.7016600000000001,Delayed action,20285804525.600002,1.99524,3027380946.7999997,2745858242.2784,189989257.8222222,5963228446.900621,14322576078.69938,14322576076.704142,8,0.676839362028687,9694083254.363766
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,JPN,C3,P3b,2029,34.25906,1.82182,78.24016,1.1077,1.88002,32.008880000000005,1.52256,0.67188,Delayed action,21506126294.400005,1.82182,2862443251.2,2680434335.8496,181925694.1333333,5724803281.182933,15781323013.217072,15781323011.395252,9,0.6446089162177971,10172781522.858477
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,JPN,C3,P3b,2030,33.5634,1.6484,77.9256,1.1077,1.8783000000000003,35.1066,1.4363,0.6421,Delayed action,22541947860,1.6484,2697802290,2615448083.04,173862130.44444442,5487112503.484445,17054835356.515556,17054835354.867157,10,0.6139132535407591,10470189461.308462
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,JPN,C3,P3b,2031,29.92658,1.36798,77.61108,31.21148,1.80426,35.68192,1.2763799999999998,0.57296,Delayed action,20444312883.2,1.36798,2302921378.7999997,2322634194.5064,4371382786.417778,8996938359.724178,11447374523.475822,11447374522.107843,11,0.5846792890864372,6693042797.492208
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,JPN,C3,P3b,2032,26.28976,1.08756,77.29656,61.31526,1.7302200000000003,36.25724,1.11646,0.5038199999999999,Delayed action,18267122656.8,1.08756,1931721421.2000003,2032108011.2256,7551342160.559998,11515171592.985598,6751951063.814402,6751951062.726842,12,0.5568374181775593,3759738997.4300423
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,JPN,C3,P3b,2033,22.65294,0.8071400000000001,76.98204,91.41904,1.6561800000000002,36.83256,0.95654,0.43468,Delayed action,16010377180.800001,0.8071400000000001,1584202417.2,1743869533.1976001,9713740252.87111,13041812203.268711,2968564977.53129,2968564976.72415,13,0.5303213506452945,1574293387.9346685
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,JPN,C3,P3b,2034,19.01612,0.5267199999999999,76.66752,121.52282,1.5821400000000003,37.40788,0.79662,0.36554,Delayed action,13674076455.199999,0.5267199999999999,1260364366.8000002,1457918760.4224,10858577063.351109,13576860190.57351,97216264.62648964,97216264.09976964,14,0.5050679529955185,49100819.506742366
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,JPN,C3,P3b,2035,15.3793,0.2463,76.353,151.6266,1.5081000000000002,37.9832,0.6367,0.2964,Delayed action,11258220480,0.2463,960207270.0000002,1174255692.9,10985852591.999998,13120315554.899998,-1862095074.8999977,-1862095075.1462977,15,0.48101709809097004,-895699569.416359
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,JPN,C3,P3b,2036,12.71548,0.19704,76.03844,160.0051,1.38732,36.39476,0.5258400000000001,0.24516,Delayed action,8922539361.6,0.19704,729508348.8000001,966865263.0511999,9588785632.799997,11285159244.651197,-2362619883.051197,-2362619883.248237,16,0.4581115219914,-1082343390.6019936
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,JPN,C3,P3b,2037,10.05166,0.14778,75.72388,168.3836,1.26654,34.80632,0.41498,0.19392,Delayed action,6749641574.400001,0.14778,525588769.20000005,761150695.6408,7981831662.9333315,9268571127.774132,-2518929553.374131,-2518929553.521911,17,0.4362966876108571,-1099000620.526705
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,JPN,C3,P3b,2038,7.387840000000001,0.09852,75.40932,176.7621,1.14576,33.21788,0.30412000000000006,0.14268,Delayed action,4739527118.4,0.09852,348448531.20000005,557111990.6688,6164990682.400001,7070551204.268801,-2331024085.868801,-2331024085.967321,18,0.41552065486748296,-968588654.7130171
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,JPN,C3,P3b,2039,4.724019999999999,0.04926,75.09476,185.1406,1.02498,31.62944,0.19326,0.09144,Delayed action,2892195993.6,0.04926,198087634.79999998,354749148.13519996,4138262691.1999993,4691099474.1352,-1798903480.5351996,-1798903480.5844595,19,0.39573395701665043,-711887192.6627134
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,JPN,C3,P3b,2040,2.0602,0,74.7802,193.5191,0.9042,30.041,0.0824,0.0402,Delayed action,1207648200,0,74506080,154062168.04,1901647689.3333333,2130215937.3733332,-922567737.3733332,-922567737.3733332,20,0.3768894828730004,-347706077.4539496
