model,scenario,region,category,policy_category,year,capacity_electricity_coal,investment_energy_supply_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse,revenue,capex,cost_fuel,cost_om,cost_carbonprice,opex,profit_opexonly,profit,time_from_baseyear,discount_factor,profit_pv
IMAGE 3.0,EN_INDCi2030_800f,RUS,C3,P3b,2020,58.39719140625,0.6167625854201599,18.46002117511749,0,2.192347105309963,15.95602038202285,1.824722176,0.8412000959999999,Delayed action,13422205877.135576,0.6167625854201599,4000424380.5484967,1078013389.926764,0,5078437770.475261,8343768106.6603155,8343768106.043553,0,1,8343768106.043553
IMAGE 3.0,EN_INDCi2030_800f,RUS,C3,P3b,2021,55.6176888671875,0.978166829813824,18.50947952819061,0.7899777211952097,2.210975939741134,15.907346106239311,1.7733115008,0.8193612288,Delayed action,13033862652.555136,0.978166829813824,3920749061.935041,1029454473.4924818,158223295.1109875,5108426830.53851,7925435822.016625,7925435821.038459,1,0.9523809523809523,7548034115.274722
IMAGE 3.0,EN_INDCi2030_800f,RUS,C3,P3b,2022,52.838186328125005,1.339571074207488,18.55893788126373,1.5799554423904194,2.2296047741723055,15.858671830455773,1.7219008256,0.7975223616,Delayed action,12647645410.064482,1.339571074207488,3839158301.408994,980620617.8223104,308012172.26706177,5127791091.498366,7519854318.566115,7519854317.226544,2,0.9070294784580498,6820729539.434506
IMAGE 3.0,EN_INDCi2030_800f,RUS,C3,P3b,2023,50.0586837890625,1.7009753186011518,18.608396234336848,2.3699331635856287,2.2482336086034773,15.809997554672236,1.6704901504,0.7756834944,Delayed action,12263554149.663614,1.7009753186011518,3755652098.970358,931511822.9162496,449366631.46822256,5136530553.35483,7127023596.3087845,7127023594.607809,3,0.863837598531476,6156590946.643178
IMAGE 3.0,EN_INDCi2030_800f,RUS,C3,P3b,2024,47.27918125,2.062379562994816,18.657854587409968,3.159910884780839,2.2668624430346487,15.761323278888698,1.6190794752,0.7538446272,Delayed action,11881588871.352533,2.062379562994816,3670230454.619129,882128088.7743,582286672.7144704,5134645216.107899,6746943655.244635,6746943653.182255,4,0.8227024747918819,5550727240.754421
IMAGE 3.0,EN_INDCi2030_800f,RUS,C3,P3b,2025,44.4996787109375,2.42378380738848,18.70731294048309,3.949888605976048,2.28549127746582,15.71264900310516,1.5676688,0.7320057600000001,Delayed action,11501749575.131235,2.42378380738848,3582893368.355309,832469415.396461,706772296.0058047,5122135079.757575,6379614495.37366,6379614492.949876,5,0.7835261664684589,4998594887.207637
IMAGE 3.0,EN_INDCi2030_800f,RUS,C3,P3b,2026,43.50076616210938,2.381195233017312,18.766568139625544,5.481213220338835,2.308251386823654,15.841064847763056,1.4979414144,0.7139671360000001,Delayed action,11309999700.547667,2.381195233017312,3457625347.1693854,816360092.3071429,956610381.1563823,5230595820.632911,6079403879.914756,6079403877.533561,6,0.7462153966366275,4536544775.787957
IMAGE 3.0,EN_INDCi2030_800f,RUS,C3,P3b,2027,42.501853613281256,2.338606658646144,18.825823338768,7.012537834701622,2.3310114961814876,15.969480692420955,1.4282140288,0.695928512,Delayed action,11113616935.689247,2.338606658646144,3329183320.140478,800132387.6938114,1192943893.9360805,5322259601.7703705,5791357333.918877,5791357331.58027,7,0.7106813301301214,4115809531.6662965
IMAGE 3.0,EN_INDCi2030_800f,RUS,C3,P3b,2028,41.50294106445314,2.296018084274976,18.88507853791046,8.543862449064408,2.3537716055393214,16.097896537078853,1.3584866432,0.677889888,Delayed action,10912601280.555973,2.296018084274976,3197567287.268587,783786301.5564666,1415772834.3448987,5397126423.169952,5515474857.386021,5515474855.090003,8,0.676839362028687,3733090482.2043824
IMAGE 3.0,EN_INDCi2030_800f,RUS,C3,P3b,2029,40.504028515625016,2.2534295099038077,18.944333737052915,10.075187063427194,2.376531714897155,16.22631238173675,1.2887592576,0.659851264,Delayed action,10706952735.147846,2.2534295099038077,3062777248.553713,767321833.8951082,1625097202.382838,5455196284.831659,5251756450.316187,5251756448.0627575,9,0.6446089162177971,3385329032.225562
IMAGE 3.0,EN_INDCi2030_800f,RUS,C3,P3b,2030,39.50511596679689,2.21084093553264,19.00358893619537,11.60651167778998,2.399291824254989,16.35472822639465,1.219031872,0.64181264,Delayed action,10496671299.464867,2.21084093553264,2924813203.9958544,750738984.7097365,1820916998.0498972,5496469186.755487,5000202112.709379,5000202110.498538,10,0.6139132535407591,3069690346.0175276
IMAGE 3.0,EN_INDCi2030_800f,RUS,C3,P3b,2031,40.70626538085939,1.866124956190564,19.05855505719757,73.87044414864961,2.4022224478187555,17.474494125389096,1.1712914314,0.6316636048000001,Delayed action,11038001951.2997,1.866124956190564,2813702569.446842,775802599.9340042,11406088476.227642,14995593645.608488,-3957591694.3087883,-3957591696.1749134,11,0.5846792890864372,-2313921899.4139357
IMAGE 3.0,EN_INDCi2030_800f,RUS,C3,P3b,2032,41.9074147949219,1.521408976848488,19.11352117819977,136.13437661950925,2.405153071382522,18.59426002438354,1.1235509908,0.6215145696000001,Delayed action,11556603516.085224,1.521408976848488,2702312116.3774962,800998260.206342,20682321853.70721,24185632230.29105,-12629028714.205826,-12629028715.727234,12,0.5568374181775593,-7032315744.15581
IMAGE 3.0,EN_INDCi2030_800f,RUS,C3,P3b,2033,43.1085642089844,1.176692997506412,19.168487299201963,198.39830909036883,2.408083694946289,19.71402592337799,1.0758105502,0.6113655344,Delayed action,12052475993.821436,1.176692997506412,2590641844.787816,826325965.5267498,29649617130.488594,33066584940.80316,-21014108946.981728,-21014108948.15842,13,0.5303213506452945,-11144230639.994743
IMAGE 3.0,EN_INDCi2030_800f,RUS,C3,P3b,2034,44.3097136230469,0.831977018164336,19.22345342020416,260.6622415612285,2.411014318510055,20.833791822372433,1.0280701096,0.6012164992,Delayed action,12525619384.50834,0.831977018164336,2478691754.6778016,851785715.8952278,38307974306.571815,41638451777.144844,-29112832392.636505,-29112832393.468483,14,0.5050679529955185,-14703958662.870749
IMAGE 3.0,EN_INDCi2030_800f,RUS,C3,P3b,2035,45.5108630371094,0.48726103882226,19.27841954120636,322.9261740320881,2.413944942073822,21.95355772136688,0.980329669,0.591067464,Delayed action,12976033688.14594,0.48726103882226,2366461846.047454,877377511.3117762,46657393381.956856,49901232739.316086,-36925199051.17014,-36925199051.6574,15,0.48101709809097004,-17761652094.25968
IMAGE 3.0,EN_INDCi2030_800f,RUS,C3,P3b,2036,44.1289645000458,0.421957328129616,19.321604008255008,374.3490280517727,2.4052810570516585,23.53811517207336,0.944012698,0.572928568275,Delayed action,13485658625.428047,0.421957328129616,2270615860.1156282,852642377.3642279,52427283987.671974,55550542225.15183,-42064883599.723785,-42064883600.145744,16,0.4581115219914,-19270407848.453846
IMAGE 3.0,EN_INDCi2030_800f,RUS,C3,P3b,2037,42.74706596298219,0.356653617436972,19.36478847530365,425.7718820714573,2.396617172029495,25.122672622779845,0.907695727,0.55478967255,Delayed action,13937799317.972881,0.356653617436972,2175399166.305997,827787890.3130025,57741161630.88069,60744348687.499695,-46806549369.52681,-46806549369.88346,17,0.4362966876108571,-20421542448.574203
IMAGE 3.0,EN_INDCi2030_800f,RUS,C3,P3b,2038,41.36516742591859,0.29134990674432804,19.4079729423523,477.19473609114186,2.3879532870073317,26.707230073486325,0.871378756,0.5366507768250001,Delayed action,14332455765.78044,0.29134990674432804,2080811764.6185598,802814050.1581007,62599026311.58298,65482652126.359634,-51150196360.57919,-51150196360.870544,18,0.41552065486748296,-21253963088.469273
IMAGE 3.0,EN_INDCi2030_800f,RUS,C3,P3b,2039,39.98326888885499,0.226046196051684,19.451157409400945,528.6175901108264,2.3792894019851683,28.29178752419281,0.8350617850000001,0.5185118811,Delayed action,14669627968.850727,0.226046196051684,1986853655.0533175,777720856.899522,67000878029.778824,69765452541.73166,-55095824572.880936,-55095824573.10698,19,0.39573395701665043,-21803288673.41083
IMAGE 3.0,EN_INDCi2030_800f,RUS,C3,P3b,2040,38.60137035179138,0.16074248535904,19.49434187644959,580.040444130511,2.370625516963005,29.87634497489929,0.7987448140000001,0.5003729853750001,Delayed action,14949315927.183739,0.16074248535904,1893524837.6102695,752508310.5372663,70946716785.46826,73592749933.6158,-58643434006.43206,-58643434006.592804,20,0.3768894828730004,-22102093516.641685
IMAGE 3.0,EN_INDCi2030_800f,RUS,C3,P3b,2041,37.92793066864014,0.15299739059942402,19.525843570755008,603.6283655690048,2.361877276549339,27.13418350461578,0.7797858496000001,0.48844342870000007,Delayed action,13253513625.969515,0.15299739059942402,1841758478.7449608,740574841.1983087,72071586531.78043,74653919851.7237,-61400406225.75418,-61400406225.90718,21,0.35894236464095275,-22039207000.6422
IMAGE 3.0,EN_INDCi2030_800f,RUS,C3,P3b,2042,37.25449098548889,0.145252295839808,19.557345265060427,627.2162870074986,2.353129036135673,24.392022034332275,0.7608268852000001,0.47651387202500006,Delayed action,11623136866.098791,0.145252295839808,1790323835.0367825,728598942.8772876,73058886149.11012,75577808927.0242,-63954672060.92541,-63954672061.07066,22,0.3418498710866216,-21862896399.46417
IMAGE 3.0,EN_INDCi2030_800f,RUS,C3,P3b,2043,36.58105130233764,0.137507201080192,19.58884695936584,650.8042084459923,2.3443807957220075,21.649860564048765,0.7418679208000001,0.46458431535,Delayed action,10058185647.571562,0.137507201080192,1739220906.4857357,716580615.5742024,73908615637.45734,76364417159.51727,-66306231511.94571,-66306231512.083214,23,0.3255713057967825,-21587406375.8527
IMAGE 3.0,EN_INDCi2030_800f,RUS,C3,P3b,2044,35.9076116191864,0.129762106320576,19.62034865367126,674.3921298844862,2.3356325553083415,18.90769909376526,0.7229089564000001,0.452654758675,Delayed action,8558659970.387829,0.129762106320576,1688449693.0918186,704519859.2890544,74620774996.8221,77013744549.20297,-68455084578.81514,-68455084578.9449,24,0.31006791028264996,-21225725023.6155
IMAGE 3.0,EN_INDCi2030_800f,RUS,C3,P3b,2045,35.23417193603515,0.12201701156096,19.65185034797668,697.98005132298,2.326884314894676,16.16553762348175,0.7039499920000001,0.440725202,Delayed action,7124559834.547594,0.12201701156096,1638010194.8550327,692416674.0218426,75195364227.20438,77525791096.08125,-70401231261.53366,-70401231261.65569,25,0.29530277169776187,-20789678722.502045
IMAGE 3.0,EN_INDCi2030_800f,RUS,C3,P3b,2046,34.83735922851562,0.306918661172224,19.67505742998504,721.5679801372285,2.3188534386463164,15.090710699165344,0.7023333104,0.4405826088,Delayed action,6648704688.48434,0.306918661172224,1628608011.8968909,685427043.5300642,77711407428.21053,80025442483.63748,-73376737795.15314,-73376737795.46005,26,0.28124073495024937,-20636527665.846928
IMAGE 3.0,EN_INDCi2030_800f,RUS,C3,P3b,2047,34.440546520996094,0.491820310783488,19.698264511993404,745.1559089514769,2.3108225623979566,14.015883774848938,0.7007166288000001,0.4404400156,Delayed action,6173156068.442253,0.491820310783488,1619231795.6784737,678418995.3081952,80225806262.0717,82523457053.05836,-76350300984.61612,-76350300985.10794,27,0.26784831900023753,-20450299774.023342
IMAGE 3.0,EN_INDCi2030_800f,RUS,C3,P3b,2048,34.04373381347656,0.676721960394752,19.72147159400177,768.7438377657254,2.302791686149597,12.941056850532531,0.6990999472,0.4402974224,Delayed action,5697913974.421336,0.676721960394752,1609881546.1997824,671392529.3562355,82738560728.78798,85019834804.344,-79321920829.92265,-79321920830.59938,28,0.2550936371430833,-20234517289.8533
IMAGE 3.0,EN_INDCi2030_800f,RUS,C3,P3b,2049,33.64692110595703,0.8616236100060161,19.74467867601013,792.3317665799739,2.2947608099012373,11.866229926216125,0.6974832656000001,0.4401548292,Delayed action,5222978406.421587,0.8616236100060161,1600557263.4608161,664347645.6741848,85249670828.3593,87514575737.4943,-82291597331.07271,-82291597331.93433,29,0.24294632108865077,-19992440828.302074
IMAGE 3.0,EN_INDCi2030_800f,RUS,C3,P3b,2050,33.2501083984375,1.04652525961728,19.76788575801849,815.9196953942223,2.286729933652878,10.79140300189972,0.695866584,0.440012236,Delayed action,4748349364.443008,1.04652525961728,1591258947.4615748,657284344.2620436,87759136560.78572,90007679852.50934,-85259330488.06633,-85259330489.11285,30,0.23137744865585788,-19727086362.67753
IMAGE 3.0,EN_INDCi2030_800f,RUS,C3,P3b,2051,33.94860219726562,1.306582924394752,19.801440293861383,826.5267386157668,2.2792855835580825,10.063983563002113,0.7312352832,0.4595395916,Delayed action,4624798896.411104,1.306582924394752,1666694039.1867716,672231219.4692066,92845319089.10364,95184244347.75961,-90559445451.34851,-90559445452.65509,31,0.22035947491034083,-19955631848.11873
IMAGE 3.0,EN_INDCi2030_800f,RUS,C3,P3b,2052,34.647095996093746,1.566640589172224,19.83499482970428,837.1337818373114,2.271841233463287,9.3365641241045,0.7666039824,0.4790669472,Delayed action,4472839272.271785,1.566640589172224,1741602536.9534843,687224969.9467872,98032763953.12682,100461591460.02708,-95988752187.7553,-95988752189.32193,32,0.20986616658127696,-20144791456.89315
IMAGE 3.0,EN_INDCi2030_800f,RUS,C3,P3b,2053,35.34558979492187,1.826698253949696,19.868549365547175,847.740825058856,2.264396883368492,8.609144685206891,0.8019726816,0.4985943028,Delayed action,4292470492.025055,1.826698253949696,1815984440.761712,702265595.6947856,103321471152.85526,105839721189.31175,-101547250697.2867,-101547250699.11339,33,0.19987253960121615,-20296506886.753166
IMAGE 3.0,EN_INDCi2030_800f,RUS,C3,P3b,2054,36.044083593749995,2.0867559187271683,19.90210390139007,858.3478682804005,2.256952533273697,7.881725246309281,0.8373413808000001,0.5181216584,Delayed action,4083692555.6709127,2.0867559187271683,1889839750.6114554,717353096.7132016,108711440688.28897,111318633535.61363,-107234940979.94272,-107234940982.02948,34,0.19035479962020585,-20412685702.918823
IMAGE 3.0,EN_INDCi2030_800f,RUS,C3,P3b,2055,36.74257739257813,2.34681358350464,19.93565843723297,868.9549115019449,2.2495081831789014,7.154305807411671,0.87271008,0.537649014,Delayed action,3846505463.2093587,2.34681358350464,1963168466.5027142,732487473.0020356,114202672559.42792,116898328498.93266,-113051823035.7233,-113051823038.07011,35,0.181290285352577,-20495197258.200768
IMAGE 3.0,EN_INDCi2030_800f,RUS,C3,P3b,2056,37.44107119140625,2.606871248282112,19.969212973075862,879.5619547234895,2.242063833084106,6.426886368514062,0.9080787792,0.5571763696,Delayed action,3580909214.6403933,2.606871248282112,2035970588.4354875,747668724.5612867,119795166766.27219,122578806079.26897,-118997896864.62857,-118997896867.23544,36,0.1726574146215019,-20545869218.49299
IMAGE 3.0,EN_INDCi2030_800f,RUS,C3,P3b,2057,38.139564990234376,2.866928913059584,20.00276750891876,890.1689979450341,2.2346194829893107,5.6994669296164515,0.9434474784,0.5767037252,Delayed action,3286903809.9640136,2.866928913059584,2108246116.409777,762896851.3909557,125488923308.82167,128360066276.6224,-125073162466.65839,-125073162469.52531,37,0.16443563297285893,-20566484638.59362
