model,scenario,region,category,policy_category,year,capacity_electricity_coal,investment_energy_supply_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse,revenue,capex,cost_fuel,cost_om,cost_carbonprice,opex,profit_opexonly,profit,time_from_baseyear,discount_factor,profit_pv
POLES ENGAGE,EN_INDCi2030_800f,RUS,C4,P3b,2020,38.5095329284668,0.0890645906329155,48.86340713500977,0,2.189592123031616,12.57572174072266,1.343366861343384,0.484039694070816,Delayed action,6087148504.099106,0.0890645906329155,2941425497.939179,1881706986.0627382,0,4823132484.001917,1264016020.097189,1264016020.0081244,0,1,1264016020.0081244
POLES ENGAGE,EN_INDCi2030_800f,RUS,C4,P3b,2021,38.64975357055664,0.0712516725063324,48.639589691162115,0,2.308969449996948,13.7549674987793,1.4960315704345704,0.5389263033866882,Delayed action,7412913787.321169,0.0712516725063324,3454291192.36438,1879908155.336403,0,5334199347.700783,2078714439.6203861,2078714439.5491345,1,0.9523809523809523,1979728037.6658423
POLES ENGAGE,EN_INDCi2030_800f,RUS,C4,P3b,2022,38.78997421264648,0.0534387543797493,48.41577224731446,0,2.42834677696228,14.93421325683594,1.648696279525757,0.5938129127025604,Delayed action,8868128672.962942,0.0534387543797493,4003606296.5760746,1878046556.9586928,0,5881652853.534767,2986475819.428175,2986475819.3747363,2,0.9070294784580498,2708821604.875044
POLES ENGAGE,EN_INDCi2030_800f,RUS,C4,P3b,2023,38.930194854736335,0.0356258362531662,48.19195480346681,0,2.547724103927612,16.11345901489258,1.8013609886169433,0.6486995220184326,Delayed action,10452793161.024422,0.0356258362531662,4589370810.574259,1876122190.9296093,0,6465493001.503868,3987300159.5205536,3987300159.4849277,3,0.863837598531476,3444379794.393631
POLES ENGAGE,EN_INDCi2030_800f,RUS,C4,P3b,2024,39.07041549682618,0.0178129181265831,47.96813735961915,0,2.667101430892944,17.29270477294922,1.9540256977081296,0.7035861313343048,Delayed action,12166907251.505611,0.0178129181265831,5211584734.358936,1874135057.2491508,0,7085719791.608088,5081187459.897524,5081187459.879711,4,0.8227024747918819,4180305498.124514
POLES ENGAGE,EN_INDCi2030_800f,RUS,C4,P3b,2025,39.21063613891602,0,47.74431991577149,0,2.786478757858276,18.47195053100586,2.106690406799316,0.758472740650177,Delayed action,14010470944.406506,0,5870248067.930104,1872085155.9173176,0,7742333223.847422,6268137720.559084,6268137720.559084,5,0.7835261664684589,4911249919.086003
POLES ENGAGE,EN_INDCi2030_800f,RUS,C4,P3b,2026,39.26501159667969,0.7100853811239656,47.6249740600586,0,2.8157291889190668,20.8776481628418,2.181355476379394,0.7822546482086181,Delayed action,16331637319.047115,0.7100853811239656,6142106286.249916,1869995158.7597704,0,8012101445.009686,8319535874.037429,8319535873.327344,6,0.7462153966366275,6208165761.547615
POLES ENGAGE,EN_INDCi2030_800f,RUS,C4,P3b,2027,39.31938705444337,1.4201707622479312,47.505628204345705,0,2.844979619979858,23.28334579467774,2.256020545959472,0.8060365557670593,Delayed action,18767227851.07549,1.4201707622479312,6418332475.51053,1867892182.6311502,0,8286224658.141681,10481003192.933807,10481003191.513638,7,0.7106813301301214,7448653289.242959
POLES ENGAGE,EN_INDCi2030_800f,RUS,C4,P3b,2028,39.37376251220704,2.1302561433718967,47.38628234863282,0,2.874230051040649,25.68904342651368,2.330685615539551,0.8298184633255005,Delayed action,21317242540.49163,2.1302561433718967,6698926635.711949,1865776227.531457,0,8564702863.243406,12752539677.248224,12752539675.117968,8,0.676839362028687,8631420817.952364
POLES ENGAGE,EN_INDCi2030_800f,RUS,C4,P3b,2029,39.42813796997071,2.8403415244958623,47.266936492919925,0,2.90348048210144,28.09474105834962,2.405350685119629,0.8536003708839417,Delayed action,23981681387.29554,2.8403415244958623,6983888766.854169,1863647293.4606903,0,8847536060.31486,15134145326.98068,15134145324.140339,9,0.6446089162177971,9755605015.276747
