model,scenario,region,category,policy_category,year,capacity_electricity_coal,investment_energy_supply_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse,revenue,capex,cost_fuel,cost_om,cost_carbonprice,opex,profit_opexonly,profit,time_from_baseyear,discount_factor,profit_pv
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2020,74.9106,2.8744,68.2582,0.2769,1.7543,13.6445,2.669,1.3232,Delayed action,18054402400,2.8744,4682226700,5113262716.92,89562997.33333331,9885052414.253334,8169349985.746666,8169349982.872266,0,1,8169349982.872266
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2021,73.71244,2.3049,68.1999,0.44306,1.78082,14.07248,2.65902,1.31942,Delayed action,18567511561.600002,2.3049,4735235996.4,5027181036.7560005,142897877.2711111,9905314910.42711,8662196651.172892,8662196648.867992,1,0.9523809523809523,8249711094.159992
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2022,72.51428,1.7354,68.1416,0.60922,1.80734,14.50046,2.64904,1.31564,Delayed action,19077385194.399998,1.7354,4787715953.599999,4941239062.048,195925693.52888885,9924880709.176888,9152504485.22311,9152504483.487711,2,0.9070294784580498,8301591368.242821
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2023,71.31612,1.1659,68.08330000000001,0.77538,1.83386,14.92844,2.63906,1.31186,Delayed action,19584023298.4,1.1659,4839666571.6,4855436792.7960005,248646446.10666662,9943749810.502666,9640273487.897335,9640273486.731436,3,0.863837598531476,8327630697.964743
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2024,70.11796,0.5964,68.025,0.94154,1.86038,15.35642,2.62908,1.30808,Delayed action,20087425873.6,0.5964,4891087850.400001,4769774229,301060135.0044444,9961922214.404446,10125503659.195553,10125503658.599154,4,0.8227024747918819,8330276918.443778
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2025,68.9198,0.0269,67.9667,1.1077,1.8869,15.7844,2.6191,1.3043,Delayed action,20587592920,0.0269,4941979790,4684251370.66,353166760.22222215,9979397920.882221,10608194999.117779,10608194999.09088,5,0.7835261664684589,8311798360.787553
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2026,67.66444,0.02282,67.9084,1.1077,1.88518,16.52244,2.56868,1.28052,Delayed action,21157314868.800003,0.02282,4842424162.400001,4594983857.296,346727823.2,9784135842.896,11373179025.904003,11373179025.881184,6,0.7462153966366275,8486841297.8173
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2027,66.40908,0.01874,67.8501,1.1077,1.88346,17.26048,2.51826,1.25674,Delayed action,21691935635.2,0.01874,4743041979.6,4505862718.908,340288886.17777765,9589193584.685778,12102742050.514223,12102742050.495483,7,0.7106813301301214,8601192818.667883
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2028,65.15371999999999,0.01466,67.79180000000001,1.1077,1.88174,17.99852,2.46784,1.23296,Delayed action,22191455219.2,0.01466,4643833241.599999,4416887955.496,333849949.1555555,9394571146.251556,12796884072.948444,12796884072.933784,8,0.676839362028687,8661434851.879568
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2029,63.89836,0.01057999999999999,67.7335,1.1077,1.88002,18.736559999999997,2.41742,1.20918,Delayed action,22655873620.799995,0.01057999999999999,4544797948.4,4328059567.059999,327411012.13333327,9200268527.593332,13455605093.206663,13455605093.196083,9,0.6446089162177971,8673603016.179798
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2030,62.643,0.0065,67.6752,1.1077,1.8783,19.4746,2.367,1.1854,Delayed action,23085190840,0.0065,4445936100,4239377553.6,320972075.11111104,9006285728.711111,14078905111.288889,14078905111.282389,10,0.6139132535407591,8643226443.158995
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2031,56.23672,0.0052,67.6169,31.21148,1.80426,20.509079999999997,2.12356,1.06418,Delayed action,21825352754.399994,0.0052,3831454365.6,3802552672.568,8119132458.897778,15753139497.065777,6072213257.334217,6072213257.329017,11,0.5846792890864372,3550297330.4763684
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2032,49.83044,0.0039,67.5586,61.31526,1.73022,21.54356,1.88012,0.94296,Delayed action,20314715337.600002,0.0039,3253021226.4,3366474763.7840004,14133249183.679998,20752745173.864,-438029836.2639961,-438029836.2678961,12,0.5568374181775593,-243911403.11215428
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2033,43.42416,0.0026,67.50030000000001,91.41904,1.65618,22.57804,1.63668,0.82174,Delayed action,18553278589.600002,0.0026,2710636682.3999996,2931143827.2480006,18363322249.457775,24005102759.105774,-5451824169.505772,-5451824169.508371,13,0.5303213506452945,-2891218757.0543404
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2034,37.01787999999999,0.0013,67.44200000000001,121.52282,1.58214,23.61252,1.39324,0.70052,Delayed action,16541042510.400002,0.0013,2204300733.6,2496559862.9599996,20809351656.23111,25510212252.791107,-8969169742.391106,-8969169742.392406,14,0.5050679529955185,-4530040201.859475
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2035,30.6116,0,67.3837,151.6266,1.5081,24.647,1.1498,0.5793,Delayed action,14278007100,0,1734013380,2062722870.9199998,21471337404.000004,25268073654.920006,-10990066554.920006,-10990066554.920006,15,0.48101709809097004,-5286409922.074245
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2036,25.44232,0,67.32542000000001,160.0051,1.38732,24.897119999999997,0.95542,0.48148,Delayed action,11987465337.599998,0,1325473274.4,1712914879.7744002,18831818022.844444,21870206177.018845,-9882740839.418846,-9882740839.418846,16,0.4581115219914,-4527397447.392734
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2037,20.27304,0,67.26714,168.3836,1.26654,25.14724,0.7610399999999999,0.38366,Delayed action,9647990098.4,0,963887601.5999999,1363709419.9056,15791612705.244442,18119209726.750042,-8471219628.350042,-8471219628.350042,17,0.4362966876108571,-3695965063.8731995
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2038,15.10376,0,67.20886,176.7621,1.14576,25.39736,0.5666599999999999,0.28584000000000004,Delayed action,7259581382.400001,0,649256361.5999999,1015106491.3136,12350721451.2,14015084304.113602,-6755502921.713601,-6755502921.713601,18,0.41552065486748296,-2807050997.98963
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2039,9.934479999999995,0,67.15057999999999,185.1406,1.02498,25.64748,0.37227999999999994,0.18801999999999996,Delayed action,4822239189.599999,0,381579554.3999999,667106093.9983995,8509144260.711108,9557829909.109509,-4735590719.509509,-4735590719.509509,19,0.39573395701665043,-1874034054.2428248
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2040,4.7652,0,67.0923,193.5191,0.9042,25.8976,0.1779,0.0902,Delayed action,2335963520,0,160857180,319708227.96,4266881133.7777777,4747446541.737778,-2411483021.7377777,-2411483021.7377777,20,0.3768894828730004,-908862589.0197715
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2041,3.83022,0,67.03399999999999,204.2124,0.9307,25.22672,0.14307999999999998,0.0725,Delayed action,1828937199.9999998,0,133164555.99999999,256754967.48,3619097533.333332,4009017056.813332,-2180079856.8133326,-2180079856.8133326,21,0.35894236464095275,-782523018.9106873
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2042,2.8952400000000003,0,66.97569999999999,214.9057,0.9572,24.55584,0.10826,0.05479999999999999,Delayed action,1345660031.9999998,0,103626472,193910725.66799998,2878781243.5555544,3176318441.2235546,-1830658409.2235548,-1830658409.2235548,22,0.3418498710866216,-625810341.196712
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2043,1.9602600000000003,0,66.9174,225.599,0.9837,23.88496,0.07344,0.0371,Delayed action,886132016,0,72242928,131175502.52400002,2045932264.4444442,2249350694.9684443,-1363218678.9684443,-1363218678.9684443,23,0.3255713057967825,-443824885.3983213
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2044,1.02528,0,66.8591,236.2923,1.0102,23.21408,0.03861999999999999,0.01939999999999998,Delayed action,450353151.9999995,0,39013923.999999985,68549298.048,1120550595.9999988,1228113818.047999,-777760666.0479994,-777760666.0479994,24,0.31006791028264996,-241158624.42154515
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2045,0.0903,0,66.8008,246.9856,1.0367,22.5432,0.0038,0.0017,Delayed action,38323440,0,3939460,6032112.239999999,102636238.22222221,112607810.4622222,-74284370.4622222,-74284370.4622222,25,0.29530277169776187,-21936380.49131757
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2046,0.08548,0,66.74252,260.63282,1.0755,21.88336,0.0036,0.00162,Delayed action,35451043.199999996,0,3871800,5705150.6096,103210596.71999998,112787547.32959998,-77336504.12959999,-77336504.12959999,26,0.28124073495024937,-21750175.259891696
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2047,0.08066,0,66.68424,274.28004,1.1142999999999998,21.22352,0.0034,0.00154,Delayed action,32684220.799999997,0,3788619.999999999,5378750.7984,103251197.27999997,112418568.07839997,-79734347.27839997,-79734347.27839997,27,0.26784831900023753,-21356710.8851006
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2048,0.07584,0,66.62595999999999,287.92726,1.1531,20.56368,0.0032,0.00146,Delayed action,30022972.799999997,0,3689920,5052912.8064,102758039.9022222,111500872.7086222,-81477899.9086222,-81477899.9086222,28,0.2550936371430833,-20784493.834470533
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2049,0.07102,0,66.56768,301.57448,1.1919,19.90384,0.003,0.00138,Delayed action,27467299.2,0,3575700,4727636.633599999,101731124.58666666,110034461.22026666,-82567162.02026665,-82567162.02026665,29,0.24294632108865077,-20059388.255554352
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2050,0.0662,0,66.5094,315.2217,1.2307,19.244,0.0028,0.0013,Delayed action,25017200,0,3445960,4402922.279999999,100170451.33333333,108019333.61333333,-83002133.61333333,-83002133.61333333,30,0.23137744865585788,-19204821.90844569
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2051,0.06139999999999999,2e-4,66.4511,328.86881999999997,1.25124,18.77858,0.0026,0.0012,Delayed action,22534295.999999996,2e-4,3253224,4080097.539999999,96468187.19999999,103801508.73999998,-81267212.73999998,-81267212.74019998,31,0.22035947491034083,-17908000.32685743
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2052,0.0566,4e-4,66.3928,342.51594,1.27178,18.31316,0.0024,0.00109999999999999,Delayed action,20144475.999999817,4e-4,3052271.9999999995,3757832.4799999995,92098730.5333325,98908835.0133325,-78764359.01333268,-78764359.01373269,32,0.20986616658127696,-16529974.089443527
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2053,0.0518,6e-4,66.3345,356.16306,1.29232,17.847739999999998,0.0022,0.001,Delayed action,17847740,6e-4,2843104,3436127.1,87062081.33333333,93341312.43333332,-75493572.43333332,-75493572.43393332,33,0.19987253960121615,-15089092.045938617
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2054,0.047,8e-4,66.2762,369.81018,1.31286,17.38232,0.002,9e-4,Delayed action,15644088,8e-4,2625720,3114981.4,81358239.6,87098941,-71454853,-71454853.0008,34,0.19035479962020585,-13601774.224858548
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2055,0.0422,0.001,66.2179,383.4573,1.3334,16.9169,0.0018,8e-4,Delayed action,13533520,0.001,2400120,2794395.38,74987205.33333333,80181720.71333332,-66648200.71333332,-66648200.714333326,35,0.181290285352577,-12082671.325737314
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2056,0.0376,0.00416,66.15962,397.10456,1.36412,16.7717,0.00162,7.2e-4,Delayed action,12075624,0.00416,2209874.4,2487601.7120000003,69890402.55999999,74587878.67199999,-62512254.67199999,-62512254.67615999,36,0.1726574146215019,-10793204.274546675
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2057,0.033,0.00731999999999999,66.10134000000001,410.75182,1.39484,16.6265,0.00143999999999999,6.4e-4,Delayed action,10640960,0.00731999999999999,2008569.599999986,2181344.22,64259840.284444444,68449754.10444443,-57808794.10444443,-57808794.11176443,37,0.16443563297285893,-9505825.651165664
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2058,0.0284,0.01048,66.04306,424.39908,1.42556,16.481299999999997,0.00125999999999999,5.600000000000001e-4,Delayed action,9229528,0.01048,1796205.599999986,1875622.904,58095518.506666675,61767347.01066666,-52537819.01066666,-52537819.02114666,38,0.15660536473605613,-8227704.3102435805
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2059,0.02379999999999999,0.01364,65.98478,438.04634,1.45628,16.3361,0.00107999999999999,4.8e-4,Delayed action,7841327.999999999,0.01364,1572782.3999999855,1570437.7639999995,51397437.22666666,54540657.39066664,-46699329.39066664,-46699329.40430664,39,0.14914796641529154,-6965110.013610164
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2060,0.0192,0.0168,65.9265,451.6936,1.487,16.1909,9e-4,4e-4,Delayed action,6476360,0.0168,1338300,1265788.8,44165596.44444445,46769685.244444445,-40293325.244444445,-40293325.261244446,40,0.14204568230027764,-5723492.87888048
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2061,0.01803999999999999,0.05341,65.86821,465.34104,1.50848,16.25276,8.5e-4,3.8e-4,Delayed action,6176048.8,0.05341,1282208,1188262.5083999995,43225012.16,45695482.6684,-39519433.8684,-39519433.92181,41,0.13528160219074062,-5346252.338613561
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2062,0.01688,0.09002,65.80992,478.98848,1.5299600000000002,16.314619999999998,7.999999999999999e-4,3.6e-4,Delayed action,5873263.199999999,0.09002,1223968,1110871.4496000002,42150986.239999995,44485825.68959999,-38612562.48959999,-38612562.57961999,42,0.12883962113403868,-4974827.933772598
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2063,0.01571999999999999,0.12663000000000002,65.75163,492.63592,1.5514400000000002,16.37648,7.5e-4,3.4e-4,Delayed action,5568003.2,0.12663000000000002,1163580.0000000002,1033615.6235999995,40943518.68444444,43140714.30804444,-37572711.10804444,-37572711.23467444,43,0.12270440108003683,-4610337.029003898
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2064,0.01455999999999999,0.16324000000000002,65.69334,506.28336,1.57292,16.43834,7e-4,3.2e-4,Delayed action,5260268.800000001,0.16324000000000002,1101044,956495.0303999995,39602609.49333333,41660148.52373333,-36399879.723733336,-36399879.88697334,44,0.11686133436193984,-4253738.53420604
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2065,0.01339999999999999,0.19985000000000003,65.63505,519.9308,1.5944000000000005,16.5002,6.5e-4,3.0000000000000003e-4,Delayed action,4950060,0.19985000000000003,1036360.0000000002,879509.6699999995,38128258.666666664,40044128.336666666,-35094068.336666666,-35094068.53651667,45,0.11129650891613317,-3905847.3117778157
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2066,0.01224,0.23646000000000003,65.57676,533.57824,1.6158800000000002,16.56206,6.000000000000001e-4,2.8000000000000003e-4,Delayed action,4637376.8,0.23646000000000003,969528.0000000002,802659.5423999998,36520466.20444445,38292653.746844456,-33655276.94684446,-33655277.18330446,46,0.10599667515822206,-3567347.4829586456
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2067,0.01108,0.27307,65.51847,547.22568,1.63736,16.62392,5.499999999999999e-4,2.6000000000000003e-4,Delayed action,4322219.2,0.27307,900547.9999999999,725944.6475999999,34779232.10666667,36405724.75426667,-32083505.554266673,-32083505.827336673,47,0.10094921443640195,-3238804.7096353616
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2068,0.00991999999999999,0.30968,65.46018,560.87312,1.65884,16.68578,5e-4,2.4e-4,Delayed action,4004587.2000000007,0.30968,829420,649364.9855999992,32904556.373333327,34383341.35893333,-30378754.15893333,-30378754.46861333,48,0.09614210898704947,-2920677.523012239
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2069,0.00875999999999999,0.34629000000000004,65.40189,574.52056,1.6803200000000005,16.74764,4.4999999999999993e-4,2.2e-4,Delayed action,3684480.8000000003,0.34629000000000004,756144.0000000001,572920.5563999993,30896439.004444446,32225503.560844447,-28541022.760844447,-28541023.107134447,49,0.0915639133209995,-2613327.7658743025
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2070,0.0076,0.3829,65.3436,588.168,1.7018000000000002,16.8095,4e-4,2e-4,Delayed action,3361900,0.3829,680720.0000000001,496611.3599999999,28754880,29932211.36,-26570311.36,-26570311.7429,50,0.08720372697238048,-2317030.210798886
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2071,0.00767,0.34517000000000003,65.3436,601.81461,1.71948,16.70555,4e-4,2e-4,Delayed action,3341110,0.34517000000000003,687792,501185.41199999995,29422047.6,30611025.012000002,-27269915.012000002,-27269915.35717,51,0.08305116854512426,-2264798.336539598
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2072,0.00774,0.30744,65.3436,615.46122,1.7371600000000005,16.601599999999998,4e-4,2e-4,Delayed action,3320320,0.30744,694864.0000000002,505759.464,30089215.200000003,31289838.664000005,-27969518.664000005,-27969518.971440006,52,0.07909635099535643,-2212286.8897362994
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2073,0.00781,0.26971,65.3436,629.10783,1.7548400000000002,16.49765,4e-4,2e-4,Delayed action,3299530,0.26971,701936.0000000001,510333.51599999995,30756382.800000004,31968652.316000003,-28669122.316000003,-28669122.585710004,53,0.07532985809081565,-2159640.9359697322
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2074,0.00788,0.23198,65.3436,642.75444,1.77252,16.3937,4e-4,2e-4,Delayed action,3278740,0.23198,709008,514907.5679999999,31423550.400000002,32647465.968000002,-29368725.968000002,-29368726.199980002,54,0.07174272199125299,-2106992.359002393
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2075,0.00795,0.19425,65.3436,656.4010499999999,1.7902,16.289749999999998,4e-4,2e-4,Delayed action,3257950,0.19425,716080,519481.62,32090718,33326279.62,-30068329.62,-30068329.81425,55,0.06832640189643142,-2054460.7872428966
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2076,0.00802,0.15652000000000002,65.3436,670.04766,1.80788,16.1858,4e-4,2e-4,Delayed action,3237160,0.15652000000000002,723152,524055.6719999999,32757885.599999998,34005093.272,-30767933.272,-30767933.42852,56,0.06507276371088706,-2002154.4618663853
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,RUS,C3,P3b,2077,0.00809,0.11879,65.3436,683.69427,1.82556,16.08185,4e-4,2e-4,Delayed action,3216370,0.11879,730224,528629.7239999999,33425053.2,34683906.924,-31467536.924000002,-31467537.042790003,57,0.06197406067703529,-1950171.0500467233
