model,scenario,region,category,policy_category,year,capacity_electricity_coal,investment_energy_supply_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse,revenue,capex,cost_fuel,cost_om,cost_carbonprice,opex,profit_opexonly,profit,time_from_baseyear,discount_factor,profit_pv
IMAGE 3.0,EN_INDCi2030_800f,TUR,C3,P3b,2020,9.735085021972656,0.0717246230259199,17.85702327121734,0,2.370912599964142,28.03945746536255,0.7421341130000001,0.266876881,Delayed action,7483082953.288123,0.0717246230259199,1759535119.3749125,173839639.78464508,0,1933374759.1595576,5549708194.128566,5549708194.056841,0,1,5549708194.056841
IMAGE 3.0,EN_INDCi2030_800f,TUR,C3,P3b,2021,9.623654940032958,0.08170389643673592,17.957176415061944,0,2.3939728391494755,28.32332471431732,0.7348918115375,0.2651841620375,Delayed action,7510897130.482252,0.08170389643673592,1759311036.5341303,172813669.5158542,0,1932124706.0499845,5578772424.432268,5578772424.350564,1,0.9523809523809523,5313116594.619584
IMAGE 3.0,EN_INDCi2030_800f,TUR,C3,P3b,2022,9.512224858093262,0.09168316984755195,18.057329558906552,0,2.4170330783348084,28.607191963272093,0.7276495100750001,0.263491443075,Delayed action,7537750292.726107,0.09168316984755195,1758752935.2853928,171765379.10101312,0,1930518314.386406,5607231978.339701,5607231978.248017,2,0.9070294784580498,5085924696.823598
IMAGE 3.0,EN_INDCi2030_800f,TUR,C3,P3b,2023,9.400794776153564,0.10166244325836796,18.157482702751157,0,2.440093317520142,28.891059212226864,0.7204072086125001,0.2617987241125,Delayed action,7563642440.019682,0.10166244325836796,1757860815.6287,170694768.54012176,0,1928555584.1688218,5635086855.850861,5635086855.749198,3,0.863837598531476,4867799896.986673
IMAGE 3.0,EN_INDCi2030_800f,TUR,C3,P3b,2024,9.289364694213868,0.111641716669184,18.257635846595765,0,2.4631535567054748,29.17492646118164,0.7131649071500001,0.26010600515,Delayed action,7588573572.362983,0.111641716669184,1756634677.5640526,169601837.83318022,0,1926236515.3972328,5662337056.96575,5662337056.854108,4,0.8227024747918819,4658418709.779655
IMAGE 3.0,EN_INDCi2030_800f,TUR,C3,P3b,2025,9.17793461227417,0.12162099008,18.35778899044037,0,2.486213795890808,29.45879371013641,0.7059226056875001,0.2584132861875,Delayed action,7612543689.756004,0.12162099008,1755074521.0914497,168486586.98018834,0,1923561108.071638,5688982581.684366,5688982581.562745,5,0.7835261664684589,4457466713.237694
IMAGE 3.0,EN_INDCi2030_800f,TUR,C3,P3b,2026,9.02819001083374,0.110211597743424,18.46967054450989,0,2.5100053968486784,28.9660842741394,0.68718817335,0.2532267192125,Delayed action,7334986489.17311,0.110211597743424,1724846023.7590854,166747695.11333433,0,1891593718.8724198,5443392770.30069,5443392770.190478,6,0.7462153966366275,4061943495.0566382
IMAGE 3.0,EN_INDCi2030_800f,TUR,C3,P3b,2027,8.87844540939331,0.098802205406848,18.581552098579404,0,2.5337969978065487,28.47337483814239,0.6684537410125001,0.2480401522375,Delayed action,7062540229.568241,0.098802205406848,1693726082.150029,164975295.92903492,0,1858701378.079064,5203838851.489178,5203838851.390375,7,0.7106813301301214,3698271116.688915
IMAGE 3.0,EN_INDCi2030_800f,TUR,C3,P3b,2028,8.728700807952881,0.087392813070272,18.693433652648924,0,2.5575885987644194,27.980665402145384,0.649719308675,0.2428535852625,Delayed action,6795204910.941398,0.087392813070272,1661714696.2642808,163169389.42729026,0,1824884085.691571,4970320825.249826,4970320825.162434,8,0.676839362028687,3364108776.380839
IMAGE 3.0,EN_INDCi2030_800f,TUR,C3,P3b,2029,8.578956206512451,0.07598342073369599,18.80531520671844,0,2.5813801997222896,27.487955966148377,0.6309848763375001,0.2376670182875,Delayed action,6532980533.292581,0.07598342073369599,1628811866.1018403,161329975.60810015,0,1790141841.7099404,4742838691.58264,4742838691.506657,9,0.6446089162177971,3057276108.727941
