model,scenario,region,category,policy_category,year,capacity_electricity_coal,investment_energy_supply_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse,revenue,capex,cost_fuel,cost_om,cost_carbonprice,opex,profit_opexonly,profit,time_from_baseyear,discount_factor,profit_pv
IMAGE 3.0,EN_INDCi2030_800f,USA,C3,P3b,2020,266.412220703125,0.05006257236368,23.606536743927,0,1.866773457398414,25.89528391765595,18.071922688,6.825231007999999,Delayed action,176741294755.74908,0.05006257236368,33736185598.114605,6289069877.059509,0,40025255475.17412,136716039280.57497,136716039280.5249,0,1,136716039280.5249
IMAGE 3.0,EN_INDCi2030_800f,USA,C3,P3b,2021,250.895421484375,0.084842721150144,23.606536743927,17.536667951219197,1.8880323101754184,28.6071801313324,16.1760307264,6.101670436799999,Delayed action,174551585287.5632,0.084842721150144,30540868661.833546,5922771986.15395,26156281163.938976,62619921811.92647,111931663475.63673,111931663475.5519,1,0.9523809523809523,106601584262.43037
IMAGE 3.0,EN_INDCi2030_800f,USA,C3,P3b,2022,235.378622265625,0.119622869936608,23.606536743927,35.073335902438394,1.9092911629524227,31.319076345008853,14.2801387648,5.378109865599999,Delayed action,168437433472.5717,0.119622869936608,27264942749.366962,5556474095.24839,46109128715.56605,78930545560.1814,89506887912.39029,89506887912.27066,2,0.9070294784580498,81185385861.46999
IMAGE 3.0,EN_INDCi2030_800f,USA,C3,P3b,2023,219.861823046875,0.154403018723072,23.606536743927,52.61000385365758,1.9305500157294273,34.030972558685306,12.3842468032,4.6545492944,Delayed action,158398839310.77444,0.154403018723072,23908407860.71487,5190176204.342831,59858542654.8812,88957126719.9389,69441712590.83554,69441712590.68114,3,0.863837598531476,59986362242.246956
IMAGE 3.0,EN_INDCi2030_800f,USA,C3,P3b,2024,204.34502382812505,0.189183167509536,23.606536743927,70.14667180487679,1.9518088685064316,36.74286877236176,10.4883548416,3.9309887232,Delayed action,144435802802.1715,0.189183167509536,20471263995.877247,4823878313.437272,67404522981.8845,92699665291.19902,51736137510.97249,51736137510.7833,4,0.8227024747918819,42563448366.29453
IMAGE 3.0,EN_INDCi2030_800f,USA,C3,P3b,2025,188.828224609375,0.223963316296,23.606536743927,87.68333975609598,1.973067721283436,39.45476498603821,8.592462880000001,3.207428152,Delayed action,126548323946.76283,0.223963316296,16953511154.854113,4457580422.531712,68747069696.57584,90158161273.96167,36390162672.80116,36390162672.5772,5,0.7835261664684589,28512644656.008022
IMAGE 3.0,EN_INDCi2030_800f,USA,C3,P3b,2026,162.28042826538086,0.2253983270016,23.606536743927,83.13983341918275,1.9925725946426391,38.04726786463928,7.411052113200001,2.7786008266,Delayed action,105718169938.55832,0.2253983270016,14767059338.23074,3830878892.6669226,56469700188.47116,75067638419.36882,30650531519.1895,30650531518.9641,6,0.7462153966366275,22871898534.54725
IMAGE 3.0,EN_INDCi2030_800f,USA,C3,P3b,2027,135.7326319213867,0.2268333377072,23.606536743927,78.59632708226953,2.0120774680018427,36.639770743240355,6.229641346400001,2.3497735011999996,Delayed action,86095162382.5092,0.2268333377072,12534520986.824104,3204177362.802134,45144871852.56028,60883570202.186516,25211592180.322685,25211592180.09585,7,0.7106813301301214,17917407865.248688
IMAGE 3.0,EN_INDCi2030_800f,USA,C3,P3b,2028,109.18483557739258,0.2282683484128,23.606536743927,74.0528207453563,2.0315823413610463,35.23227362184143,5.0482305796,1.9209461758,Delayed action,67679301278.61551,0.2282683484128,10255896100.634201,2577475832.9373455,34772584688.84324,47605956622.41479,20073344656.20072,20073344655.972454,8,0.676839362028687,13586429790.730349
IMAGE 3.0,EN_INDCi2030_800f,USA,C3,P3b,2029,82.63703923339843,0.2297033591184,23.606536743927,69.50931440844307,2.0510872147202495,33.8247765004425,3.8668198128,1.4921188503999998,Delayed action,50470586626.8772,0.2297033591184,7931184679.661029,1950774303.072557,25352838697.320007,35234797680.05359,15235788946.823608,15235788946.593904,9,0.6446089162177971,9821125400.58699
