model,scenario,region,category,policy_category,year,capacity_electricity_coal,investment_energy_supply_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse,revenue,capex,cost_fuel,cost_om,cost_carbonprice,opex,profit_opexonly,profit,time_from_baseyear,discount_factor,profit_pv
POLES ENGAGE,EN_INDCi2030_800f,USA,C4,P3b,2020,257.2237548828125,0.0021546494681388,48.86340713500977,13.25713062286377,3.444623470306396,29.87688636779785,12.35215282440186,4.735991954803467,Delayed action,141496693472.468,0.0021546494681388,42548515527.746086,12568829059.634825,15347606749.117249,70464951336.49817,71031742135.96982,71031742135.96767,0,1,71031742135.96767
POLES ENGAGE,EN_INDCi2030_800f,USA,C4,P3b,2021,242.70789489746093,0.02858669766302712,48.639589691162115,20.61108627319336,3.322720384597778,33.4850715637207,11.203493404388432,4.29541597366333,Delayed action,143832311274.06564,0.02858669766302712,37226075913.4682,11805212422.618198,21641446251.92678,70672734588.01318,73159576686.05246,73159576686.02388,1,0.9523809523809523,69675787320.02274
POLES ENGAGE,EN_INDCi2030_800f,USA,C4,P3b,2022,228.19203491210936,0.05501874585791545,48.41577224731446,27.96504192352295,3.20081729888916,37.09325675964355,10.054833984375003,3.8548399925231935,Delayed action,142988569610.00525,0.05501874585791545,32183686554.646126,11048093590.955917,26351297377.627197,69583077523.22925,73405492086.776,73405492086.72098,2,0.9070294784580498,66580945203.37503
POLES ENGAGE,EN_INDCi2030_800f,USA,C4,P3b,2023,213.67617492675785,0.08145079405280377,48.19195480346681,35.31899757385254,3.0789142131805423,40.70144195556641,8.906174564361574,3.4142640113830565,Delayed action,138965468480.2868,0.08145079405280377,27421347451.279877,10297472564.647982,29477160126.2185,67195980142.146355,71769488338.14044,71769488338.05899,3,0.863837598531476,61997182453.781654
POLES ENGAGE,EN_INDCi2030_800f,USA,C4,P3b,2024,199.16031494140623,0.10788284224769212,47.96813735961915,42.67295322418213,2.957011127471924,44.30962715148926,7.757515144348146,2.97368803024292,Delayed action,131763007884.9103,0.10788284224769212,22939058603.36944,9553349343.694384,31019034497.700672,63511442444.764496,68251565440.1458,68251565440.03792,4,0.8227024747918819,56150731795.93927
POLES ENGAGE,EN_INDCi2030_800f,USA,C4,P3b,2025,184.6444549560547,0.1343148904425804,47.74431991577149,50.02690887451172,2.835108041763306,47.91781234741211,6.608855724334717,2.533112049102783,Delayed action,121381187823.87573,0.1343148904425804,18736820010.914814,8815723928.095135,30976920492.07374,58529464431.08369,62851723392.792046,62851723392.65773,5,0.7835261664684589,49245969885.78507
POLES ENGAGE,EN_INDCi2030_800f,USA,C4,P3b,2026,180.27843017578124,0.18543239300392905,47.6249740600586,50.02690887451172,2.872890138626099,49.90537033081055,6.145918655395508,2.3574010372161864,Delayed action,117646971780.51068,0.18543239300392905,17656549097.88393,8585755560.709667,28828185679.209534,55070490337.80313,62576481442.70755,62576481442.52212,6,0.7462153966366275,46695533919.7562
POLES ENGAGE,EN_INDCi2030_800f,USA,C4,P3b,2027,175.91240539550782,0.23654989556527764,47.505628204345705,50.02690887451172,2.910672235488892,51.89292831420899,5.6829815864562985,2.1816900253295897,Delayed action,113214284088.25317,0.23654989556527764,16541296718.492964,8356829327.251131,26679450866.34533,51577576912.089424,61636707176.16375,61636707175.9272,7,0.7106813301301214,43804057040.62874
POLES ENGAGE,EN_INDCi2030_800f,USA,C4,P3b,2028,171.54638061523437,0.28766739812662623,47.38628234863282,50.02690887451172,2.948454332351685,53.88048629760742,5.22004451751709,2.0059790134429933,Delayed action,108083124747.10326,0.28766739812662623,15391062872.741926,8128945227.719528,24530716053.481133,48050724153.94259,60032400593.16067,60032400592.873,8,0.676839362028687,40632291718.330734
POLES ENGAGE,EN_INDCi2030_800f,USA,C4,P3b,2029,167.18035583496095,0.33878490068797484,47.266936492919925,50.02690887451172,2.986236429214478,55.86804428100586,4.757107448577881,1.8302680015563968,Delayed action,102253493757.06088,0.33878490068797484,14205847560.630808,7902103262.114854,22381981240.616932,44489932063.362595,57763561693.69829,57763561693.359505,9,0.6446089162177971,37234906900.03633
POLES ENGAGE,EN_INDCi2030_800f,USA,C4,P3b,2030,162.8143310546875,0.3899024032493235,47.14759063720703,50.02690887451172,3.024018526077271,57.8556022644043,4.294170379638672,1.6545569896698,Delayed action,95725391118.12604,0.3899024032493235,12985650782.159613,7676303430.43711,20233246427.752724,40895200640.34944,54830190477.776596,54830190477.386696,10,0.6139132535407591,33660980628.232014
POLES ENGAGE,EN_INDCi2030_800f,USA,C4,P3b,2031,160.55223083496094,1.5163575547862795,47.02822799682617,205.37620239257816,2.9558424949646,72.81917419433594,3.710158443450928,1.4281568408012393,Delayed action,103997201767.13794,1.5163575547862795,10966643990.203968,7550486917.105607,71697860271.82541,90214991179.13498,13782210588.00296,13782210586.486603,11,0.5846792890864372,8058173087.746555
POLES ENGAGE,EN_INDCi2030_800f,USA,C4,P3b,2032,158.29013061523438,2.6428127063232356,46.90886535644531,360.72549591064455,2.887666463851929,87.78274612426758,3.126146507263184,1.2017566919326783,Delayed action,105493502591.06595,2.6428127063232356,9027268430.111738,7425210424.284171,105967712561.66359,122420191416.0595,-16926688824.993546,-16926688827.636358,12,0.5568374181775593,-9425413705.075968
POLES ENGAGE,EN_INDCi2030_800f,USA,C4,P3b,2033,156.0280303955078,3.769267857860191,46.78950271606445,516.0747894287109,2.819490432739258,102.7463180541992,2.5421345710754393,0.9753565430641176,Delayed action,100214293589.91005,3.769267857860191,7167524101.882917,7300473951.972798,123042803297.2673,137510801351.12302,-37296507761.21297,-37296507764.98223,13,0.5303213506452945,-19779134372.27809
POLES ENGAGE,EN_INDCi2030_800f,USA,C4,P3b,2034,153.76593017578125,4.895723009397148,46.67014007568359,671.4240829467774,2.751314401626587,117.70988998413084,1.9581226348876952,0.7489563941955566,Delayed action,88159574763.6703,4.895723009397148,5387411005.517515,7176277500.171494,122923132478.63652,135486820984.32553,-47327246220.65523,-47327246225.55095,14,0.5050679529955185,-23903475372.053898
POLES ENGAGE,EN_INDCi2030_800f,USA,C4,P3b,2035,151.5038299560547,6.022178160934104,46.55077743530273,826.7733764648436,2.683138370513916,132.6734619140625,1.374110698699951,0.5225562453269958,Delayed action,69329346112.34668,6.022178160934104,3686929141.015525,7052621068.880252,105608700105.77126,116348250315.66704,-47018904203.32036,-47018904209.34254,15,0.48101709809097004,-22616896858.195244
POLES ENGAGE,EN_INDCi2030_800f,USA,C4,P3b,2036,138.22726135253907,5.777003296190939,46.43141479492187,1002.544970703125,2.6767338275909425,134.53870239257813,1.284835886955261,0.4860826313495636,Delayed action,65396926477.3402,5.777003296190939,3439163681.5159593,6418087307.825814,119122592699.15794,128979843688.49973,-63582917211.15952,-63582917216.93652,16,0.4581115219914,-29128066978.90398
