model,scenario,region,category,policy_category,year,capacity_electricity_coal,investment_energy_supply_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse,revenue,capex,cost_fuel,cost_om,cost_carbonprice,opex,profit_opexonly,profit,time_from_baseyear,discount_factor,profit_pv
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,USA,C3,P3b,2020,224.6969,0.0039,71.7169,26.786900000000003,1.7543,21.3421,11.0944,4.2526,Delayed action,90759414460,0.0039,19462905920,16114565107.61,27845637340.88889,63423108368.498886,27336306091.501114,27336306091.497215,0,1,27336306091.497215
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,USA,C3,P3b,2021,193.28608,0.00622,71.58941999999999,42.85914,1.78082,23.21344,9.56986,3.67092,Delayed action,85214681164.8,0.00622,17042198085.2,13837238361.273598,38459049251.03999,69338485697.5136,15876195467.286407,15876195467.280188,1,0.9523809523809523,15120186159.314463
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,USA,C3,P3b,2022,161.87526,0.00853999999999999,71.46194,58.93138,1.80734,25.08478,8.04532,3.08924,Delayed action,77492905767.20001,0.00853999999999999,14540628648.800001,11567920117.6044,44501887552.51556,70610436318.91995,6882469448.28006,6882469448.27152,2,0.9070294784580498,6242602674.169178
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,USA,C3,P3b,2023,130.46444,0.01085999999999999,71.33445999999999,75.00362,1.83386,26.95612,6.52078,2.50756,Delayed action,67594088267.2,0.01085999999999999,11958197610.800001,9306610376.6024,45974152245.315544,67238960232.71794,355128034.48205566,355128034.47119564,3,0.863837598531476,306772948.46880084
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,USA,C3,P3b,2024,99.05362,0.01318,71.20698,91.07586,1.86038,28.82746,4.99624,1.92588,Delayed action,55518228664.8,0.01318,9294904971.2,7053309138.2676,42875843329.44,59224057438.90761,-3705828774.107605,-3705828774.1207848,4,0.8227024747918819,-3048794503.6241355
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,USA,C3,P3b,2025,67.6428,0.0155,71.0795,107.1481,1.8869,30.6988,3.4717,1.3442,Delayed action,41265326960,0.0155,6550750730,4808016402.599999,35206960804.888885,46565727937.488884,-5300400977.488884,-5300400977.504384,5,0.7835261664684589,-4153002858.649682
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,USA,C3,P3b,2026,54.27101999999999,0.0171,70.95204,107.4449,1.88518,30.10552,2.7849999999999997,1.07834,Delayed action,32463986436.800003,0.0171,5250226299.999999,3850639581.8807993,28321854847.244446,37422720729.125244,-4958734292.325241,-4958734292.342341,6,0.7462153966366275,-3700283876.7758865
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,USA,C3,P3b,2027,40.89923999999999,0.0187,70.82458,107.7417,1.88346,29.51224,2.0982999999999996,0.81248,Delayed action,23978104755.2,0.0187,3952064117.999999,2896671495.3191996,21398172012.8,28246907626.119198,-4268802870.919197,-4268802870.937897,7,0.7106813301301214,-3033758502.3814254
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,USA,C3,P3b,2028,27.52746,0.0203,70.69712,108.0385,1.88174,28.91896,1.4116,0.54662,Delayed action,15807681915.2,0.0203,2656264184,1946112142.9152,14435912301.555553,19038288628.470753,-3230606713.270752,-3230606713.291052,8,0.676839362028687,-2186601786.789509
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,USA,C3,P3b,2029,14.155679999999997,0.0219,70.56966,108.3353,1.88002,28.32568,0.7248999999999994,0.2807599999999999,Delayed action,7952717916.799997,0.0219,1362826497.999999,998961524.6687998,7435075713.5111065,9796863736.179905,-1844145819.3799076,-1844145819.4018075,9,0.6446089162177971,-1188752837.9921806
