model,scenario,region,category,policy_category,year,capacity_electricity_coal,investment_energy_supply_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse,revenue,capex,cost_fuel,cost_om,cost_carbonprice,opex,profit_opexonly,profit,time_from_baseyear,discount_factor,profit_pv
IMAGE 3.0,EN_INDCi2030_800f,ZAF,C3,P3b,2020,28.59813098465071,1.46441116204464,17.45221141366959,0,1.518711597046852,27.76065048347473,1.833788033380019,0.6437048320000001,Delayed action,17869664855.675823,1.46441116204464,2784995152.819975,499100627.97993904,0,3284095780.799914,14585569074.87591,14585569073.411499,0,1,14585569073.411499
IMAGE 3.0,EN_INDCi2030_800f,ZAF,C3,P3b,2021,28.42118455951081,2.168760023338208,17.493862376819614,5.179187593108653,1.542980384358406,33.19333968434143,1.6710990512016657,0.5885534754694323,Delayed action,19536055433.656578,2.168760023338208,2578473056.324114,497196291.2702727,745122609.7412194,3820791957.335606,15715263476.320972,15715263474.152212,1,0.9523809523809523,14966917594.430677
IMAGE 3.0,EN_INDCi2030_800f,ZAF,C3,P3b,2022,28.244238134370903,2.873108884631776,17.535513339969636,10.358375186217303,1.56724917166996,38.62602888520813,1.5084100690233122,0.5334021189388645,Delayed action,20603205653.5638,2.873108884631776,2364054431.215413,495277214.58254004,1350599377.866949,4209931023.664902,16393274629.8989,16393274627.02579,2,0.9070294784580498,14869183335.170782
IMAGE 3.0,EN_INDCi2030_800f,ZAF,C3,P3b,2023,28.067291709230997,3.5774577459253436,17.577164303119655,15.537562779325956,1.591517958981514,44.05871808607483,1.3457210868449587,0.4782507624082966,Delayed action,21071115515.3975,3.5774577459253436,2141739277.4938734,493343397.9167413,1816430304.3771892,4451512979.787804,16619602535.609695,16619602532.032238,3,0.863837598531476,14356637539.818367
IMAGE 3.0,EN_INDCi2030_800f,ZAF,C3,P3b,2024,27.890345284091097,4.281806607218912,17.618815266269678,20.71675037243461,1.6157867462930682,49.49140728694153,1.1830321046666057,0.4230994058777288,Delayed action,20939785019.157658,4.281806607218912,1911527595.1594954,491394841.2728767,2142615389.27194,4545537825.704312,16394247193.453346,16394247189.17154,4,0.8227024747918819,13487587734.881279
IMAGE 3.0,EN_INDCi2030_800f,ZAF,C3,P3b,2025,27.71339885895119,4.98615546851248,17.6604662294197,25.89593796554326,1.640055533604622,54.92409648780823,1.020343122488252,0.367948049347161,Delayed action,20209214164.844296,4.98615546851248,1673419384.2122765,489431544.65094596,2329154632.5512013,4492005561.414424,15717208603.42987,15717208598.443716,5,0.7835261664684589,12314844200.723703
IMAGE 3.0,EN_INDCi2030_800f,ZAF,C3,P3b,2026,29.109703444491483,5.424313005850304,17.70693807414245,21.969420648177636,1.666818536061287,50.90024014981842,1.1044079394251425,0.40601386521722793,Delayed action,20666203243.71291,5.424313005850304,1840847624.8070786,515443716.2482618,2180417407.4099455,4536708748.465286,16129494495.247623,16129494489.82331,6,0.7462153966366275,12036077128.2718
IMAGE 3.0,EN_INDCi2030_800f,ZAF,C3,P3b,2027,30.50600803003178,5.862470543188127,17.7534099188652,18.04290333081201,1.693581538517952,46.87638381182861,1.1884727563620323,0.4440796810872949,Delayed action,20816849573.682484,5.862470543188127,2012775519.2062817,541585665.5453477,1958607873.9421058,4512969058.693735,16303880514.988749,16303880509.126278,7,0.7106813301301214,11586863486.508423
IMAGE 3.0,EN_INDCi2030_800f,ZAF,C3,P3b,2028,31.90231261557207,6.300628080525952,17.79988176358795,14.116386013446384,1.720344540974617,42.852527473838805,1.2725375732989226,0.4821454969573618,Delayed action,20661153154.75301,6.300628080525952,2189203067.409888,567857392.5422032,1663726032.1476808,4420786492.0997715,16240366662.653238,16240366656.35261,8,0.676839362028687,10992119406.79766
IMAGE 3.0,EN_INDCi2030_800f,ZAF,C3,P3b,2029,33.298617201112364,6.738785617863776,17.8463536083107,10.189868696080758,1.747107543431282,38.82867113584899,1.3566023902358126,0.5202113128274288,Delayed action,20199113986.924496,6.738785617863776,2370130269.4178963,594258897.2388284,1295771882.0266712,4260161048.6833963,15938952938.2411,15938952931.502316,9,0.6446089162177971,10274391174.822187
