model,scenario,region,category,policy_category,year,capacity_electricity_coal,investment_energy_supply_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse,revenue,capex,cost_fuel,cost_om,cost_carbonprice,opex,profit_opexonly,profit,time_from_baseyear,discount_factor,profit_pv
POLES ENGAGE,EN_INDCi2030_800f,ZAF,C4,P3b,2020,39.03611755371094,0.3751055598258972,48.86340713500977,3.251749038696289,2.189592123031616,17.5046272277832,1.981786131858826,0.7729288935661316,Delayed action,13529832155.45805,0.3751055598258972,4339303303.851381,1907437704.9970794,614379525.6217067,6861120534.470168,6668711620.987882,6668711620.612776,0,1,6668711620.612776
POLES ENGAGE,EN_INDCi2030_800f,ZAF,C4,P3b,2021,38.448333740234375,0.545362253174673,48.639589691162115,4.252287101745606,2.308969449996948,18.951050949096675,1.9683626890182495,0.7677555561065674,Delayed action,14549774660.227612,0.545362253174673,4544889315.456981,1870111177.4338646,798041945.1951176,7213042438.085963,7336732222.141648,7336732221.596286,1,0.9523809523809523,6987364020.567891
POLES ENGAGE,EN_INDCi2030_800f,ZAF,C4,P3b,2022,37.86054992675781,0.7156189465234488,48.41577224731446,5.252825164794922,2.42834677696228,20.39747467041015,1.9549392461776736,0.7625822186470032,Delayed action,15554751488.957424,0.7156189465234488,4747270417.612623,1833047762.4119844,979173816.7038963,7559491996.728504,7995259492.22892,7995259491.513301,2,0.9070294784580498,7251936046.724082
POLES ENGAGE,EN_INDCi2030_800f,ZAF,C4,P3b,2023,37.27276611328124,0.8858756398722245,48.19195480346681,6.253363227844238,2.547724103927612,21.843898391723627,1.9415158033370976,0.757408881187439,Delayed action,16544762641.647491,0.8858756398722245,4946446610.318304,1796247459.9314387,1157775140.1480432,7900469210.397785,8644293431.249706,8644293430.36383,3,0.863837598531476,7467265677.886907
POLES ENGAGE,EN_INDCi2030_800f,ZAF,C4,P3b,2024,36.68498229980468,1.0561323332210004,47.96813735961915,7.253901290893555,2.667101430892944,23.290322113037103,1.9280923604965212,0.7522355437278747,Delayed action,17519808118.29781,1.0561323332210004,5142417893.574026,1759710269.992228,1333845915.5275576,8235974079.093811,9283834039.203999,9283834038.147865,4,0.8227024747918819,7637833238.741359
POLES ENGAGE,EN_INDCi2030_800f,ZAF,C4,P3b,2025,36.09719848632812,1.226389026569776,47.74431991577149,8.254439353942871,2.786478757858276,24.73674583435058,1.914668917655945,0.7470622062683105,Delayed action,18479887918.908382,1.226389026569776,5335184267.379787,1723436192.594352,1507386142.8424404,8566006602.81658,9913881316.091803,9913881314.865414,5,0.7835261664684589,7767785421.459782
POLES ENGAGE,EN_INDCi2030_800f,ZAF,C4,P3b,2026,35.8068359375,1.076306952377898,47.6249740600586,8.249202346801757,2.8157291889190668,27.006301879882805,1.8724116563797,0.7308795928955079,Delayed action,19738354923.581932,1.076306952377898,5272204154.540619,1705299632.6962116,1473798004.0527663,8451301791.289597,11287053132.292336,11287053131.216028,6,0.7462153966366275,8422572829.169057
POLES ENGAGE,EN_INDCi2030_800f,ZAF,C4,P3b,2027,35.51647338867187,0.9262248781860196,47.505628204345705,8.243965339660644,2.844979619979858,29.275857925415036,1.830154395103455,0.7146969795227051,Delayed action,20923367232.229973,0.9262248781860196,5206751955.485894,1687232379.931784,1440251297.8444147,8334235633.262093,12589131598.96788,12589131598.041655,7,0.7106813301301214,8946860789.279383
POLES ENGAGE,EN_INDCi2030_800f,ZAF,C4,P3b,2028,35.22611083984375,0.7761428039941413,47.38628234863282,8.238728332519532,2.874230051040649,31.545413970947266,1.7878971338272094,0.6985143661499024,Delayed action,22034924844.852505,0.7761428039941413,5138827670.21561,1669234434.3010712,1406746024.2173855,8214808128.734066,13820116716.118439,13820116715.342297,8,0.676839362028687,9353998980.774273
POLES ENGAGE,EN_INDCi2030_800f,ZAF,C4,P3b,2029,34.93574829101562,0.6260607298022629,47.266936492919925,8.233491325378418,2.90348048210144,33.81497001647949,1.745639872550964,0.6823317527770996,Delayed action,23073027761.44952,0.6260607298022629,5068431298.72977,1651305795.804071,1373282183.1716778,8093019277.705518,14980008483.744003,14980008483.117943,9,0.6446089162177971,9656247033.236065
POLES ENGAGE,EN_INDCi2030_800f,ZAF,C4,P3b,2030,34.6453857421875,0.4759786556103846,47.14759063720703,8.228254318237305,2.932730913162231,36.08452606201172,1.703382611274719,0.6661491394042969,Delayed action,24037675982.021027,0.4759786556103846,4995562841.028372,1633446464.4407854,1339859774.7072926,7968869080.17645,16068806901.844578,16068806901.368599,10,0.6139132535407591,9864853525.3374
POLES ENGAGE,EN_INDCi2030_800f,ZAF,C4,P3b,2031,30.515938758850098,0.4568248851414551,47.02822799682617,171.8514144897461,2.9378221511840814,78.54750061035156,1.4975349783897398,0.5854130744934082,Delayed action,45982733826.078766,0.4568248851414551,4399491431.686353,1435110525.4883869,24592104756.384808,30426706713.559547,15556027112.519218,15556027112.062393,11,0.5846792890864372,9095286872.889982
POLES ENGAGE,EN_INDCi2030_800f,ZAF,C4,P3b,2032,26.386491775512695,0.4376711146725256,46.90886535644531,335.4745746612549,2.9429133892059323,121.0104751586914,1.2916873455047606,0.5046770095825195,Delayed action,61071204731.24814,0.4376711146725256,3801323983.753829,1237760389.9264767,41385985698.69128,46425070072.37158,14646134658.876556,14646134658.438885,12,0.5568374181775593,8155515809.485977
POLES ENGAGE,EN_INDCi2030_800f,ZAF,C4,P3b,2033,22.257044792175293,0.4185173442035961,46.78950271606445,499.0977348327637,2.9480046272277827,163.47344970703122,1.0858397126197814,0.4239409446716309,Delayed action,69303088697.52916,0.4185173442035961,3201060497.2308016,1041396057.7550539,51721502601.626724,55963959156.61258,13339129540.91658,13339129540.498062,13,0.5303213506452945,7074025194.349479
POLES ENGAGE,EN_INDCi2030_800f,ZAF,C4,P3b,2034,18.12759780883789,0.3993635737346666,46.67014007568359,662.7208950042725,2.9530958652496335,205.9364242553711,0.8799920797348022,0.34320487976074215,Delayed action,70678385724.92181,0.3993635737346666,2598700972.11727,846017528.9741193,55598655465.191124,59043373966.28252,11635011758.639297,11635011758.239933,14,0.5050679529955185,5876471571.813032
POLES ENGAGE,EN_INDCi2030_800f,ZAF,C4,P3b,2035,13.99815082550049,0.3802098032657371,46.55077743530273,826.34405517578125,2.958187103271484,248.3993988037109,0.674144446849823,0.2624688148498535,Delayed action,65197095813.426125,0.3802098032657371,1994245408.4132347,651624803.5836724,53017444289.384476,55663314501.381386,9533781312.044739,9533781311.66453,15,0.48101709809097004,4585911820.370794
POLES ENGAGE,EN_INDCi2030_800f,ZAF,C4,P3b,2036,14.180309104919436,0.41413900898543976,46.43141479492187,1002.201513671875,2.9632359027862547,240.77333679199216,0.5832117259502411,0.226758474111557,Delayed action,54597394457.70015,0.41413900898543976,1728193925.2616925,658411813.9707216,55551878798.17328,57938484537.40569,-3341090079.7055435,-3341090080.1196823,16,0.4581115219914,-1530591861.7139962
