model,scenario,region,category,policy_category,year,capacity_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse
IMAGE 3.0,CO_2Deg2020,BRA,C3,P2a,2010,0.4004874877929688,17.06768076847076,0,1.898820318889618,21.58039313323975,0.09963404,0.0218268,Immediate action
IMAGE 3.0,CO_2Deg2020,BRA,C3,P2a,2011,0.3965761901855469,17.10029720052337,0,1.9246005308551788,21.710696594848635,0.1102220672,0.02221016,Immediate action
IMAGE 3.0,CO_2Deg2020,BRA,C3,P2a,2012,0.39266489257812504,17.132913632575985,0,1.9503807428207396,21.841000056457517,0.1208100944,0.02259352,Immediate action
IMAGE 3.0,CO_2Deg2020,BRA,C3,P2a,2013,0.38875359497070316,17.165530064628594,0,1.9761609547863004,21.971303518066403,0.1313981216,0.02297688,Immediate action
IMAGE 3.0,CO_2Deg2020,BRA,C3,P2a,2014,0.3848422973632813,17.198146496681208,0,2.001941166751861,22.101606979675285,0.1419861488,0.02336024,Immediate action
IMAGE 3.0,CO_2Deg2020,BRA,C3,P2a,2015,0.3809309997558594,17.23076292873382,0,2.027721378717422,22.23191044128417,0.152574176,0.0237436,Immediate action
IMAGE 3.0,CO_2Deg2020,BRA,C3,P2a,2016,0.5238916015625001,17.268984319648737,0,2.0607900919470783,22.445424976799004,0.1509353792,0.02542138,Immediate action
IMAGE 3.0,CO_2Deg2020,BRA,C3,P2a,2017,0.6668522033691409,17.307205710563657,0,2.0938588051767346,22.65893951231384,0.1492965824,0.02709916,Immediate action
IMAGE 3.0,CO_2Deg2020,BRA,C3,P2a,2018,0.8098128051757816,17.345427101478574,0,2.1269275184063914,22.872454047828672,0.1476577856,0.02877694,Immediate action
IMAGE 3.0,CO_2Deg2020,BRA,C3,P2a,2019,0.9527734069824223,17.383648492393494,0,2.1599962316360477,23.085968583343508,0.1460189888,0.03045472,Immediate action
IMAGE 3.0,CO_2Deg2020,BRA,C3,P2a,2020,1.095734008789063,17.42186988330841,0,2.193064944865704,23.29948311885834,0.144380192,0.0321325,Immediate action
IMAGE 3.0,CO_2Deg2020,BRA,C3,P2a,2021,1.5831218269866567,17.466724555416107,34.212718101417984,2.2187310367164614,23.906128218170167,0.1686916128389865,0.0440861376136065,Immediate action
IMAGE 3.0,CO_2Deg2020,BRA,C3,P2a,2022,2.0705096451842504,17.511579227523804,68.42543620283597,2.2443971285672193,24.512773317481997,0.19300303367797306,0.056039775227213005,Immediate action
IMAGE 3.0,CO_2Deg2020,BRA,C3,P2a,2023,2.5578974633818437,17.556433899631497,102.63815430425394,2.2700632204179767,25.119418416793824,0.21731445451695958,0.0679934128408195,Immediate action
IMAGE 3.0,CO_2Deg2020,BRA,C3,P2a,2024,3.045285281579438,17.601288571739193,136.85087240567194,2.2957293122687346,25.726063516105654,0.2416258753559461,0.07994705045442602,Immediate action
IMAGE 3.0,CO_2Deg2020,BRA,C3,P2a,2025,3.532673099777031,17.64614324384689,171.0635905070899,2.321395404119492,26.33270861541748,0.2659372961949326,0.0919006880680325,Immediate action
IMAGE 3.0,CO_2Deg2020,BRA,C3,P2a,2026,3.561596128713568,17.700905475173947,185.72618872068273,2.3470998705425266,25.825436597068787,0.24636165003610247,0.08579524043377658,Immediate action
IMAGE 3.0,CO_2Deg2020,BRA,C3,P2a,2027,3.590519157650105,17.755667706501004,200.38878693427554,2.372804336965561,25.318164578720094,0.22678600387727232,0.07968979279952065,Immediate action
IMAGE 3.0,CO_2Deg2020,BRA,C3,P2a,2028,3.619442186586642,17.810429937828065,215.05138514786836,2.3985088033885957,24.810892560371396,0.20721035771844218,0.07358434516526474,Immediate action
IMAGE 3.0,CO_2Deg2020,BRA,C3,P2a,2029,3.648365215523179,17.865192169155122,229.71398336146117,2.4242132698116303,24.303620542022703,0.18763471155961203,0.06747889753100882,Immediate action
IMAGE 3.0,CO_2Deg2020,BRA,C3,P2a,2030,3.677288244459716,17.91995440048218,244.376581575054,2.449917736234665,23.79634852367401,0.1680590654007819,0.0613734498967529,Immediate action
IMAGE 3.0,CO_2Deg2020,BRA,C3,P2a,2031,3.6724382908082873,17.97313051803589,265.3231457100586,2.456198594652176,23.36869658553314,0.13543538655738102,0.04948394785839102,Immediate action
IMAGE 3.0,CO_2Deg2020,BRA,C3,P2a,2032,3.667588337156859,18.026306635589602,286.2697098450633,2.462479453069687,22.94104464739227,0.10281170771398017,0.03759444582002914,Immediate action
IMAGE 3.0,CO_2Deg2020,BRA,C3,P2a,2033,3.6627383835054306,18.079482753143317,307.2162739800679,2.468760311487198,22.5133927092514,0.07018802887057933,0.02570494378166726,Immediate action
IMAGE 3.0,CO_2Deg2020,BRA,C3,P2a,2034,3.6578884298540024,18.13265887069703,328.1628381150726,2.475041169904709,22.08574077111053,0.03756435002717845,0.01381544174330538,Immediate action
IMAGE 3.0,CO_2Deg2020,BRA,C3,P2a,2035,3.653038476202574,18.18583498825074,349.1094022500772,2.48132202832222,21.65808883296966,0.0049406711837776,0.0019259397049435,Immediate action
IMAGE 3.0,CO_2Deg2020,BRA,C3,P2a,2036,3.63599590341815,18.237488588706977,404.7016818495704,2.4770727245149615,22.035567008255,0.028039451780653937,0.0113063529799384,Immediate action
IMAGE 3.0,CO_2Deg2020,BRA,C3,P2a,2037,3.618953330633726,18.28914218916321,460.29396144906354,2.472823420707703,22.41304518354034,0.05113823237753028,0.020686766254933302,Immediate action
IMAGE 3.0,CO_2Deg2020,BRA,C3,P2a,2038,3.6019107578493026,18.34079578961945,515.8862410485567,2.4685741169004443,22.79052335882568,0.07423701297440662,0.0300671795299282,Immediate action
IMAGE 3.0,CO_2Deg2020,BRA,C3,P2a,2039,3.5848681850648787,18.392449390075683,571.4785206480499,2.4643248130931856,23.16800153411102,0.09733579357128296,0.039447592804923104,Immediate action
IMAGE 3.0,CO_2Deg2020,BRA,C3,P2a,2040,3.567825612280455,18.44410299053192,627.070800247543,2.460075509285927,23.54547970939636,0.1204345741681593,0.048828006079918,Immediate action
IMAGE 3.0,CO_2Deg2020,BRA,C3,P2a,2041,3.65144747965106,18.492867907424927,652.5712474842474,2.454183256137848,23.76765691504669,0.1464493649646707,0.060314915278745704,Immediate action
IMAGE 3.0,CO_2Deg2020,BRA,C3,P2a,2042,3.7350693470216654,18.541632824317933,678.0716947209517,2.448291002989769,23.98983412069702,0.17246415576118213,0.0718018244775734,Immediate action
