model,scenario,region,category,policy_category,year,capacity_electricity_coal,investment_energy_supply_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2010,10.91684454345703,0.28157287697008,22.38474529663085,0,1.942721172912121,23.37870851936341,0.7951390079999999,0.299988,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2011,11.024360839843748,0.26650023808025597,22.421595450248713,0,1.9756500685329441,23.73525895130921,0.7455310584,0.28081389819999997,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2012,11.131877136230466,0.251427599190432,22.458445603866576,0,2.008578964153767,24.09180938325501,0.6959231088,0.2616397964,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2013,11.239393432617183,0.23635496030060799,22.495295757484435,0,2.04150785977459,24.44835981520081,0.6463151592,0.2424656946,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2014,11.346909729003901,0.221282321410784,22.532145911102297,0,2.0744367553954133,24.804910247146612,0.5967072096,0.2232915928,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2015,11.45442602539062,0.20620968252096,22.56899606472016,0,2.107365651016236,25.16146067909241,0.5470992600000001,0.204117491,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2016,11.278120581054683,0.174251874471328,22.557417666587835,0,2.135391924320222,25.139312555686953,0.47242572960000007,0.1767392948,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2017,11.101815136718747,0.142294066421696,22.54583926845551,0,2.1634181976242073,25.117164432281495,0.39775219920000005,0.1493610986,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2018,10.925509692382812,0.11033625837206401,22.53426087032318,0,2.191444470928193,25.095016308876037,0.3230786688,0.1219829024,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2019,10.749204248046876,0.07837845032243201,22.522682472190855,0,2.2194707442321784,25.07286818547058,0.2484051384,0.09460470619999999,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2020,10.57289880371094,0.0464206422728,22.51110407405853,0,2.247497017536164,25.05072006206512,0.173731608,0.06722651,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2021,9.178907861328128,0.038266083828871984,22.49656853614044,34.212718101417984,2.2650134647617346,25.08369314258575,0.149320688,0.059869714000000004,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2022,7.784916918945314,0.030111525384943962,22.48203299822235,68.42543620283597,2.282529911987305,25.11666622310638,0.124909768,0.052512918,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2023,6.390925976562501,0.021956966941015944,22.46749746030426,102.63815430425394,2.300046359212876,25.14963930362701,0.100498848,0.045156122,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2024,4.996935034179687,0.013802408497087922,22.45296192238617,136.85087240567194,2.3175628064384464,25.18261238414764,0.076087928,0.037799325999999994,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2025,3.602944091796875,0.0056478500531599,22.43842638446808,171.0635905070899,2.335079253664017,25.21558546466827,0.051677008,0.03044253,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2026,3.287711083984375,0.00760547166524792,22.433744739471436,185.72618872068273,2.3574365488605498,25.34086880329132,0.0507715704,0.029972342,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2027,2.9724780761718748,0.00956309327733594,22.42906309447479,200.38878693427554,2.3797938440570827,25.466152141914367,0.049866132800000004,0.029502154,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2028,2.657245068359375,0.011520714889423961,22.424381449478147,215.05138514786836,2.402151139253616,25.591435480537413,0.0489606952,0.029031966,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2029,2.3420120605468746,0.013478336501511982,22.419699804481503,229.71398336146117,2.424508434450149,25.716718819160462,0.048055257600000005,0.028561778,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2030,2.026779052734375,0.0154359581136,22.41501815948486,244.376581575054,2.446865729646682,25.84200215778351,0.04714982,0.02809159,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2031,2.017620849609375,0.05303694288288001,22.413441130950922,265.3231457100586,2.4501189848518368,25.46530150996399,0.04685836,0.02796402,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2032,2.008462646484375,0.09063792765216001,22.41186410241699,286.2697098450633,2.453372240056991,25.08860086214447,0.0465669,0.02783645,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2033,1.999304443359375,0.12823891242143998,22.41028707388305,307.2162739800679,2.456625495262146,24.71190021432495,0.04627544,0.02770888,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2034,1.990146240234375,0.16583989719072,22.408710045349117,328.1628381150726,2.4598787504673,24.33519956650543,0.04598398,0.02758131,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2035,1.980988037109375,0.20344088196,22.40713301681518,349.1094022500772,2.463132005672455,23.95849891868591,0.04569252,0.02745374,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2036,2.0181103759765624,0.24525873337638399,22.405938836044307,404.7016818495704,2.455148298719406,23.579144535820003,0.0460102426,0.0275452656,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2037,2.0552327148437497,0.287076584792768,22.404744655273433,460.29396144906354,2.447164591766357,23.1997901529541,0.0463279652,0.0276367912,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2038,2.0923550537109374,0.328894436209152,22.40355047450256,515.8862410485567,2.4391808848133087,22.820435770088196,0.0466456878,0.0277283168,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2039,2.1294773925781247,0.370712287625536,22.402356293731685,571.4785206480499,2.43119717786026,22.441081387222294,0.0469634104,0.0278198424,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2040,2.166599731445312,0.41253013904192,22.40116211296081,627.070800247543,2.423213470907211,22.06172700435639,0.047281133,0.027911368,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2041,2.3262596557617186,0.394842788883712,22.397978476043697,652.5712474842474,2.416247310768127,22.053022499862674,0.0554812904,0.0314911964,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2042,2.485919580078125,0.377155438725504,22.394794839126583,678.0716947209517,2.4092811506290435,22.04431799536896,0.0636814478,0.0350710248,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2043,2.645579504394531,0.359468088567296,22.391611202209468,703.5721419576558,2.4023149904899594,22.03561349087525,0.0718816052,0.0386508532,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2044,2.8052394287109377,0.341780738409088,22.388427565292353,729.0725891943601,2.395348830350876,22.026908986381535,0.0800817626,0.0422306816,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2045,2.964899353027344,0.32409338825088,22.38524392837524,754.5730364310645,2.388382670211792,22.01820448188782,0.08828192,0.04581051,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2046,3.084557275390625,0.283396462042168,22.375178750816342,780.0734984192779,2.3846298853025436,21.899849166526796,0.081339562,0.042509175999999996,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2047,3.2042151977539066,0.242699535833456,22.365113573257442,805.5739604074915,2.3808771003932954,21.781493851165774,0.074397204,0.039207842,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2048,3.3238731201171876,0.20200260962474403,22.355048395698546,831.074422395705,2.3771243154840467,21.663138535804748,0.067454846,0.035906508000000004,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2049,3.443531042480469,0.161305683416032,22.344983218139646,856.5748843839186,2.3733715305747984,21.544783220443726,0.060512488,0.032605174,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2050,3.56318896484375,0.12060875720732,22.33491804058075,882.0753463721321,2.36961874566555,21.4264279050827,0.05357013,0.02930384,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2051,3.4544107223510743,0.118650150371276,22.325652997943877,893.5424173343272,2.367178276050091,21.703228950622556,0.0505671224,0.027633473300000003,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2052,3.3456324798583985,0.116691543535232,22.316387955307007,905.0094882965222,2.3647378064346314,21.98002999616241,0.0475641148,0.0259631066,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2053,3.2368542373657228,0.114732936699188,22.30712291267014,916.4765592587173,2.362297336819172,22.25683104170227,0.044561107200000005,0.0242927399,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2054,3.128075994873047,0.11277432986314401,22.297857870033265,927.9436302209124,2.3598568672037126,22.533632087242125,0.0415580996,0.0226223732,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2055,3.0192977523803712,0.1108157230271,22.288592827396393,939.4107011831074,2.357416397588253,22.81043313278198,0.038555092,0.020952006500000002,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2056,2.9105195098876955,0.108857116191056,22.279327784759523,950.8777721453025,2.3549759279727938,23.087234178321836,0.0355520844,0.0192816398,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2057,2.8017412673950197,0.106898509355012,22.270062742122654,962.3448431074976,2.3525354583573344,23.36403522386169,0.03254907680000001,0.017611273099999998,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2058,2.6929630249023435,0.104939902518968,22.26079769948578,973.8119140696926,2.350094988741875,23.64083626940155,0.0295460692,0.0159409064,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2059,2.5841847824096678,0.102981295682924,22.25153265684891,985.2789850318877,2.3476545191264155,23.917637314941405,0.0265430616,0.0142705397,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2060,2.475406539916992,0.10102268884688,22.24226761421204,996.7460559940828,2.345214049510956,24.19443836048126,0.023540054,0.012600173,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2061,2.4851997726440427,0.10607288525499199,22.236689065929415,1006.0959682217832,2.3421675363235477,24.237258995384217,0.0227593159,0.0121277766,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2062,2.494993005371094,0.111123081663104,22.23111051764679,1015.4458804494836,2.3391210231361392,24.28007963028717,0.0219785778,0.011655380199999999,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2063,2.5047862380981445,0.116173278071216,22.22553196936417,1024.7957926771842,2.336074509948731,24.32290026519012,0.021197839700000002,0.011182983799999999,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2064,2.514579470825195,0.12122347447932799,22.219953421081545,1034.1457049048845,2.3330279967613223,24.365720900093077,0.0204171016,0.010710587399999999,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2065,2.5243727035522463,0.12627367088744,22.21437487279892,1043.4956171325848,2.3299814835739134,24.408541534996033,0.0196363635,0.010238191,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2066,2.534165936279297,0.13132386729555198,22.208796324516296,1052.8455293602854,2.326934970386505,24.451362169898985,0.0188556254,0.0097657946,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2067,2.5439591690063477,0.136374063703664,22.20321777623367,1062.195441587986,2.3238884571990965,24.494182804801937,0.018074887300000002,0.0092933982,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2068,2.5537524017333983,0.141424260111776,22.19763922795105,1071.5453538156862,2.320841944011688,24.537003439704893,0.017294149199999997,0.0088210018,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2069,2.5635456344604495,0.146474456519888,22.192060679668426,1080.8952660433865,2.3177954308242796,24.57982407460785,0.0165134111,0.0083486054,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2070,2.5733388671875,0.151524652928,22.1864821313858,1090.245178271087,2.314748917636871,24.6226447095108,0.015732673,0.007876209,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2071,2.5953551513671878,0.1440438853148,22.17564956802368,1095.0083447223612,2.3102215896573064,24.46766637151718,0.0156622402,0.007825284200000001,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2072,2.6173714355468753,0.13656311770159998,22.164817004661558,1099.7715111736352,2.305694261677742,24.312688033523557,0.0155918074,0.0077743594,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2073,2.6393877197265625,0.1290823500884,22.15398444129944,1104.5346776249094,2.3011669336981773,24.157709695529935,0.015521374599999999,0.007723434600000001,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2074,2.66140400390625,0.12160158247519999,22.143151877937317,1109.2978440761833,2.296639605718613,24.002731357536312,0.0154509418,0.0076725098,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2075,2.6834202880859377,0.11412081486199999,22.132319314575195,1114.0610105274575,2.292112277739048,23.847753019542694,0.015380509,0.007621585,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2076,2.7054365722656253,0.1066400472488,22.121486751213073,1118.8241769787317,2.2875849497594833,23.69277468154907,0.0153100762,0.0075706602,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2077,2.727452856445313,0.0991592796356,22.11065418785095,1123.5873434300056,2.283057621779919,23.53779634355545,0.015239643399999999,0.0075197354,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2078,2.749469140625,0.09167851202239999,22.099821624488833,1128.3505098812798,2.278530293800354,23.382818005561827,0.0151692106,0.0074688106,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2079,2.7714854248046876,0.0841977444092,22.08898906112671,1133.1136763325537,2.27400296582079,23.227839667568205,0.015098777800000001,0.0074178858,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2080,2.793501708984375,0.076716976796,22.07815649776459,1137.876842783828,2.269475637841225,23.072861329574582,0.015028345,0.007366961,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2081,2.6918631134033206,0.07547875167043999,22.058059736904145,1142.2872416429525,2.2639417102329733,23.097459932205197,0.0143939263,0.00706150118125,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2082,2.5902245178222656,0.07424052654487999,22.0379629760437,1146.697640502077,2.258407782624722,23.122058534835812,0.0137595076,0.0067560413625,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2083,2.488585922241211,0.07300230141932,22.01786621518326,1151.1080393612017,2.25287385501647,23.146657137466427,0.0131250889,0.00645058154375,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2084,2.3869473266601564,0.07176407629376,21.997769454322817,1155.5184382203263,2.247339927408219,23.171255740097042,0.0124906702,0.006145121725,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2085,2.285308731079102,0.0705258511682,21.977672693462374,1159.9288370794511,2.241805999799967,23.195854342727657,0.011856251500000001,0.00583966190625,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2086,2.183670135498047,0.06928762604264,21.95757593260193,1164.3392359385757,2.2362720721917153,23.22045294535827,0.011221832800000001,0.0055342020875,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2087,2.082031539916992,0.06804940091708,21.937479171741487,1168.7496347977003,2.230738144583464,23.245051547988886,0.010587414100000001,0.0052287422687499995,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2088,1.9803929443359374,0.06681117579151999,21.917382410881046,1173.160033656825,2.225204216975212,23.2696501506195,0.009952995400000001,0.00492328245,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2089,1.8787543487548826,0.06557295066596,21.897285650020603,1177.5704325159495,2.219670289366961,23.294248753250116,0.009318576700000001,0.004617822631249999,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2090,1.777115753173828,0.0643347255404,21.87718888916016,1181.980831375074,2.214136361758709,23.31884735588073,0.008684158,0.0043123628125,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2091,1.7498286209106444,0.060157363781819996,21.850254323577882,1184.6271119947746,2.207319104467869,23.218453981403346,0.00851815624492187,0.004221086813281249,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2092,1.7225414886474608,0.055980002023239994,21.82331975799561,1187.2733926144754,2.200501847177029,23.118060606925958,0.00835215448984374,0.0041298108140625,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2093,1.6952543563842772,0.05180264026466,21.796385192413332,1189.919673234176,2.1936845898861885,23.017667232448574,0.008186152734765612,0.00403853481484375,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2094,1.6679672241210937,0.04762527850608,21.769450626831055,1192.5659538538764,2.1868673325953485,22.917273857971185,0.00802015097968748,0.003947258815625,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2095,1.6406800918579099,0.043447916747499996,21.74251606124878,1195.2122344735772,2.1800500753045085,22.8168804834938,0.00785414922460935,0.00385598281640625,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2096,1.6133929595947263,0.03927055498892,21.715581495666505,1197.8585150932777,2.1732328180136684,22.716487109016416,0.0076881474695312205,0.0037647068171875,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2097,1.5861058273315427,0.035093193230340006,21.68864693008423,1200.5047957129782,2.1664155607228284,22.616093734539028,0.0075221457144530905,0.00367343081796875,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2098,1.5588186950683591,0.030915831471759997,21.661712364501952,1203.1510763326787,2.159598303431988,22.515700360061643,0.0073561439593749604,0.00358215481875,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2099,1.5315315628051756,0.026738469713180002,21.63477779891968,1205.7973569523795,2.152781046141148,22.415306985584255,0.00719014220429683,0.00349087881953125,Immediate action
IMAGE 3.0,CO_2Deg2020,CAN,C3,P2a,2100,1.504244430541992,0.0225611079546,21.6078432333374,1208.44363757208,2.145963788850308,22.31491361110687,0.0070241404492187,0.0033996028203125,Immediate action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2010,10.91684454345703,0.27215432205104,22.38474529663085,0,1.942721172912121,23.37870851936341,0.7951390079999999,0.299988,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2011,11.024307250976563,0.25048821262944,22.421595450248713,0,1.9756500685329441,23.735256838462835,0.7455304095999999,0.2808138242,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2012,11.131769958496093,0.22882210320784002,22.458445603866576,0,2.008578964153767,24.09180515756226,0.6959218112,0.2616396484,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2013,11.239232666015626,0.20715599378624,22.495295757484435,0,2.04150785977459,24.44835347666168,0.6463132128,0.2424654726,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2014,11.346695373535157,0.18548988436464,22.532145911102297,0,2.0744367553954133,24.804901795761104,0.5967046144,0.22329129679999998,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2015,11.45415808105469,0.16382377494304,22.56899606472016,0,2.107365651016236,25.16145011486053,0.547096016,0.204117121,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2016,11.244982812500002,0.13338620667151202,22.557417666587835,0,2.135385268854142,25.14050927187347,0.4717031888,0.17644343040000002,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2017,11.035807543945314,0.102948638399984,22.54583926845551,0,2.1634048866920472,25.11956842888641,0.3963103616,0.14876973980000002,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2018,10.826632275390626,0.072511070128456,22.53426087032318,0,2.191424504529953,25.098627585899347,0.32091753440000004,0.12109604920000001,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2019,10.617457006835938,0.042073501856927986,22.522682472190855,0,2.2194441223678583,25.077686742912288,0.24552470719999997,0.0934223586,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2020,10.40828173828125,0.0116359335854,22.51110407405853,0,2.247463740205764,25.05674589992523,0.17013188,0.065748668,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2021,8.968123388671875,0.01248600661496,22.49656853614044,4.141027541552805,2.2649910685901635,24.964513394569394,0.14513905440000002,0.0579076964,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2022,7.5279650390625,0.01333607964452,22.48203299822235,8.28205508310561,2.282518396974563,24.872280889213556,0.1201462288,0.0500667248,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2023,6.087806689453125,0.01418615267408,22.46749746030426,12.423082624658415,2.300045725358963,24.78004838385772,0.09515340320000001,0.0422257532,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2024,4.64764833984375,0.01503622570364,22.45296192238617,16.56411016621122,2.3175730537433625,24.687815878501883,0.0701605776,0.0343847816,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2025,3.207489990234375,0.0158862987332,22.43842638446808,20.705137707764024,2.335100382127762,24.59558337314605,0.045167752,0.02654381,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2026,2.905418603515625,0.015395232246354501,22.433744739471436,21.63500232008582,2.358905927871704,24.499788186233513,0.0448560736,0.026425718,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2027,2.603347216796875,0.014904165759509001,22.42906309447479,22.564866932407618,2.3827114736156463,24.403992999320977,0.044544395199999996,0.026307626,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2028,2.3012758300781253,0.0144130992726635,22.424381449478147,23.494731544729415,2.406517019359588,24.30819781240844,0.0442327168,0.026189534,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2029,1.999204443359375,0.013922032785818,22.419699804481503,24.424596157051212,2.4303225651035305,24.212402625495905,0.0439210384,0.026071442,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2030,1.697133056640625,0.0134309662989725,22.41501815948486,25.35446076937301,2.4541281108474724,24.11660743858337,0.04360936,0.02595335,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2031,1.7010952392578125,0.034607683305802,22.413441130950922,90.10544906551385,2.4581755850048057,24.06658622323608,0.0426519984,0.025433056,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2032,1.7050574218749999,0.0557844003126315,22.41186410241699,154.8564373616547,2.4622230591621395,24.016565007888794,0.041694636800000004,0.024912761999999998,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2033,1.7090196044921873,0.076961117319461,22.41028707388305,219.60742565779552,2.4662705333194728,23.966543792541504,0.0407372752,0.024392468,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2034,1.7129817871093747,0.0981378343262905,22.408710045349117,284.3584139539364,2.4703180074768065,23.91652257719422,0.0397799136,0.023872174,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2035,1.716943969726562,0.11931455133312,22.40713301681518,349.1094022500772,2.47436548163414,23.86650136184693,0.038822552,0.02335188,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2036,1.7348248687744137,0.157854559324672,22.405938836044307,404.7016818495704,2.466102192284584,24.107680662651067,0.038739600400000004,0.0232428318,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2037,1.7527057678222653,0.196394567316224,22.404744655273433,460.29396144906354,2.457838902935028,24.3488599634552,0.038656648800000006,0.0231337836,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2038,1.7705866668701167,0.234934575307776,22.40355047450256,515.8862410485567,2.449575613585472,24.59003926425934,0.0385736972,0.0230247354,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2039,1.7884675659179683,0.273474583299328,22.402356293731685,571.4785206480499,2.441312324235916,24.831218565063473,0.0384907456,0.0229156872,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2040,1.80634846496582,0.31201459129088,22.40116211296081,627.070800247543,2.43304903488636,25.07239786586761,0.038407794,0.022806639,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2041,1.9099176757812497,0.315237650326272,22.397978476043697,652.5712474842474,2.4268580780820845,23.807301519279477,0.043094447200000004,0.0247613792,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2042,2.0134868865966795,0.318460709361664,22.394794839126583,678.0716947209517,2.4206671212778095,22.542205172691343,0.047781100400000005,0.026716119400000002,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2043,2.1170560974121093,0.32168376839705604,22.391611202209468,703.5721419576558,2.414476164473534,21.27710882610321,0.0524677536,0.0286708596,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2044,2.220625308227539,0.32490682743244803,22.388427565292353,729.0725891943601,2.408285207669259,20.012012479515075,0.0571544068,0.0306255998,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2045,2.324194519042969,0.32812988646784,22.38524392837524,754.5730364310645,2.4020942508649834,18.74691613292694,0.06184106,0.03258034,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2046,2.45284140625,0.29650181030054,22.375178750816342,780.0734984192779,2.398146925625802,17.86035184939575,0.058214174,0.0307140984,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2047,2.5814882934570313,0.26487373413324,22.365113573257442,805.5739604074915,2.39419960038662,16.973787565864562,0.054587288000000005,0.0288478568,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2048,2.7101351806640626,0.23324565796594,22.355048395698546,831.074422395705,2.3902522751474384,16.08722328233337,0.050960402,0.0269816152,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2049,2.8387820678710938,0.20161758179864,22.344983218139646,856.5748843839186,2.3863049499082565,15.20065899880218,0.047333516000000006,0.025115373599999997,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2050,2.967428955078125,0.16998950563134,22.33491804058075,882.0753463721321,2.382357624669075,14.31409471527099,0.04370663,0.023249132,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2051,2.8912882080078126,0.166991089510734,22.325652997943877,893.5424173343272,2.377867192269325,14.686982097953791,0.0412508573,0.0219338559,Delayed action
IMAGE 3.0,CO_2Deg2030,CAN,C3,P3b,2052,2.8151474609375,0.163992673390128,22.316387955307007,905.0094882965222,2.373376759869575,15.059869480636593,0.0387950846,0.020618579799999998,Delayed action
