model,scenario,region,category,policy_category,year,capacity_electricity_coal,investment_energy_supply_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse
IMAGE 3.0,CO_2Deg2020,IDN,C3,P2a,2010,12.08351953125,1.353876512501424,15.88336276447296,0,1.642659880867004,19.06431636669159,0.788216,0.246402,Immediate action
IMAGE 3.0,CO_2Deg2020,IDN,C3,P2a,2011,13.180173446755209,1.2914247114158965,15.910828077064512,0,1.6704112200365064,18.64096026779938,0.9150592001013707,0.2859589632,Immediate action
IMAGE 3.0,CO_2Deg2020,IDN,C3,P2a,2012,14.27682736226042,1.2289729103303693,15.938293389656064,0,1.6981625592060088,18.217604168907165,1.0419024002027413,0.3255159264,Immediate action
IMAGE 3.0,CO_2Deg2020,IDN,C3,P2a,2013,15.37348127776563,1.1665211092448418,15.965758702247616,0,1.7259138983755113,17.794248070014955,1.1687456003041117,0.3650728896,Immediate action
IMAGE 3.0,CO_2Deg2020,IDN,C3,P2a,2014,16.47013519327084,1.1040693081593145,15.993224014839168,0,1.7536652375450137,17.37089197112274,1.2955888004054823,0.40462985279999997,Immediate action
IMAGE 3.0,CO_2Deg2020,IDN,C3,P2a,2015,17.56678910877605,1.041617507073787,16.02068932743072,0,1.781416576714516,16.94753587223053,1.422432000506853,0.444186816,Immediate action
IMAGE 3.0,CO_2Deg2020,IDN,C3,P2a,2016,18.22991531621106,0.899591242847181,16.045956857223505,0,1.8515701807942393,17.112092799263003,1.4926074131223526,0.4708627968,Immediate action
IMAGE 3.0,CO_2Deg2020,IDN,C3,P2a,2017,18.893041523646065,0.7575649786205749,16.07122438701629,0,1.9217237848739623,17.27664972629547,1.5627828257378522,0.49753877760000004,Immediate action
IMAGE 3.0,CO_2Deg2020,IDN,C3,P2a,2018,19.556167731081075,0.6155387143939688,16.09649191680908,0,1.9918773889536856,17.441206653327942,1.6329582383533516,0.5242147584000001,Immediate action
IMAGE 3.0,CO_2Deg2020,IDN,C3,P2a,2019,20.21929393851608,0.47351245016736276,16.121759446601864,0,2.062030993033409,17.60576358036041,1.7031336509688513,0.5508907392000001,Immediate action
IMAGE 3.0,CO_2Deg2020,IDN,C3,P2a,2020,20.88242014595109,0.3314861859407567,16.14702697639465,0,2.132184597113132,17.77032050739288,1.773309063584351,0.5775667200000001,Immediate action
IMAGE 3.0,CO_2Deg2020,IDN,C3,P2a,2021,21.132851826257255,0.3512743490575087,16.169148689220425,34.212718101417984,2.169539166392326,20.261359621833797,1.7577712638714604,0.5772772404828904,Immediate action
IMAGE 3.0,CO_2Deg2020,IDN,C3,P2a,2022,21.383283506563423,0.3710625121742607,16.1912704020462,68.42543620283597,2.20689373567152,22.752398736274717,1.7422334641585697,0.5769877609657807,Immediate action
IMAGE 3.0,CO_2Deg2020,IDN,C3,P2a,2023,21.633715186869587,0.3908506752910127,16.21339211487198,102.63815430425394,2.244248304950714,25.243437850715633,1.7266956644456792,0.576698281448671,Immediate action
