model,scenario,region,category,policy_category,year,capacity_electricity_coal,investment_energy_supply_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse
IMAGE 3.0,CO_2Deg2020,MEX,C3,P2a,2010,10.5398701171875,1.265010297065549,17.59022465169906,0,1.911186016402245,23.43639978961945,0.330014016,0.1174248,Immediate action
IMAGE 3.0,CO_2Deg2020,MEX,C3,P2a,2011,12.067085937938687,1.109862955029943,17.670655431060787,0,1.9377582552418713,23.381803839302066,0.39640428800464456,0.1415319808,Immediate action
IMAGE 3.0,CO_2Deg2020,MEX,C3,P2a,2012,13.594301758689877,0.9547156129943373,17.751086210422514,0,1.9643304940814974,23.32720788898468,0.46279456000928915,0.1656391616,Immediate action
IMAGE 3.0,CO_2Deg2020,MEX,C3,P2a,2013,15.121517579441065,0.7995682709587313,17.831516989784237,0,1.9909027329211237,23.2726119386673,0.5291848320139336,0.1897463424,Immediate action
IMAGE 3.0,CO_2Deg2020,MEX,C3,P2a,2014,16.648733400192253,0.6444209289231254,17.911947769145964,0,2.01747497176075,23.218015988349915,0.5955751040185783,0.2138535232,Immediate action
IMAGE 3.0,CO_2Deg2020,MEX,C3,P2a,2015,18.17594922094344,0.4892735868875195,17.99237854850769,0,2.044047210600376,23.16342003803253,0.6619653760232228,0.237960704,Immediate action
IMAGE 3.0,CO_2Deg2020,MEX,C3,P2a,2016,18.27202148753767,0.4038250523805756,18.041030639404298,0,2.068572814388752,23.544176928321836,0.764205107239756,0.2762802816,Immediate action
IMAGE 3.0,CO_2Deg2020,MEX,C3,P2a,2017,18.368093754131902,0.3183765178736317,18.089682730300908,0,2.093098418177128,23.92493381861114,0.8664448384562893,0.3145998592,Immediate action
IMAGE 3.0,CO_2Deg2020,MEX,C3,P2a,2018,18.46416602072613,0.2329279833666878,18.138334821197514,0,2.1176240219655034,24.30569070890045,0.9686845696728225,0.3529194368,Immediate action
IMAGE 3.0,CO_2Deg2020,MEX,C3,P2a,2019,18.56023828732036,0.1474794488597439,18.186986912094124,0,2.1421496257538792,24.686447599189755,1.0709243008893559,0.39123901440000003,Immediate action
IMAGE 3.0,CO_2Deg2020,MEX,C3,P2a,2020,18.65631055391459,0.0620309143528,18.23563900299073,0,2.166675229542255,25.06720448947906,1.173164032105889,0.429558592,Immediate action
IMAGE 3.0,CO_2Deg2020,MEX,C3,P2a,2021,18.51655625703959,0.08399273718288,18.281887097282418,34.212718101417984,2.1921485769824978,26.86645544397735,1.1654230273069244,0.4284320768132331,Immediate action
IMAGE 3.0,CO_2Deg2020,MEX,C3,P2a,2022,18.376801960164588,0.10595456001296,18.328135191574102,68.42543620283597,2.2176219244227404,28.665706398475645,1.1576820225079598,0.4273055616264662,Immediate action
IMAGE 3.0,CO_2Deg2020,MEX,C3,P2a,2023,18.23704766328959,0.12791638284304,18.37438328586579,102.63815430425394,2.2430952718629835,30.464957352973936,1.149941017708995,0.4261790464396993,Immediate action
