model,scenario,region,category,policy_category,year,capacity_electricity_coal,investment_energy_supply_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse
IMAGE 3.0,EN_INDCi2030_1000,R10AFRICA,C4,P3b,2010,12.203581748133304,1.2944396804476663,16.026164590051682,0,2.119662145149808,19.316520945502187,0.19848,0.0638856,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10AFRICA,C4,P3b,2011,13.332277116139426,1.1942782260560079,16.049544664196144,0,2.141912058740183,19.222042681573438,0.27702633989633973,0.09132977359999998,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10AFRICA,C4,P3b,2012,14.460972484145547,1.0941167716643492,16.072924738340607,0,2.1641619723305574,19.127564417644685,0.3555726797926795,0.11877394719999995,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10AFRICA,C4,P3b,2013,15.589667852151669,0.9939553172726906,16.096304812485073,0,2.1864118859209323,19.033086153715935,0.4341190196890191,0.14621812079999993,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10AFRICA,C4,P3b,2014,16.71836322015779,0.893793862881032,16.119684886629535,0,2.2086617995113067,18.938607889787182,0.512665359585359,0.17366229439999992,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10AFRICA,C4,P3b,2015,17.84705858816391,0.7936324084893734,16.143064960773998,0,2.2309117131016816,18.844129625858432,0.5912116994816986,0.2011064679999999,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10AFRICA,C4,P3b,2016,18.279022461792007,0.7793560790446737,16.150109380632976,0,2.2497796978889903,18.802054528794397,0.7372718136707894,0.2529555335999999,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10AFRICA,C4,P3b,2017,18.7109863354201,0.765079749599974,16.157153800491955,0,2.268647682676299,18.759979431730365,0.8833319278598804,0.3048045991999999,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10AFRICA,C4,P3b,2018,19.142950209048195,0.7508034201552743,16.164198220350933,0,2.2875156674636083,18.71790433466633,1.029392042048971,0.35665366479999994,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10AFRICA,C4,P3b,2019,19.574914082676287,0.73652709071057465,16.17124264020991,0,2.306383652250917,18.675829237602297,1.175452156238062,0.40850273039999996,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10AFRICA,C4,P3b,2020,20.006877956304383,0.722250761265875,16.17828706006889,0,2.325251637038226,18.63375414053826,1.321512270427153,0.460351796,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10AFRICA,C4,P3b,2021,20.285728658178005,0.7892774261600244,16.186830114512095,0,2.3430122282090156,18.752069797386547,1.386578062088342,0.48588086075523734,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10AFRICA,C4,P3b,2022,20.564579360051628,0.8563040910541737,16.195373168955296,0,2.360772819379805,18.870385454234828,1.4516438537495309,0.5114099255104747,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10AFRICA,C4,P3b,2023,20.843430061925254,0.9233307559483231,16.2039162233985,0,2.378533410550595,18.988701111083113,1.5167096454107196,0.536938990265712,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10AFRICA,C4,P3b,2024,21.122280763798877,0.9903574208424726,16.212459277841702,0,2.3962940017213845,19.107016767931395,1.5817754370719086,0.5624680550209494,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10AFRICA,C4,P3b,2025,21.4011314656725,1.057384085736622,16.221002332284908,0,2.414054592892174,19.22533242477968,1.6468412287330976,0.5879971197761867,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10AFRICA,C4,P3b,2026,21.778225208867923,0.9820798226369994,16.233170140188687,0,2.4351880936094266,19.323977109337,1.6645118451893346,0.5984104457855568,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10AFRICA,C4,P3b,2027,22.155318952063343,0.906775559537377,16.245337948092466,0,2.4563215943266794,19.42262179389432,1.6821824616455718,0.6088237717949269,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10AFRICA,C4,P3b,2028,22.532412695258767,0.8314712964377544,16.25750575599625,0,2.477455095043932,19.52126647845164,1.6998530781018089,0.6192370978042968,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10AFRICA,C4,P3b,2029,22.909506438454187,0.756167033338132,16.269673563900028,0,2.4985885957611846,19.619911163008958,1.717523694558046,0.6296504238136669,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10AFRICA,C4,P3b,2030,23.28660018164961,0.6808627702385095,16.281841371803807,0,2.519722096478437,19.71855584756628,1.7351943110142831,0.6400637498230369,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10AFRICA,C4,P3b,2031,23.049655540792433,0.7587242274408202,16.288787612097106,66.33080302296257,2.5087760224743065,21.498299038936654,1.5876893670391392,0.5875380662151501,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10AFRICA,C4,P3b,2032,22.81271089993525,0.836585684643131,16.295733852390402,132.66160604592514,2.497829948470176,23.27804223030703,1.440184423063995,0.5350123826072632,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10AFRICA,C4,P3b,2033,22.575766259078073,0.9144471418454416,16.3026800926837,198.99240906888767,2.486883874466045,25.05778542167741,1.2926794790888512,0.4824866989993764,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10AFRICA,C4,P3b,2034,22.33882161822089,0.9923085990477525,16.309626332976997,265.3232120918503,2.4759378004619146,26.837528613047784,1.145174535113707,0.42996101539148956,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10AFRICA,C4,P3b,2035,22.101876977363712,1.0701700562500631,16.316572573270296,331.6540151148128,2.464991726457784,28.61727180441816,0.9976695911385632,0.3774353317836027,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10AFRICA,C4,P3b,2036,18.99661709574459,1.2366622195682104,16.21548915933,365.40373497122766,2.4473600593573837,29.927847916131515,0.8733994577841533,0.3314744653168621,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10AFRICA,C4,P3b,2037,15.891357214125467,1.403154382886358,16.11440574538971,399.1534548276425,2.4297283922569832,31.23842402784487,0.7491293244297433,0.28551359885012145,Delayed action
