model,scenario,region,category,policy_category,year,capacity_electricity_coal,investment_energy_supply_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse
IMAGE 3.0,CO_2Deg2020,R10CHINA+,C3,P2a,2010,326.565330078125,26.65169661949248,16.63652699874878,0,1.605285873401165,19.49077327892303,34.559660704,12.26745592,Immediate action
IMAGE 3.0,CO_2Deg2020,R10CHINA+,C3,P2a,2011,346.95968046875,25.309360817662466,16.753309299983982,0,1.6497673904285433,19.77036032369232,35.999600096,12.8295129248,Immediate action
IMAGE 3.0,CO_2Deg2020,R10CHINA+,C3,P2a,2012,367.35403085937503,23.967025015832448,16.87009160121918,0,1.6942489074559215,20.049947368461606,37.439539488,13.3915699296,Immediate action
IMAGE 3.0,CO_2Deg2020,R10CHINA+,C3,P2a,2013,387.74838124999997,22.624689214002434,16.98687390245438,0,1.7387304244832995,20.329534413230895,38.87947888,13.9536269344,Immediate action
IMAGE 3.0,CO_2Deg2020,R10CHINA+,C3,P2a,2014,408.142731640625,21.282353412172416,17.103656203689578,0,1.7832119415106777,20.609121458000182,40.319418272,14.5156839392,Immediate action
IMAGE 3.0,CO_2Deg2020,R10CHINA+,C3,P2a,2015,428.53708203125,19.9400176103424,17.22043850492478,0,1.827693458538056,20.88870850276947,41.759357664,15.077740944,Immediate action
IMAGE 3.0,CO_2Deg2020,R10CHINA+,C3,P2a,2016,436.21943828125,17.828498452813825,17.30970689810181,0,1.868871698722363,21.303530392585756,41.0126226816,14.8542462432,Immediate action
IMAGE 3.0,CO_2Deg2020,R10CHINA+,C3,P2a,2017,443.90179453125,15.716979295285249,17.398975291278838,0,1.91004993890667,21.71835228240204,40.2658876992,14.6307515424,Immediate action
IMAGE 3.0,CO_2Deg2020,R10CHINA+,C3,P2a,2018,451.58415078125,13.605460137756673,17.48824368445587,0,1.9512281790909771,22.13317417221832,39.5191527168,14.4072568416,Immediate action
IMAGE 3.0,CO_2Deg2020,R10CHINA+,C3,P2a,2019,459.26650703125,11.493940980228096,17.5775120776329,0,1.9924064192752842,22.547996062034606,38.7724177344,14.1837621408,Immediate action
IMAGE 3.0,CO_2Deg2020,R10CHINA+,C3,P2a,2020,466.94886328125,9.38242182269952,17.66678047080993,0,2.033584659459591,22.96281795185089,38.025682752,13.96026744,Immediate action
IMAGE 3.0,CO_2Deg2020,R10CHINA+,C3,P2a,2021,473.599269140625,7.7770535088015365,17.73370995055389,34.212718101417984,2.066917003095627,24.901923701278687,37.5137210176,13.8218429088,Immediate action
IMAGE 3.0,CO_2Deg2020,R10CHINA+,C3,P2a,2022,480.24967499999997,6.171685194903552,17.80063943029785,68.42543620283597,2.1002493467316627,26.841029450706483,37.0017592832,13.6834183776,Immediate action
IMAGE 3.0,CO_2Deg2020,R10CHINA+,C3,P2a,2023,486.90008085937495,4.5663168810055685,17.86756891004181,102.63815430425394,2.1335816903676985,28.780135200134275,36.4897975488,13.5449938464,Immediate action
IMAGE 3.0,CO_2Deg2020,R10CHINA+,C3,P2a,2024,493.55048671874994,2.960948567107584,17.93449838978577,136.85087240567194,2.1669140340037343,30.71924094956207,35.9778358144,13.4065693152,Immediate action
IMAGE 3.0,CO_2Deg2020,R10CHINA+,C3,P2a,2025,500.2008925781249,1.3555802532096,18.00142786952973,171.0635905070899,2.20024637763977,32.65834669898987,35.46587408,13.268144784,Immediate action
IMAGE 3.0,CO_2Deg2020,R10CHINA+,C3,P2a,2026,493.1632013671874,6.075936303771648,18.06554177019501,185.72618872068273,2.233415002092361,32.5565210259552,33.5079814976,12.5864699616,Immediate action
IMAGE 3.0,CO_2Deg2020,R10CHINA+,C3,P2a,2027,486.12551015624996,10.796292354333698,18.129655670860295,200.38878693427554,2.266583626544952,32.45469535292053,31.5500889152,11.9047951392,Immediate action
IMAGE 3.0,CO_2Deg2020,R10CHINA+,C3,P2a,2028,479.08781894531245,15.516648404895744,18.193769571525575,215.05138514786836,2.299752250997543,32.35286967988586,29.5921963328,11.2231203168,Immediate action
IMAGE 3.0,CO_2Deg2020,R10CHINA+,C3,P2a,2029,472.050127734375,20.237004455457793,18.25788347219086,229.71398336146117,2.3329208754501343,32.251044006851195,27.6343037504,10.5414454944,Immediate action
IMAGE 3.0,CO_2Deg2020,R10CHINA+,C3,P2a,2030,465.0124365234375,24.95736050601984,18.32199737285614,244.376581575054,2.366089499902725,32.14921833381653,25.676411168,9.859770672,Immediate action
IMAGE 3.0,CO_2Deg2020,R10CHINA+,C3,P2a,2031,452.277098046875,27.056062349623296,18.38451142624664,265.3231457100586,2.3753880839757917,34.2265900177002,25.7357070176,9.9181257312,Immediate action
IMAGE 3.0,CO_2Deg2020,R10CHINA+,C3,P2a,2032,439.5417595703125,29.15476419322675,18.447025479637144,286.2697098450633,2.3846866680488588,36.30396170158386,25.7950028672,9.9764807904,Immediate action
IMAGE 3.0,CO_2Deg2020,R10CHINA+,C3,P2a,2033,426.80642109375003,31.253466036830208,18.509539533027645,307.21627398006785,2.3939852521219254,38.38133338546753,25.8542987168,10.0348358496,Immediate action
IMAGE 3.0,CO_2Deg2020,R10CHINA+,C3,P2a,2034,414.0710826171875,33.35216788043366,18.57205358641815,328.16283811507253,2.4032838361949924,40.4587050693512,25.9135945664,10.0931909088,Immediate action
IMAGE 3.0,CO_2Deg2020,R10CHINA+,C3,P2a,2035,401.335744140625,35.45086972403712,18.63456763980865,349.10940225007715,2.412582420268059,42.53607675323486,25.972890416,10.151545968,Immediate action
IMAGE 3.0,CO_2Deg2020,R10CHINA+,C3,P2a,2036,354.00129804687504,32.31289210051486,18.694556419212336,404.7016818495703,2.409704723505974,39.55918903754425,22.525871791999997,8.8679955568,Immediate action
IMAGE 3.0,CO_2Deg2020,R10CHINA+,C3,P2a,2037,306.666851953125,29.174914476992598,18.75454519861602,460.29396144906354,2.406827026743889,36.582301321853635,19.078853168,7.5844451456,Immediate action
IMAGE 3.0,CO_2Deg2020,R10CHINA+,C3,P2a,2038,259.332405859375,26.036936853470337,18.81453397801971,515.8862410485567,2.403949329981804,33.605413606163026,15.631834544,6.3008947344,Immediate action
