model,scenario,region,category,policy_category,year,capacity_electricity_coal,investment_energy_supply_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse
IMAGE 3.0,EN_INDCi2030_1000,R10INDIA+,C4,P3b,2010,76.38252730944961,8.852171912795285,15.647067977306683,0,1.5061504575848588,21.70061571494297,9.018012064,2.371579152,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10INDIA+,C4,P3b,2011,84.79813647006843,8.49689468126801,15.678526878326577,0,1.5291582621991249,22.65081020752424,9.616983049653596,2.5787296767999996,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10INDIA+,C4,P3b,2012,93.21374563068724,8.141617449740735,15.70998577934647,0,1.5521660668133908,23.601004700105513,10.21595403530719,2.7858802016,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10INDIA+,C4,P3b,2013,101.62935479130607,7.78634021821346,15.741444680366364,0,1.5751738714276569,24.551199192686788,10.814925020960786,2.9930307264,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10INDIA+,C4,P3b,2014,110.04496395192488,7.431062986686184,15.772903581386256,0,1.5981816760419227,25.50139368526806,11.41389600661438,3.2001812512,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10INDIA+,C4,P3b,2015,118.4605731125437,7.075785755158909,15.80436248240615,0,1.6211894806561888,26.45158817784933,12.012866992267975,3.407331776,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10INDIA+,C4,P3b,2016,121.43710832546682,7.4300693890169756,15.837807314373107,0,1.6540720368958772,25.70628443813697,12.144972974453827,3.4901875968,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10INDIA+,C4,P3b,2017,124.41364353838993,7.784353022875042,15.871252146340064,0,1.6869545931355656,24.960980698424603,12.27707895663968,3.5730434176,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10INDIA+,C4,P3b,2018,127.39017875131306,8.138636656733107,15.904696978307019,0,1.7198371493752538,24.21567695871224,12.409184938825533,3.6558992384,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10INDIA+,C4,P3b,2019,130.36671396423617,8.492920290591174,15.938141810273976,0,1.7527197056149422,23.470373218999875,12.541290921011386,3.7387550592000003,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10INDIA+,C4,P3b,2020,133.3432491771593,8.84720392444924,15.971586642240933,0,1.7856022618546306,22.725069479287512,12.673396903197238,3.82161088,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10INDIA+,C4,P3b,2021,138.77727339953324,9.703130019100744,16.007381085162777,0.4036517611896492,1.8107917346344982,22.732595500733414,12.835710680420492,3.923824138246527,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10INDIA+,C4,P3b,2022,144.21129762190722,10.559056113752249,16.043175528084625,0.8073035223792984,1.8359812074143658,22.740121522179315,12.998024457643748,4.026037396493054,Delayed action
