model,scenario,region,category,policy_category,year,capacity_electricity_coal,investment_energy_supply_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse
IMAGE 3.0,CO_2Deg2020,R10LATIN_AM,C3,P2a,2010,10.940357604980468,1.265010297065549,34.65790542016982,0,1.9038931173618163,22.2652679137392,0.429648056,0.1392516,Immediate action
IMAGE 3.0,CO_2Deg2020,R10LATIN_AM,C3,P2a,2011,12.463662128124234,1.198968787870519,34.77095263158416,0,1.9302876024774973,22.325876734187535,0.5066263552046446,0.1637421408,Immediate action
IMAGE 3.0,CO_2Deg2020,R10LATIN_AM,C3,P2a,2012,13.986966651268,1.1329272786754891,34.8839998429985,0,1.9566820875931783,22.38648555463587,0.5836046544092891,0.1882326816,Immediate action
IMAGE 3.0,CO_2Deg2020,R10LATIN_AM,C3,P2a,2013,15.510271174411766,1.0668857694804594,34.99704705441283,0,1.983076572708859,22.447094375084205,0.6605829536139337,0.2127232224,Immediate action
IMAGE 3.0,CO_2Deg2020,R10LATIN_AM,C3,P2a,2014,17.033575697555534,1.0008442602854295,35.11009426582717,0,2.0094710578245403,22.50770319553254,0.7375612528185782,0.2372137632,Immediate action
IMAGE 3.0,CO_2Deg2020,R10LATIN_AM,C3,P2a,2015,18.5568802206993,0.9348027510903996,35.22314147724151,0,2.035865542940221,22.568312015980872,0.8145395520232228,0.261704304,Immediate action
IMAGE 3.0,CO_2Deg2020,R10LATIN_AM,C3,P2a,2016,18.795913089100168,0.8493542169406068,35.310014959053035,0,2.0641699767608386,22.826272889372355,0.9151404864397561,0.3017016616,Immediate action
IMAGE 3.0,CO_2Deg2020,R10LATIN_AM,C3,P2a,2017,19.034945957501037,0.763905682790814,35.396888440864565,0,2.092474410581456,23.084233762763837,1.0157414208562894,0.3416990192,Immediate action
IMAGE 3.0,CO_2Deg2020,R10LATIN_AM,C3,P2a,2018,19.27397882590191,0.6784571486410211,35.48376192267609,0,2.1207788444020736,23.342194636155316,1.1163423552728224,0.3816963768,Immediate action
IMAGE 3.0,CO_2Deg2020,R10LATIN_AM,C3,P2a,2019,19.51301169430278,0.5930086144912283,35.57063540448762,0,2.149083278222691,23.6001555095468,1.2169432896893557,0.4216937344,Immediate action
IMAGE 3.0,CO_2Deg2020,R10LATIN_AM,C3,P2a,2020,19.75204456270365,0.5075600803414355,35.65750888629914,0,2.1773877120433087,23.85811638293828,1.317544224105889,0.461691092,Immediate action
IMAGE 3.0,CO_2Deg2020,R10LATIN_AM,C3,P2a,2021,20.099678084026245,0.46227592480782753,35.74861165269852,34.21271810141798,2.2030974684461224,24.788165270450296,1.334114640145911,0.4725182144268396,Immediate action
IMAGE 3.0,CO_2Deg2020,R10LATIN_AM,C3,P2a,2022,20.447311605348837,0.4169917692742195,35.8397144190979,68.42543620283595,2.228807224848936,25.718214157962308,1.350685056185933,0.4833453368536792,Immediate action
IMAGE 3.0,CO_2Deg2020,R10LATIN_AM,C3,P2a,2023,20.794945126671433,0.3717076137406115,35.93081718549729,102.63815430425393,2.2545169812517494,26.648263045474323,1.3672554722259547,0.4941724592805188,Immediate action
IMAGE 3.0,CO_2Deg2020,R10LATIN_AM,C3,P2a,2024,21.142578647994025,0.32642345820700347,36.02191995189667,136.8508724056719,2.280226737654563,27.578311932986338,1.3838258882659766,0.5049995817073584,Immediate action
IMAGE 3.0,CO_2Deg2020,R10LATIN_AM,C3,P2a,2025,21.49021216931662,0.2811393026733955,36.11302271829605,171.06359050708988,2.3059364940573768,28.50836082049835,1.4003963043059986,0.515826704134198,Immediate action
IMAGE 3.0,CO_2Deg2020,R10LATIN_AM,C3,P2a,2026,21.27325303577757,0.3484336051727884,36.21838423973846,185.7261887206827,2.3333042360819656,28.45243688058798,1.3467830177450562,0.49875622489868376,Immediate action
IMAGE 3.0,CO_2Deg2020,R10LATIN_AM,C3,P2a,2027,21.056293902238522,0.41572790767218126,36.32374576118088,200.38878693427552,2.3606719781065544,28.396512940677614,1.2931697311841135,0.4816857456631695,Immediate action
IMAGE 3.0,CO_2Deg2020,R10LATIN_AM,C3,P2a,2028,20.83933476869947,0.4830222101715742,36.42910728262329,215.05138514786836,2.388039720131143,28.340589000767245,1.239556444623171,0.4646152664276553,Immediate action
IMAGE 3.0,CO_2Deg2020,R10LATIN_AM,C3,P2a,2029,20.62237563516042,0.550316512670967,36.53446880406571,229.71398336146117,2.415407462155732,28.284665060856877,1.1859431580622284,0.4475447871921411,Immediate action
IMAGE 3.0,CO_2Deg2020,R10LATIN_AM,C3,P2a,2030,20.40541650162137,0.61761081517036,36.63983032550812,244.376581575054,2.442775204180321,28.22874112094651,1.132329871501286,0.4304743079566269,Immediate action
IMAGE 3.0,CO_2Deg2020,R10LATIN_AM,C3,P2a,2031,18.77048027782834,0.6662450813140159,36.740521822608954,265.3231457100586,2.4512169834642443,27.616432111674683,0.981664809053612,0.3748401111155303,Immediate action
