model,scenario,region,category,policy_category,year,capacity_electricity_coal,investment_energy_supply_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2010,69.15233203125,2.37770971049728,21.292176087922968,0,1.8109995430207784,30.761415764289097,4.427837172,1.7136897919999998,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2011,70.6247015625,2.31805222214464,21.34184714127731,0,1.830688035593633,31.471459310483418,4.4938919664000005,1.7407072512,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2012,72.09707109374999,2.258394733792,21.39151819463165,0,1.850376528166488,32.18150285667774,4.5599467608,1.7677247104,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2013,73.569440625,2.19873724543936,21.44118924798599,0,1.8700650207393426,32.89154640287206,4.6260015552,1.7947421695999999,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2014,75.04181015625,2.13907975708672,21.49086030134033,0,1.8897535133121974,33.60158994906638,4.6920563496,1.8217596288,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2015,76.51417968749999,2.07942226873408,21.54053135469467,0,1.909442005885052,34.3116334952607,4.758111144,1.848777088,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2016,75.65989570312499,1.7165742743156713,21.557453357170637,0,1.9376825557319093,35.870704076314624,4.7830933036,1.8608161152,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2017,74.80561171875,1.3537262798972627,21.574375359646606,0,1.9659231055787665,37.42977465736855,4.8080754632,1.8728551424,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2018,73.951327734375,0.990878285478854,21.59129736212257,0,1.9941636554256235,38.98884523842247,4.8330576228,1.8848941696000001,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2019,73.09704375000001,0.6280302910604454,21.60821936459854,0,2.0224042052724807,40.547915819476394,4.8580397824,1.8969331968,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2020,72.24275976562501,0.2651822966420367,21.625141367074505,0,2.050644755119338,42.10698640053032,4.883021942,1.908972224,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2021,69.08019245642073,0.4786503969887922,21.64534180821675,21.5868351047832,2.0970834108720275,43.50435710546853,4.561288997760603,1.7918670398722976,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2022,65.91762514721644,0.6921184973355476,21.665542249358996,43.1736702095664,2.1435220666247172,44.90172781040674,4.2395560535212065,1.674761855744595,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2023,62.75505783801216,0.905586597682303,21.68574269050124,64.7605053143496,2.1899607223774074,46.29909851534495,3.91782310928181,1.5576566716168925,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2024,59.592490528807886,1.1190546980290585,21.705943131643487,86.3473404191328,2.236399378130097,47.69646922028316,3.5960901650424137,1.44055148748919,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2025,56.4299232196036,1.332522798375814,21.72614357278573,107.934175523916,2.2828380338827867,49.093839925221374,3.274357220803017,1.3234463033614876,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2026,52.22346620580936,1.2892312599016027,21.792605022709353,105.82044323164735,2.3212185166969466,48.064734093824505,3.0187859272020328,1.223649004756402,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2027,48.01700919201512,1.2459397214273913,21.859066472632975,103.70671093937868,2.3595989995111064,47.03562826242763,2.7632146336010486,1.1238517061513165,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2028,43.810552178220874,1.2026481829531797,21.925527922556597,101.59297864711003,2.3979794823252667,46.00652243103076,2.5076433400000644,1.0240544075462308,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2029,39.60409516442663,1.1593566444789682,21.99198937248022,99.47924635484137,2.4363599651394265,44.977416599633884,2.25207204639908,0.9242571089411452,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2030,35.39763815063239,1.1160651060047568,22.05845082240384,97.36551406257271,2.4747404479535864,43.948310768237015,1.996500752798096,0.8244598103360596,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2031,29.270935543766623,1.289205046850678,22.08488364540523,144.22321427302074,2.4804927750061654,42.96693671478232,1.663107315194678,0.6860364110807617,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2032,23.144232936900856,1.462344987696599,22.11131646840662,191.08091448346875,2.486245102058744,41.98556266132763,1.32971387759126,0.5476130118254638,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2033,17.017530330035093,1.6354849285425201,22.137749291408007,237.93861469391678,2.491997429111323,41.004188607872926,0.996320439987842,0.409189612570166,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2034,10.890827723169327,1.8086248693884412,22.164182114409396,284.7963149043648,2.4977497561639015,40.02281455441823,0.6629270023844238,0.27076621331486816,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2035,4.764125116303563,1.9817648102343624,22.190614937410786,331.6540151148128,2.5035020832164805,39.04144050096354,0.3295335647810058,0.1323428140595703,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2036,5.027106582167745,2.11769563783661,22.177624634734684,365.40373497122766,2.494576028251982,38.22863978640336,0.34599446995483396,0.1402567428156494,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2037,5.290088048031927,2.2536264654388574,22.164634332058583,399.15345482764246,2.4856499732874835,37.41583907184319,0.3624553751286621,0.1481706715717285,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2038,5.553069513896109,2.389557293041105,22.151644029382478,432.9031746840573,2.476723918322985,36.60303835728302,0.3789162803024902,0.1560846003278076,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2039,5.81605097976029,2.5254881206433524,22.138653726706377,466.6528945404722,2.4677978633584865,35.79023764272284,0.39537718547631834,0.1639985290838867,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2040,6.079032445624472,2.6614189482456,22.125663424030275,500.402614396887,2.458871808393988,34.97743692816267,0.4118380906501465,0.1719124578399658,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2041,7.367438829860092,2.5357374104701442,22.039651742654534,520.7519599921209,2.4508378390880363,32.919357974457,0.49110136964390866,0.20838307070772705,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2042,8.655845214095713,2.410055872694688,21.95364006127879,541.1013055873549,2.442803869782085,30.86127902075134,0.5703646486376709,0.24485368357548828,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2043,9.94425159833133,2.284374334919232,21.86762837990305,561.4506511825888,2.4347699004761334,28.803200067045672,0.6496279276314331,0.2813242964432495,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2044,11.232657982566952,2.1586927971437757,21.781616698527305,581.7999967778228,2.426735931170182,26.74512111334001,0.7288912066251952,0.31779490931101073,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2045,12.521064366802571,2.03301125936832,21.695605017151564,602.1493423730567,2.4187019618642305,24.687042159634345,0.8081544856189574,0.354265522178772,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2046,13.134743515782057,2.035001242496768,21.535967122257016,622.4986879682906,2.4120058682221917,22.470141038914324,0.8403719573290527,0.36949287407763676,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2047,13.748422664761542,2.036991225625216,21.37632922736247,642.8480335635245,2.405309774580153,20.253239918194307,0.8725894290391479,0.38472022597650146,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2048,14.362101813741027,2.038981208753664,21.216691332467924,663.1973791587584,2.3986136809381144,18.036338797474286,0.9048069007492431,0.3999475778753662,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2049,14.975780962720513,2.040971191882112,21.057053437573376,683.5467247539923,2.3919175872960756,15.819437676754267,0.9370243724593383,0.415174929774231,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2050,15.589460111699998,2.04296117501056,20.89741554267883,703.8960703492262,2.385221493654037,13.602536556034249,0.9692418441694336,0.4304022816730957,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2051,16.34608884780705,1.9776582909135039,20.892400701808924,689.7628079177234,2.3789181239006263,14.250985550245678,1.0137334605036232,0.4515598878677654,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2052,17.1027175839141,1.912355406816448,20.887385860939023,675.6295454862206,2.372614754147216,14.899434544457108,1.0582250768378128,0.47271749406243513,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2053,17.859346320021153,1.847052522719392,20.88237102006912,661.496283054718,2.3663113843938053,15.547883538668536,1.1027166931720025,0.4938751002571049,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2054,18.615975056128203,1.781749638622336,20.877356179199218,647.3630206232152,2.360008014640395,16.196332532879968,1.147208309506192,0.5150327064517746,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2055,19.372603792235253,1.71644675452528,20.872341338329313,633.2297581917124,2.3537046448869843,16.844781527091396,1.1916999258403818,0.5361903126464443,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2056,20.129232528342307,1.651143870428224,20.86732649745941,619.0964957602097,2.347401275133574,17.493230521302824,1.2361915421745713,0.5573479188411141,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2057,20.885861264449357,1.585840986331168,20.862311656589508,604.963233328707,2.3410979053801637,18.141679515514255,1.280683158508761,0.5785055250357838,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2058,21.642490000556407,1.520538102234112,20.857296815719604,590.8299708972042,2.334794535626753,18.790128509725683,1.3251747748429505,0.5996631312304536,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2059,22.39911873666346,1.455235218137056,20.852281974849703,576.6967084657015,2.3284911658733427,19.438577503937115,1.36966639117714,0.6208207374251233,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2060,23.15574747277051,1.38993233404,20.8472671339798,562.5634460341987,2.322187796119932,20.087026498148543,1.4141580075113298,0.641978343619793,Delayed action
IMAGE 3.0,EN_INDCi2030_1000,R10PAC_OECD,C4,P3b,2061,23.465304188167302,1.3727892466326141,20.84970747154236,530.7394969873601,2.3117838315040635,21.457452149130237,1.4302370895594034,0.6505816997076138,Delayed action
