model,scenario,region,category,policy_category,year,capacity_electricity_coal,investment_energy_supply_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2010,80.27544921875,0.2522784135196,17.86135460628509,0,1.94846256882906,17.65708778806686,1.061326016,0.6032641280000001,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2011,78.4953578125,0.244219506652288,17.927932085823056,0,1.9714200444488528,17.48141559882736,1.1138001888,0.6144383200000001,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2012,76.71526640625,0.236160599784976,17.994509565361017,0,1.9943775200686455,17.305743409587862,1.1662743616,0.6256125120000001,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2013,74.935175,0.22810169291766402,18.061087044898983,0,2.0173349956884383,17.13007122034836,1.2187485344,0.636786704,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2014,73.15508359374999,0.22004278605035202,18.127664524436945,0,2.040292471308231,16.95439903110886,1.2712227072,0.6479608960000001,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2015,71.3749921875,0.21198387918304,18.19424200397491,0,2.063249946928024,16.77872684186936,1.32369688,0.6591350880000001,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2016,68.801251953125,0.220656974708832,18.247397838203426,0,2.089047880392551,16.614694957160953,1.4243669375999999,0.6956926752000001,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2017,66.22751171875,0.229330070234624,18.300553672431942,0,2.1148458138570785,16.45066307245255,1.5250369952,0.7322502624000001,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2018,63.653771484375,0.238003165760416,18.353709506660458,0,2.1406437473216053,16.286631187744142,1.6257070528,0.7688078496,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2019,61.080031250000005,0.246676261286208,18.406865340888974,0,2.1664416807861326,16.122599303035738,1.7263771104,0.8053654368000001,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2020,58.506291015625,0.255349356812,18.46002117511749,0,2.19223961425066,15.95856741832733,1.827047168,0.8419230240000001,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2021,55.76414138565064,0.22162476638199996,18.50947952819061,34.212718101417984,2.2107040692338944,16.153297059295653,1.6605893906625,0.77893694391875,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2022,53.02199175567627,0.18790017595199995,18.55893788126373,68.42543620283597,2.229168524217129,16.34802670026398,1.494131613325,0.7159508638375001,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2023,50.279842125701904,0.15417558552199995,18.608396234336848,102.63815430425394,2.247632979200363,16.5427563412323,1.3276738359875,0.65296478375625,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2024,47.53769249572754,0.12045099509199991,18.657854587409968,136.85087240567194,2.2660974341835973,16.737485982200628,1.16121605865,0.5899787036749999,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2025,44.79554286575318,0.0867264046619999,18.70731294048309,171.0635905070899,2.284561889166832,16.93221562316895,0.9947582813125,0.52699262359375,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2026,41.700269970703125,0.07864378196747993,18.766568139625544,185.72618872068273,2.3062459258661265,17.326460502143863,0.94298653005,0.5026143107125001,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2027,38.604997075653074,0.07056115927295994,18.825823338768,200.38878693427554,2.3279299625654213,17.720705381118776,0.8912147787875,0.47823599783125004,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2028,35.50972418060303,0.062478536578439964,18.88507853791046,215.05138514786836,2.3496139992647165,18.114950260093693,0.839443027525,0.45385768495000006,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2029,32.41445128555298,0.05439591388391998,18.944333737052915,229.71398336146117,2.3712980359640112,18.509195139068606,0.7876712762625,0.4294793720687501,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2030,29.31917839050293,0.0463132911894,19.00358893619537,244.376581575054,2.392982072663306,18.90344001804352,0.735899525,0.4051010591875001,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2031,26.78727459182739,0.043407276719719425,19.05855505719757,265.3231457100586,2.3943691563081733,19.23069710271454,0.6724907788,0.3712795209500001,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2032,24.255370793151855,0.04050126225003884,19.11352117819977,286.2697098450633,2.3957562399530405,19.55795418738556,0.6090820325999999,0.33745798271250005,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2033,21.723466994476315,0.03759524778035826,19.168487299201963,307.2162739800679,2.3971433235979074,19.88521127205658,0.5456732864,0.30363644447500004,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2034,19.191563195800775,0.03468923331067768,19.223453420204162,328.1628381150726,2.3985304072427747,20.212468356727598,0.4822645402,0.26981490623750004,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2035,16.65965939712524,0.0317832188409971,19.27841954120636,349.1094022500772,2.399917490887642,20.53972544139862,0.418855794,0.235993368,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2036,15.118678089904781,0.02542660018745712,19.321604008255008,404.7016818495704,2.390879473593712,21.019778082473753,0.3771467686,0.2126067294,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2037,13.577696782684324,0.01906998153391714,19.36478847530365,460.29396144906354,2.381841456299782,21.499830723548886,0.33543774319999997,0.18922009080000002,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2038,12.036715475463865,0.012713362880377162,19.4079729423523,515.8862410485567,2.372803439005852,21.979883364624023,0.2937287178,0.1658334522,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2039,10.495734168243407,0.006356744226837182,19.451157409400942,571.4785206480499,2.363765421711922,22.459936005699156,0.2520196924,0.1424468136,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2040,8.95475286102295,1.255732972080994e-7,19.49434187644959,627.070800247543,2.354727404417992,22.93998864677429,0.210310667,0.119060175,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2041,8.16221767807007,0.026432994380654766,19.525843570755008,652.5712474842474,2.345346630620957,22.4630820339508,0.1911552634,0.10740195400000001,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2042,7.369682495117188,0.05286586318801232,19.557345265060427,678.0716947209517,2.3359658568239214,21.986175421127314,0.1719998598,0.095743733,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2043,6.577147312164307,0.07929873199536987,19.588846959365842,703.5721419576558,2.3265850830268864,21.509268808303826,0.1528444562,0.084085512,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2044,5.7846121292114265,0.10573160080272744,19.62034865367126,729.0725891943601,2.317204309229851,21.03236219548034,0.1336890526,0.072427291,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2045,4.992076946258545,0.132164469610085,19.65185034797668,754.5730364310645,2.307823535432816,20.55545558265685,0.114533649,0.06076907,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2046,4.341583229827881,0.2316178186165021,19.675057429985042,780.0734984192779,2.299119559150696,20.407461680923454,0.1016151566,0.0540883874,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2047,3.691089513397217,0.3310711676229192,19.698264511993404,805.5739604074915,2.2904155828685764,20.259467779190057,0.0886966642,0.0474077048,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2048,3.040595796966553,0.4305245166293363,19.721471594001766,831.074422395705,2.281711606586456,20.111473877456664,0.0757781718,0.040727022200000004,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2049,2.390102080535889,0.5299778656357534,19.74467867601013,856.5748843839186,2.2730076303043365,19.963479975723267,0.0628596794,0.0340463396,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2050,1.739608364105225,0.6294312146421704,19.76788575801849,882.0753463721321,2.264303654022217,19.81548607398987,0.049941187,0.027365657,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2051,2.1844990730658176,0.7820106969082283,19.801440293861386,893.5424173343272,2.2561830346240996,18.717964063162807,0.06612408886920167,0.03637690992700195,Immediate action
IMAGE 3.0,CO_2Deg2020,R10REF_ECON,C3,P2a,2052,2.6293897820264105,0.9345901791742862,19.834994829704282,905.0094882965222,2.2480624152259825,17.62044205233574,0.08230699073840334,0.045388162854003905,Immediate action
