model,scenario,region,category,policy_category,year,capacity_electricity_coal,investment_energy_supply_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse
IMAGE 3.0,EN_NoPolicy,R6LAM,C7,P1a,2010,26.834082977294923,1.7813340702134417,17.239714306847333,0,1.803216677696191,20.56218587868839,0.712830048,0.2361096,Baseline
IMAGE 3.0,EN_NoPolicy,R6LAM,C7,P1a,2011,28.94846220749781,1.7417763504762125,17.3017094137829,0,1.8290783969153162,20.607342291081572,0.8732594176046448,0.2920047936,Baseline
IMAGE 3.0,EN_NoPolicy,R6LAM,C7,P1a,2012,31.062841437700694,1.7022186307389835,17.363704520718464,0,1.8549401161344412,20.652498703474752,1.0336887872092895,0.3478999872,Baseline
IMAGE 3.0,EN_NoPolicy,R6LAM,C7,P1a,2013,33.177220667903576,1.6626609110017543,17.42569962765403,0,1.8808018353535663,20.697655115867935,1.194118156813934,0.4037951808,Baseline
IMAGE 3.0,EN_NoPolicy,R6LAM,C7,P1a,2014,35.29159989810646,1.623103191264525,17.487694734589596,0,1.9066635545726913,20.742811528261115,1.354547526418579,0.4596903744,Baseline
IMAGE 3.0,EN_NoPolicy,R6LAM,C7,P1a,2015,37.40597912830935,1.583545471527296,17.54968984152516,0,1.9325252737918164,20.787967940654298,1.5149768960232235,0.515585568,Baseline
IMAGE 3.0,EN_NoPolicy,R6LAM,C7,P1a,2016,37.72774465698425,1.733583240430805,17.5835186299985,0,1.9640790516168123,20.918091880369204,1.7224742472459766,0.5952899864000001,Baseline
IMAGE 3.0,EN_NoPolicy,R6LAM,C7,P1a,2017,38.04951018565915,1.8836210093343138,17.617347418471844,0,1.9956328294418082,21.04821582008411,1.92997159846873,0.6749944048000001,Baseline
IMAGE 3.0,EN_NoPolicy,R6LAM,C7,P1a,2018,38.371275714334054,2.0336587782378226,17.651176206945184,0,2.0271866072668043,21.17833975979902,2.137468949691483,0.7546988232000001,Baseline
IMAGE 3.0,EN_NoPolicy,R6LAM,C7,P1a,2019,38.693041243008956,2.1836965471413317,17.685004995418527,0,2.0587403850918,21.308463699513926,2.3449663009142365,0.8344032416000002,Baseline
