model,scenario,region,category,policy_category,year,capacity_electricity_coal,investment_energy_supply_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse
IMAGE 3.0,EN_NoPolicy,R6MIDDLE_EAST,C7,P1a,2010,6.300156195103249,0.8166551556669605,17.50033148984909,0,2.173718138825893,19.53923774906159,0.313596,0.1245456,Baseline
IMAGE 3.0,EN_NoPolicy,R6MIDDLE_EAST,C7,P1a,2011,7.2254176128507135,0.7082027454601165,17.514417414058684,0,2.1915742525167463,19.3502153287201,0.35063656022989614,0.13862857920000002,Baseline
IMAGE 3.0,EN_NoPolicy,R6MIDDLE_EAST,C7,P1a,2012,8.150679030598178,0.5997503352532727,17.528503338268276,0,2.2094303662075996,19.161192908378606,0.3876771204597923,0.1527115584,Baseline
IMAGE 3.0,EN_NoPolicy,R6MIDDLE_EAST,C7,P1a,2013,9.075940448345643,0.49129792504642883,17.542589262477872,0,2.2272864798984524,18.972170488037115,0.42471768068968846,0.16679453760000001,Baseline
IMAGE 3.0,EN_NoPolicy,R6MIDDLE_EAST,C7,P1a,2014,10.001201866093107,0.3828455148395849,17.556675186687464,0,2.2451425935893057,18.78314806769562,0.4617582409195846,0.18087751680000003,Baseline
IMAGE 3.0,EN_NoPolicy,R6MIDDLE_EAST,C7,P1a,2015,10.92646328384057,0.274393104632741,17.57076111089706,0,2.262998707280159,18.59412564735413,0.4987988011494808,0.194960496,Baseline
IMAGE 3.0,EN_NoPolicy,R6MIDDLE_EAST,C7,P1a,2016,10.948037379627678,0.2195144837061928,17.572688660644527,0,2.29222069316864,19.402383618553163,0.5393015907504967,0.2107913984,Baseline
IMAGE 3.0,EN_NoPolicy,R6MIDDLE_EAST,C7,P1a,2017,10.969611475414787,0.1646358627796446,17.574616210391994,0,2.3214426790571214,20.210641589752196,0.5798043803515125,0.2266223008,Baseline
IMAGE 3.0,EN_NoPolicy,R6MIDDLE_EAST,C7,P1a,2018,10.991185571201894,0.1097572418530964,17.576543760139465,0,2.3506646649456027,21.018899560951233,0.6203071699525283,0.2424532032,Baseline
IMAGE 3.0,EN_NoPolicy,R6MIDDLE_EAST,C7,P1a,2019,11.012759666989004,0.05487862092654819,17.578471309886933,0,2.379886650834084,21.827157532150267,0.6608099595535443,0.2582841056,Baseline
IMAGE 3.0,EN_NoPolicy,R6MIDDLE_EAST,C7,P1a,2020,11.034333762776111,0,17.5803988596344,0,2.409108636722565,22.6354155033493,0.7013127491545601,0.274115008,Baseline
IMAGE 3.0,EN_NoPolicy,R6MIDDLE_EAST,C7,P1a,2021,10.12156071590111,0,17.604184227695463,0,2.4308433817348485,21.576595503166196,0.6494448730179718,0.25386099229201586,Baseline
IMAGE 3.0,EN_NoPolicy,R6MIDDLE_EAST,C7,P1a,2022,9.208787669026108,0,17.62796959575653,0,2.4525781267471314,20.517775502983092,0.5975769968813835,0.23360697658403168,Baseline
IMAGE 3.0,EN_NoPolicy,R6MIDDLE_EAST,C7,P1a,2023,8.296014622151109,0,17.65175496381759,0,2.4743128717594147,19.458955502799988,0.5457091207447953,0.21335296087604752,Baseline
IMAGE 3.0,EN_NoPolicy,R6MIDDLE_EAST,C7,P1a,2024,7.383241575276108,0,17.675540331878658,0,2.4960476167716976,18.400135502616884,0.493841244608207,0.19309894516806336,Baseline
IMAGE 3.0,EN_NoPolicy,R6MIDDLE_EAST,C7,P1a,2025,6.470468528401106,0,17.69932569993972,0,2.517782361783981,17.34131550243378,0.4419733684716187,0.1728449294600792,Baseline
IMAGE 3.0,EN_NoPolicy,R6MIDDLE_EAST,C7,P1a,2026,5.176375559651106,0,17.743437917831415,0,2.546270556126594,17.20939909390259,0.353578704088073,0.13827594908497734,Baseline
IMAGE 3.0,EN_NoPolicy,R6MIDDLE_EAST,C7,P1a,2027,3.8822825909011063,0,17.78755013572311,0,2.574758750469207,17.0774826853714,0.2651840397045273,0.10370696870987549,Baseline
IMAGE 3.0,EN_NoPolicy,R6MIDDLE_EAST,C7,P1a,2028,2.588189622151107,0,17.831662353614803,0,2.6032469448118203,16.94556627684021,0.17678937532098166,0.06913798833477365,Baseline
IMAGE 3.0,EN_NoPolicy,R6MIDDLE_EAST,C7,P1a,2029,1.2940966534011062,0,17.875774571506497,0,2.6317351391544332,16.81364986830902,0.0883947109374359,0.03456900795967177,Baseline
IMAGE 3.0,EN_NoPolicy,R6MIDDLE_EAST,C7,P1a,2030,3.684651106595993e-6,0,17.91988678939819,0,2.660223333497046,16.68173345977783,4.6553890228271494e-8,2.7584569931030293e-8,Baseline
IMAGE 3.0,EN_NoPolicy,R6MIDDLE_EAST,C7,P1a,2031,3.684651106595993e-6,0.0030243451015600003,17.965372991287232,0,2.6701790127925866,16.790504692699432,4.119604034423829e-8,2.4409949874877946e-8,Baseline
IMAGE 3.0,EN_NoPolicy,R6MIDDLE_EAST,C7,P1a,2032,3.684651106595993e-6,0.006048690203120001,18.01085919317627,0,2.6801346920881266,16.89927592562103,3.583819046020509e-8,2.12353298187256e-8,Baseline
IMAGE 3.0,EN_NoPolicy,R6MIDDLE_EAST,C7,P1a,2033,3.684651106595993e-6,0.00907303530468,18.05634539506531,0,2.690090371383667,17.00804715854263,3.048034057617189e-8,1.8060709762573253e-8,Baseline
IMAGE 3.0,EN_NoPolicy,R6MIDDLE_EAST,C7,P1a,2034,3.684651106595993e-6,0.012097380406240001,18.101831596954348,0,2.700046050679207,17.11681839146423,2.5122490692138685e-8,1.4886089706420906e-8,Baseline
IMAGE 3.0,EN_NoPolicy,R6MIDDLE_EAST,C7,P1a,2035,3.684651106595993e-6,0.0151217255078,18.14731779884339,0,2.7100017299747474,17.22558962438583,1.9764640808105483e-8,1.171146965026856e-8,Baseline
IMAGE 3.0,EN_NoPolicy,R6MIDDLE_EAST,C7,P1a,2036,3.684651106595993e-6,0.028504739653023983,18.19377210694123,0,2.7076695173254017,17.147068646862024,1.6170593237876904e-8,9.581835722923284e-9,Baseline
IMAGE 3.0,EN_NoPolicy,R6MIDDLE_EAST,C7,P1a,2037,3.684651106595993e-6,0.04188775379824797,18.240226415039064,0,2.705337304676056,17.068547669338223,1.2576545667648324e-8,7.452201795578006e-9,Baseline
IMAGE 3.0,EN_NoPolicy,R6MIDDLE_EAST,C7,P1a,2038,3.684651106595993e-6,0.055270767943471945,18.286680723136904,0,2.7030050920267104,16.990026691814418,8.982498097419745e-9,5.3225678682327294e-9,Baseline
IMAGE 3.0,EN_NoPolicy,R6MIDDLE_EAST,C7,P1a,2039,3.684651106595993e-6,0.06865378208869594,18.33313503123474,0,2.7006728793773647,16.911505714290616,5.388450527191165e-9,3.1929339408874513e-9,Baseline
IMAGE 3.0,EN_NoPolicy,R6MIDDLE_EAST,C7,P1a,2040,3.684651106595993e-6,0.0820367962339199,18.37958933933258,0,2.698340666728019,16.83298473676681,1.794402956962585e-9,1.063300013542175e-9,Baseline
IMAGE 3.0,EN_NoPolicy,R6MIDDLE_EAST,C7,P1a,2041,0.03334125195797532,0.11094272032249593,18.426109990806577,0,2.697037938474655,16.79310835328674,0.0020552875136694054,9.079154969502911e-4,Baseline
IMAGE 3.0,EN_NoPolicy,R6MIDDLE_EAST,C7,P1a,2042,0.06667881926484404,0.13984864441107195,18.472630642280574,0,2.69573521022129,16.75323196980667,0.004110573232935854,0.0018158299306005685,Baseline
IMAGE 3.0,EN_NoPolicy,R6MIDDLE_EAST,C7,P1a,2043,0.10001638657171275,0.16875456849964796,18.519151293754575,0,2.694432481967926,16.7133555863266,0.006165858952202303,0.002723744364250846,Baseline
IMAGE 3.0,EN_NoPolicy,R6MIDDLE_EAST,C7,P1a,2044,0.13335395387858148,0.197660492588224,18.565671945228573,0,2.6931297537145613,16.67347920284653,0.008221144671468752,0.0036316587979011235,Baseline
IMAGE 3.0,EN_NoPolicy,R6MIDDLE_EAST,C7,P1a,2045,0.1666915211854502,0.2265664166768,18.61219259670257,0,2.691827025461197,16.63360281936646,0.0102764303907352,0.0045395732315514,Baseline
