model,scenario,region,category,policy_category,year,capacity_electricity_coal,investment_energy_supply_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse
IMAGE 3.0,EN_NoPolicy,R6REF,C7,P1a,2010,101.55316979980468,2.54623960584084,17.540429001341224,0,1.951925942681725,18.10863384690212,2.1198326,1.043676192,Baseline
IMAGE 3.0,EN_NoPolicy,R6REF,C7,P1a,2011,101.5782022491455,2.566569999268768,17.57147729598585,0,1.9751952194629738,17.920807584614323,2.2283919412,1.0963423922,Baseline
IMAGE 3.0,EN_NoPolicy,R6REF,C7,P1a,2012,101.60323469848633,2.586900392696696,17.602525590630478,0,1.9984644962442226,17.732981322326527,2.3369512824,1.1490085924,Baseline
IMAGE 3.0,EN_NoPolicy,R6REF,C7,P1a,2013,101.62826714782715,2.607230786124624,17.6335738852751,0,2.0217337730254714,17.545155060038727,2.4455106236,1.2016747926,Baseline
IMAGE 3.0,EN_NoPolicy,R6REF,C7,P1a,2014,101.65329959716797,2.627561179552552,17.66462217991973,0,2.04500304980672,17.35732879775093,2.5540699648,1.2543409928,Baseline
IMAGE 3.0,EN_NoPolicy,R6REF,C7,P1a,2015,101.6783320465088,2.64789157298048,17.695670474564356,0,2.068272326587969,17.169502535463135,2.662629306,1.307007193,Baseline
IMAGE 3.0,EN_NoPolicy,R6REF,C7,P1a,2016,99.63281954345705,3.000101763246848,17.716310839340256,0,2.0936030034167388,17.037904333167464,2.8053860328,1.3538971866,Baseline
IMAGE 3.0,EN_NoPolicy,R6REF,C7,P1a,2017,97.58730704040528,3.352311953513216,17.736951204116156,0,2.1189336802455085,16.906306130871798,2.9481427596,1.4007871802,Baseline
IMAGE 3.0,EN_NoPolicy,R6REF,C7,P1a,2018,95.54179453735352,3.704522143779584,17.757591568892057,0,2.144264357074278,16.774707928576127,3.0908994864,1.4476771738000003,Baseline
IMAGE 3.0,EN_NoPolicy,R6REF,C7,P1a,2019,93.49628203430176,4.056732334045952,17.778231933667957,0,2.1695950339030476,16.64310972628046,3.2336562132,1.4945671674000003,Baseline
IMAGE 3.0,EN_NoPolicy,R6REF,C7,P1a,2020,91.45076953125,4.40894252431232,17.798872298443857,0,2.1949257107318174,16.51151152398479,3.3764129400000003,1.5414571610000003,Baseline
IMAGE 3.0,EN_NoPolicy,R6REF,C7,P1a,2021,91.27302988281251,4.780741146856288,17.796555222090976,0,2.2166792274626337,16.46984107329281,3.4532116576000003,1.5689804936000002,Baseline
IMAGE 3.0,EN_NoPolicy,R6REF,C7,P1a,2022,91.095290234375,5.152539769400256,17.794238145738095,0,2.23843274419345,16.428170622600827,3.5300103752000003,1.5965038262000002,Baseline
IMAGE 3.0,EN_NoPolicy,R6REF,C7,P1a,2023,90.9175505859375,5.524338391944224,17.791921069385214,0,2.2601862609242667,16.38650017190885,3.6068090928,1.6240271588000001,Baseline
IMAGE 3.0,EN_NoPolicy,R6REF,C7,P1a,2024,90.7398109375,5.896137014488192,17.789603993032333,0,2.281939777655083,16.34482972121687,3.6836078104,1.6515504914,Baseline
IMAGE 3.0,EN_NoPolicy,R6REF,C7,P1a,2025,90.5620712890625,6.26793563703216,17.787286916679452,0,2.303693294385899,16.303159270524887,3.760406528,1.679073824,Baseline
IMAGE 3.0,EN_NoPolicy,R6REF,C7,P1a,2026,94.29726662597656,6.161953588229552,17.84340025855942,0,2.329981476927584,16.37482694869632,3.8568335346,1.7477815784000001,Baseline
IMAGE 3.0,EN_NoPolicy,R6REF,C7,P1a,2027,98.03246196289062,6.0559715394269436,17.899513600439388,0,2.3562696594692696,16.446494626867757,3.9532605412,1.8164893328,Baseline
IMAGE 3.0,EN_NoPolicy,R6REF,C7,P1a,2028,101.7676572998047,5.949989490624336,17.955626942319356,0,2.3825578420109546,16.51816230503919,4.0496875478000005,1.8851970872000001,Baseline
IMAGE 3.0,EN_NoPolicy,R6REF,C7,P1a,2029,105.50285263671876,5.844007441821728,18.011740284199323,0,2.40884602455264,16.589829983210628,4.1461145544,1.9539048416,Baseline
IMAGE 3.0,EN_NoPolicy,R6REF,C7,P1a,2030,109.23804797363282,5.73802539301912,18.06785362607929,0,2.435134207094325,16.66149766138206,4.242541561,2.022612596,Baseline
IMAGE 3.0,EN_NoPolicy,R6REF,C7,P1a,2031,113.46695356445312,5.333019943038304,18.130454983810925,0,2.4428672836171383,16.721476349369073,4.3464030904,2.0975734568,Baseline
IMAGE 3.0,EN_NoPolicy,R6REF,C7,P1a,2032,117.69585915527344,4.928014493057487,18.193056341542555,0,2.450600360139952,16.781455037356082,4.4502646198,2.1725343176000003,Baseline
IMAGE 3.0,EN_NoPolicy,R6REF,C7,P1a,2033,121.92476474609374,4.523009043076672,18.255657699274188,0,2.4583334366627656,16.841433725343094,4.5541261492,2.2474951784,Baseline
IMAGE 3.0,EN_NoPolicy,R6REF,C7,P1a,2034,126.15367033691406,4.118003593095856,18.318259057005818,0,2.4660665131855795,16.901412413330103,4.6579876786000005,2.3224560392,Baseline
