model,scenario,region,category,policy_category,year,capacity_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse
POLES ENGAGE,EN_INDCi2030_1000,SAU,C4,P3b,2010,9.999999406318238e-8,51.10136413574219,0,2.987816333770752,4.803455352783203,4.186799795746765e-9,3.600648113000204e-10,Delayed action
POLES ENGAGE,EN_INDCi2030_1000,SAU,C4,P3b,2011,9.999999406318238e-8,50.877568054199216,0,2.981053686141968,4.6810708999633786,4.186799795746765e-9,3.600648113000204e-10,Delayed action
POLES ENGAGE,EN_INDCi2030_1000,SAU,C4,P3b,2012,9.999999406318238e-8,50.653771972656244,0,2.9742910385131838,4.558686447143555,4.186799795746765e-9,3.600648113000204e-10,Delayed action
POLES ENGAGE,EN_INDCi2030_1000,SAU,C4,P3b,2013,9.999999406318238e-8,50.42997589111328,0,2.9675283908843992,4.43630199432373,4.186799795746765e-9,3.600648113000204e-10,Delayed action
POLES ENGAGE,EN_INDCi2030_1000,SAU,C4,P3b,2014,9.999999406318238e-8,50.20617980957031,0,2.960765743255615,4.313917541503907,4.186799795746765e-9,3.600648113000204e-10,Delayed action
POLES ENGAGE,EN_INDCi2030_1000,SAU,C4,P3b,2015,9.999999406318238e-8,49.98238372802734,0,2.954003095626831,4.191533088684082,4.186799795746765e-9,3.600648113000204e-10,Delayed action
POLES ENGAGE,EN_INDCi2030_1000,SAU,C4,P3b,2016,0.005966505687069911,49.75858840942382,0,2.9351284503936768,5.215617561340332,4.2274593974801663e-4,1.7318963938700905e-4,Delayed action
POLES ENGAGE,EN_INDCi2030_1000,SAU,C4,P3b,2017,0.011932911374145759,49.53479309082031,0,2.9162538051605225,6.239702033996583,8.454876926962375e-4,3.463789187092068e-4,Delayed action
POLES ENGAGE,EN_INDCi2030_1000,SAU,C4,P3b,2018,0.017899317061221606,49.3109977722168,0,2.8973791599273686,7.263786506652831,0.0012682294456444582,5.195681980314045e-4,Delayed action
POLES ENGAGE,EN_INDCi2030_1000,SAU,C4,P3b,2019,0.023865722748297454,49.08720245361329,0,2.8785045146942143,8.287870979309083,0.0016909711985926793,6.927574773536023e-4,Delayed action
POLES ENGAGE,EN_INDCi2030_1000,SAU,C4,P3b,2020,0.0298321284353733,48.86340713500977,0,2.85962986946106,9.311955451965332,0.0021137129515409,8.659467566758e-4,Delayed action
POLES ENGAGE,EN_INDCi2030_1000,SAU,C4,P3b,2021,0.03622915670275686,48.639589691162115,0,2.980364561080933,13.125741195678712,0.00256542460992928,0.00105591733008618,Delayed action
POLES ENGAGE,EN_INDCi2030_1000,SAU,C4,P3b,2022,0.042626184970140424,48.41577224731446,0,3.101099252700806,16.939526939392092,0.0030171362683176603,0.00124588790349656,Delayed action
POLES ENGAGE,EN_INDCi2030_1000,SAU,C4,P3b,2023,0.04902321323752398,48.19195480346681,0,3.2218339443206787,20.75331268310547,0.00346884792670604,0.00143585847690694,Delayed action
POLES ENGAGE,EN_INDCi2030_1000,SAU,C4,P3b,2024,0.05542024150490754,47.96813735961915,0,3.3425686359405518,24.567098426818852,0.0039205595850944205,0.00162582905031732,Delayed action
POLES ENGAGE,EN_INDCi2030_1000,SAU,C4,P3b,2025,0.0618172697722911,47.74431991577149,0,3.463303327560425,28.38088417053223,0.0043722712434828,0.0018157996237277,Delayed action
POLES ENGAGE,EN_INDCi2030_1000,SAU,C4,P3b,2026,0.06181725785136216,47.6249740600586,0,3.497914457321167,31.001959228515627,0.00435922220349308,0.00181142748333504,Delayed action
POLES ENGAGE,EN_INDCi2030_1000,SAU,C4,P3b,2027,0.06181724593043322,47.505628204345705,0,3.5325255870819094,33.62303428649903,0.00434617316350336,0.00180705534294238,Delayed action
POLES ENGAGE,EN_INDCi2030_1000,SAU,C4,P3b,2028,0.06181723400950428,47.38628234863282,0,3.5671367168426515,36.244109344482425,0.00433312412351364,0.00180268320254972,Delayed action
POLES ENGAGE,EN_INDCi2030_1000,SAU,C4,P3b,2029,0.06181722208857534,47.266936492919925,0,3.601747846603394,38.86518440246582,0.00432007508352392,0.00179831106215706,Delayed action
POLES ENGAGE,EN_INDCi2030_1000,SAU,C4,P3b,2030,0.0618172101676464,47.14759063720703,0,3.636358976364136,41.48625946044922,0.0043070260435342,0.0017939389217644,Delayed action
POLES ENGAGE,EN_INDCi2030_1000,SAU,C4,P3b,2031,0.06845231652259826,47.02822799682617,304.9556884765625,3.7495998382568363,87.5504150390625,0.00480162808671586,0.00198268280364564,Delayed action
POLES ENGAGE,EN_INDCi2030_1000,SAU,C4,P3b,2032,0.07508742287755012,46.90886535644531,609.911376953125,3.8628407001495364,133.61457061767578,0.0052962301298975206,0.00217142668552688,Delayed action
POLES ENGAGE,EN_INDCi2030_1000,SAU,C4,P3b,2033,0.08172252923250198,46.78950271606445,914.8670654296875,3.9760815620422365,179.67872619628906,0.00579083217307918,0.00236017056740812,Delayed action
POLES ENGAGE,EN_INDCi2030_1000,SAU,C4,P3b,2034,0.08835763558745384,46.67014007568359,1219.82275390625,4.089322423934936,225.74288177490234,0.00628543421626084,0.0025489144492893603,Delayed action
POLES ENGAGE,EN_INDCi2030_1000,SAU,C4,P3b,2035,0.0949927419424057,46.55077743530273,1524.7784423828125,4.202563285827637,271.8070373535156,0.0067800362594425,0.0027376583311706,Delayed action
POLES ENGAGE,EN_INDCi2030_1000,SAU,C4,P3b,2036,0.12393965423107146,46.43141479492187,1786.32744140625,4.182059097290039,310.11334838867185,0.00893678180873388,0.00355771426111452,Delayed action
POLES ENGAGE,EN_INDCi2030_1000,SAU,C4,P3b,2037,0.15288656651973723,46.312052154541014,2047.8764404296876,4.161554908752441,348.41965942382814,0.011093527358025261,0.00437777019105844,Delayed action
POLES ENGAGE,EN_INDCi2030_1000,SAU,C4,P3b,2038,0.18183347880840298,46.19268951416015,2309.425439453125,4.141050720214844,386.72597045898436,0.01325027290731664,0.00519782612100236,Delayed action
POLES ENGAGE,EN_INDCi2030_1000,SAU,C4,P3b,2039,0.21078039109706875,46.073326873779294,2570.9744384765627,4.120546531677246,425.03228149414065,0.015407018456608022,0.006017882050946281,Delayed action
POLES ENGAGE,EN_INDCi2030_1000,SAU,C4,P3b,2040,0.2397273033857345,45.95396423339844,2832.5234375,4.100042343139648,463.3385925292969,0.0175637640058994,0.0068379379808902,Delayed action
POLES ENGAGE,EN_INDCi2030_1000,SAU,C4,P3b,2041,0.24609863758087153,45.83460235595703,2926.37392578125,4.134462928771973,428.8263244628906,0.01773496121168134,0.00689370892941944,Delayed action
