model,scenario,region,category,policy_category,year,capacity_electricity_coal,investment_energy_supply_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2010,33.53685938081382,1.068063767591482,16.95098086824417,0,1.285654077706337,17.49734075580597,2.563380992,0.8706348159999999,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2011,33.12015352310444,1.2318434064080304,16.99984551148605,0,1.3060172156734466,18.50052105956268,2.5535069696147223,0.8697452287999999,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2012,32.70344766539507,1.3956230452245788,17.04871015472793,0,1.3263803536405563,19.503701363319394,2.543632947229445,0.8688556416,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2013,32.28674180768569,1.559402684041127,17.097574797969816,0,1.3467434916076657,20.506881667076104,2.5337589248441676,0.8679660544000001,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2014,31.87003594997631,1.7231823228576757,17.146439441211697,0,1.3671066295747754,21.51006197083282,2.5238849024588905,0.8670764672000001,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2015,31.45333009226693,1.886961961674224,17.19530408445358,0,1.387469767541885,22.51324227458953,2.514010880073613,0.8661868800000001,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2016,31.64180196774825,1.8822800604103551,17.24668555029678,0,1.413821794968128,23.783135627586358,2.4202807040987895,0.8370751872000001,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2017,31.83027384322957,1.8775981591464863,17.298067016139985,0,1.440173822394371,25.053028980583186,2.326550528123966,0.8079634944,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2018,32.01874571871089,1.8729162578826175,17.349448481983185,0,1.466525849820614,26.322922333580014,2.232820352149142,0.7788518016,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2019,32.20721759419221,1.8682343566187487,17.400829947826388,0,1.492877877246857,27.59281568657684,2.1390901761743186,0.7497401088,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2020,32.39568946967353,1.86355245535488,17.45221141366959,0,1.5192299046731,28.86270903957367,2.045360000199495,0.7206284159999999,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2021,32.56002827582587,2.202303586897408,17.493862376819614,34.212718101417984,1.543752840992928,33.109680264434814,1.9356973980039933,0.6851148280261798,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2022,32.72436708197822,2.541054718439936,17.535513339969636,68.42543620283597,1.568275777312756,37.356651489295956,1.8260347958084915,0.6496012400523598,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2023,32.888705888130566,2.879805849982464,17.577164303119655,102.63815430425394,1.5927987136325839,41.6036227141571,1.7163721936129896,0.6140876520785398,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2024,33.05304469428292,3.2185569815249924,17.618815266269678,136.85087240567194,1.617321649952412,45.850593939018246,1.6067095914174878,0.5785740641047197,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2025,33.21738350043526,3.55730811306752,17.6604662294197,171.0635905070899,1.64184458627224,50.09756516387939,1.497046989221986,0.5430604761308996,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2026,31.59705113959542,3.666432548189184,17.70693807414245,185.72618872068273,1.6683576918239595,50.53536552572631,1.3834606858105696,0.5059165121241714,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2027,29.976718778755572,3.7755569833108478,17.7534099188652,200.38878693427554,1.6948707973756791,50.97316588757324,1.269874382399153,0.46877254811744323,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2028,28.35638641791573,3.884681418432512,17.79988176358795,215.05138514786836,1.7213839029273987,51.41096624942016,1.1562880789877366,0.43162858411071503,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2029,26.736054057075883,3.993805853554176,17.8463536083107,229.71398336146117,1.7478970084791183,51.84876661126709,1.0427017755763202,0.3944846201039869,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2030,25.11572169623604,4.102930288675839,17.89282545303345,244.376581575054,1.774410114030838,52.28656697311401,0.9291154721649036,0.3573406560972587,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2031,24.64612628607979,3.6017650336255995,17.93862815930939,265.3231457100586,1.7802631738786698,50.2065880368042,0.8554839969482538,0.3303520976870099,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2032,24.17653087592354,3.1005997785753596,17.984430865585328,286.2697098450633,1.7861162337265015,48.12660910049438,0.781852521731604,0.3033635392767611,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2033,23.70693546576729,2.5994345235251197,18.03023357186127,307.2162739800679,1.7919692935743334,46.04663016418456,0.7082210465149542,0.2763749808665123,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2034,23.23734005561104,2.09826926847488,18.07603627813721,328.1628381150726,1.7978223534221651,43.96665122787474,0.6345895712983044,0.24938642245626347,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2035,22.76774464545479,1.59710401342464,18.12183898441315,349.1094022500772,1.803675413269997,41.88667229156493,0.5609580960816546,0.2223978640460147,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2036,21.01031280951729,1.52913464672256,18.166817680603028,404.7016818495704,1.7987854152102472,39.84531365156554,0.5117280612727463,0.20392816403681174,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2037,19.25288097357979,1.46116528002048,18.211796376792908,460.29396144906354,1.7938954171504975,37.80395501156615,0.462498026463838,0.18545846402760882,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2038,17.49544913764229,1.3931959133184,18.25677507298279,515.8862410485567,1.7890054190907476,35.762596371566765,0.41326799165492967,0.16698876401840587,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2039,15.73801730170479,1.32522654661632,18.30175376917267,571.4785206480499,1.784115421030998,33.72123773156738,0.36403795684602136,0.14851906400920295,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2040,13.98058546576729,1.25725717991424,18.34673246536255,627.070800247543,1.779225422971248,31.67987909156799,0.3148079220371131,0.130049364,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2041,13.279622281994836,1.208128921548544,18.392843224639893,652.5712474842474,1.7744473001270291,31.215734070846555,0.34587529763339625,0.1438804128,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2042,12.578659098222381,1.159000663182848,18.438953983917237,678.0716947209517,1.7696691772828101,30.75158905012512,0.37694267322967934,0.1577114616,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2043,11.877695914449928,1.109872404817152,18.48506474319458,703.5721419576558,1.764891054438591,30.28744402940368,0.4080100488259625,0.17154251040000001,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2044,11.176732730677474,1.060744146451456,18.531175502471925,729.0725891943601,1.760112931594372,29.823299008682245,0.4390774244222456,0.1853735592,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2045,10.47576954690502,1.01161588808576,18.57728626174927,754.5730364310645,1.755334808750153,29.35915398796081,0.4701448000185287,0.199204608,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2046,10.977623647368194,0.962183800565248,18.622369332550047,780.0734984192779,1.751479867718697,28.78741606874084,0.5006517248151384,0.21278922560000002,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2047,11.479477747831368,0.912751713044736,18.66745240335083,805.5739604074915,1.7476249266872406,28.21567814952087,0.5311586496117482,0.2263738432,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2048,11.981331848294543,0.8633196255242239,18.712535474151608,831.074422395705,1.7437699856557844,27.6439402303009,0.5616655744083578,0.23995846080000002,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2049,12.483185948757717,0.8138875380037119,18.75761854495239,856.5748843839186,1.7399150446243281,27.07220231108093,0.5921724992049675,0.2535430784,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2050,12.98504004922089,0.7644554504832,18.80270161575317,882.0753463721321,1.736060103592872,26.50046439186096,0.6226794240015773,0.267127696,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2051,13.265612137173616,0.7408868960017916,18.846544868301386,893.5424173343272,1.7333943253221507,26.534345785037992,0.641505993429642,0.2758266138292909,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2052,13.546184225126343,0.7173183415203831,18.890388120849604,905.0094882965222,1.730728547051429,26.568227178215025,0.6603325628577068,0.28452553165858174,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2053,13.826756313079068,0.6937497870389747,18.93423137339782,916.4765592587173,1.7280627687807077,26.60210857139206,0.6791591322857715,0.29322444948787263,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2054,14.107328401031793,0.6701812325575663,18.97807462594604,927.9436302209124,1.7253969905099864,26.63598996456909,0.6979857017138362,0.3019233673171635,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2055,14.38790048898452,0.6466126780761579,19.021917878494257,939.4107011831074,1.7227312122392648,26.669871357746125,0.7168122711419009,0.3106222851464544,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2056,14.668472576937246,0.6230441235947495,19.06576113104248,950.8777721453025,1.7200654339685435,26.703752750923158,0.7356388405699658,0.31932120297574523,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2057,14.949044664889971,0.5994755691133411,19.109604383590696,962.3448431074976,1.7173996556978222,26.73763414410019,0.7544654099980305,0.3280201208050361,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2058,15.229616752842698,0.5759070146319327,19.153447636138914,973.8119140696926,1.7147338774271008,26.771515537277224,0.7732919794260953,0.336719038634327,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2059,15.510188840795424,0.5523384601505242,19.19729088868713,985.2789850318877,1.7120680991563793,26.805396930454258,0.79211854885416,0.34541795646361784,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2060,15.79076092874815,0.5287699056691159,19.24113414123535,996.7460559940828,1.709402320885658,26.83927832363129,0.8109451182822247,0.3541168742929087,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2061,15.803408920330485,0.5274038885326042,19.279725491550444,1006.0959682217832,1.7082109528415201,26.98661217215729,0.8037993408587033,0.35170282506475103,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2062,15.816056911912819,0.5260378713960927,19.31831684186554,1015.4458804494836,1.7070195847973821,27.133946020683293,0.7966535634351819,0.3492887758365934,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2063,15.828704903495154,0.5246718542595811,19.356908192180633,1024.7957926771842,1.7058282167532441,27.281279869209293,0.7895077860116604,0.34687472660843577,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2064,15.84135289507749,0.5233058371230696,19.395499542495727,1034.1457049048845,1.7046368487091064,27.428613717735296,0.782362008588139,0.3444606773802781,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2065,15.854000886659826,0.5219398199865579,19.434090892810822,1043.4956171325848,1.7034454806649686,27.575947566261295,0.7752162311646176,0.3420466281521204,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2066,15.86664887824216,0.5205738028500463,19.472682243125913,1052.8455293602854,1.7022541126208306,27.723281414787294,0.7680704537410962,0.33963257892396276,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2067,15.879296869824495,0.5192077857135348,19.511273593441008,1062.195441587986,1.7010627445766926,27.870615263313297,0.7609246763175748,0.3372185296958051,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2068,15.89194486140683,0.5178417685770231,19.549864943756102,1071.5453538156862,1.6998713765325548,28.017949111839297,0.7537788988940533,0.33480448046764744,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2069,15.904592852989165,0.5164757514405116,19.588456294071197,1080.8952660433865,1.698680008488417,28.1652829603653,0.7466331214705318,0.33239043123948975,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2070,15.9172408445715,0.515109734304,19.62704764438629,1090.245178271087,1.697488640444279,28.3126168088913,0.7394873440470104,0.3299763820113321,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2071,15.630998852384,0.628058158801024,19.66298504837036,1095.0083447223612,1.6976549082486632,28.47694005511475,0.7182543450050074,0.32145220489186,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2072,15.344756860196501,0.7410065832980479,19.69892245235443,1099.7715111736352,1.6978211760530475,28.6412633013382,0.6970213459630044,0.3129280277723879,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2073,15.058514868009,0.8539550077950719,19.734859856338502,1104.5346776249094,1.6979874438574316,28.80558654756165,0.6757883469210013,0.30440385065291575,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2074,14.7722728758215,0.966903432292096,19.77079726032257,1109.2978440761833,1.698153711661816,28.9699097937851,0.6545553478789983,0.29587967353344363,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2075,14.486030883634001,1.0798518567891198,19.80673466430664,1114.0610105274575,1.6983199794662,29.13423304000855,0.6333223488369952,0.2873554964139715,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2076,14.1997888914465,1.1928002812861438,19.84267206829071,1118.8241769787317,1.6984862472705842,29.298556286232,0.6120893497949922,0.2788313192944994,Immediate action
IMAGE 3.0,CO_2Deg2020,ZAF,C3,P2a,2077,13.913546899259,1.3057487057831678,19.878609472274782,1123.5873434300056,1.6986525150749685,29.46287953245545,0.5908563507529891,0.27030714217502727,Immediate action
